* Measurement data measured by REW V5.20.5
* Source: 마이크(7- USB Sound Device       , MICROPHONE (마스), L, volume: 0.560
* Format: 128k Log Swept Sine, 2 sweeps at -15.0 dBFS with no timing reference
* Dated: 2022. 4. 19 오후 9:25:25
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	121.176	142.3091
20.600000	121.144	141.9074
20.900000	121.078	141.1911
21.200001	121.011	140.5104
21.400000	120.966	140.0699
21.799999	120.874	139.1740
22.000000	120.826	138.7067
22.400000	120.728	137.7442
22.700001	120.654	137.0070
23.000000	120.581	136.2592
23.299999	120.510	135.5031
23.600000	120.443	134.7398
24.000000	120.357	133.7126
24.299999	120.296	132.9381
24.700001	120.219	131.9066
25.000000	120.165	131.1396
25.400000	120.095	130.1330
25.799999	120.030	129.1505
26.200001	119.968	128.1949
26.500000	119.924	127.4962
26.900000	119.868	126.5883
27.200001	119.827	125.9248
27.600000	119.774	125.0629
28.000000	119.723	124.2265
28.500000	119.660	123.2166
29.000000	119.598	122.2454
29.500000	119.536	121.3129
30.000000	119.475	120.4198
30.400000	119.425	119.7338
30.700001	119.388	119.2356
31.100000	119.338	118.5910
31.500000	119.287	117.9658
32.000000	119.222	117.2063
32.500000	119.154	116.4678
33.000000	119.081	115.7488
33.500000	119.006	115.0462
34.000000	118.929	114.3503
34.500000	118.850	113.6481
35.000000	118.769	112.9311
35.500000	118.688	112.1980
36.000000	118.606	111.4528
36.500000	118.527	110.6984
37.000000	118.452	109.9360
37.500000	118.380	109.1680
38.200001	118.288	108.0982
38.700001	118.227	107.3526
39.500000	118.136	106.2160
40.000000	118.083	105.5468
40.599998	118.021	104.7870
41.200001	117.957	104.0719
41.799999	117.891	103.3935
42.500000	117.810	102.6316
43.099998	117.735	101.9888
43.700001	117.657	101.3431
44.400002	117.563	100.5732
45.000000	117.484	99.8911
45.500000	117.419	99.3065
46.200001	117.332	98.4722
46.799999	117.262	97.7554
47.500000	117.187	96.9323
48.200001	117.118	96.1359
48.700001	117.072	95.5910
49.400002	117.008	94.8687
50.000000	116.953	94.2844
50.799999	116.878	93.5396
51.500000	116.808	92.9075
52.200001	116.734	92.2846
53.000000	116.649	91.5658
53.799999	116.563	90.8194
54.500000	116.490	90.1454
55.200001	116.421	89.4675
56.000000	116.347	88.7033
57.000000	116.262	87.7766
58.000000	116.182	86.9010
59.000000	116.102	86.0868
60.000000	116.019	85.3136
60.799999	115.951	84.6982
61.500000	115.889	84.1496
62.200001	115.827	83.5926
63.000000	115.758	82.9540
64.000000	115.676	82.1596
65.000000	115.602	81.3727
66.000000	115.532	80.6093
67.000000	115.463	79.8858
68.000000	115.393	79.1922
69.000000	115.322	78.5098
70.000000	115.250	77.8268
71.000000	115.179	77.1376
72.000000	115.110	76.4468
73.000000	115.045	75.7649
74.000000	114.984	75.1051
75.000000	114.925	74.4727
76.199997	114.854	73.7415
77.500000	114.776	72.9663
78.800003	114.698	72.1916
80.000000	114.628	71.4692
81.199997	114.562	70.7524
82.500000	114.493	70.0018
83.800003	114.428	69.2810
85.000000	114.368	68.6313
86.199997	114.307	67.9933
87.500000	114.242	67.3101
88.500000	114.194	66.7883
90.000000	114.125	66.0177
91.199997	114.071	65.4190
92.500000	114.015	64.7872
93.800003	113.959	64.1639
95.000000	113.908	63.5929
96.199997	113.859	63.0261
97.500000	113.808	62.4225
98.800003	113.758	61.8403
100.000000	113.713	61.3192
101.500000	113.658	60.6774
103.000000	113.602	60.0407
104.400002	113.551	59.4557
106.000000	113.497	58.7978
107.500000	113.448	58.1930
109.000000	113.399	57.6061
110.599998	113.348	56.9952
112.000000	113.304	56.4699
113.800003	113.251	55.8040
115.000000	113.217	55.3685
117.199997	113.156	54.5955
118.000000	113.134	54.3193
120.599998	113.062	53.4356
122.000000	113.025	52.9733
124.099998	112.971	52.2947
125.000000	112.949	52.0102
126.500000	112.913	51.5427
128.000000	112.878	51.0802
131.500000	112.800	50.0218
132.000000	112.790	49.8750
134.000000	112.747	49.2977
136.000000	112.707	48.7319
138.000000	112.669	48.1796
140.000000	112.631	47.6429
143.000000	112.575	46.8650
145.000000	112.540	46.3527
147.500000	112.496	45.7294
150.000000	112.456	45.1296
152.500000	112.417	44.5402
155.000000	112.379	43.9656
157.500000	112.342	43.4151
160.000000	112.307	42.8843
162.500000	112.273	42.3660
165.000000	112.241	41.8615
167.500000	112.208	41.3682
170.000000	112.175	40.8879
172.500000	112.145	40.4207
175.000000	112.115	39.9636
177.500000	112.087	39.5165
180.000000	112.060	39.0810
182.500000	112.034	38.6560
185.000000	112.008	38.2463
