* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 24 오후 10:02:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 9월 24
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.306	-162.7716
20.600000	78.324	-162.8734
20.900000	78.357	-163.0592
21.200001	78.382	-163.2479
21.400000	78.395	-163.3773
21.799999	78.413	-163.6523
22.000000	78.419	-163.7982
22.400000	78.429	-164.0994
22.700001	78.436	-164.3301
23.000000	78.444	-164.5679
23.299999	78.454	-164.8185
23.600000	78.466	-165.0853
24.000000	78.486	-165.4654
24.299999	78.502	-165.7609
24.700001	78.524	-166.1546
25.000000	78.541	-166.4408
25.400000	78.565	-166.8057
25.799999	78.592	-167.1547
26.200001	78.620	-167.4941
26.500000	78.640	-167.7422
26.900000	78.663	-168.0575
27.200001	78.677	-168.2761
27.600000	78.693	-168.5411
28.000000	78.709	-168.7831
28.500000	78.729	-169.0735
29.000000	78.750	-169.3700
29.500000	78.767	-169.6783
30.000000	78.779	-169.9924
30.400000	78.786	-170.2405
30.700001	78.791	-170.4218
31.100000	78.799	-170.6588
31.500000	78.808	-170.8978
32.000000	78.820	-171.2142
32.500000	78.833	-171.5535
33.000000	78.845	-171.8955
33.500000	78.860	-172.2183
34.000000	78.878	-172.5204
34.500000	78.898	-172.8177
35.000000	78.919	-173.1211
35.500000	78.939	-173.4252
36.000000	78.957	-173.7162
36.500000	78.974	-173.9881
37.000000	78.992	-174.2513
37.500000	79.010	-174.5225
38.200001	79.030	-174.9234
38.700001	79.040	-175.2093
39.500000	79.052	-175.6433
40.000000	79.062	-175.9135
40.599998	79.073	-176.2521
41.200001	79.083	-176.5992
41.799999	79.094	-176.9423
42.500000	79.107	-177.3414
43.099998	79.120	-177.6903
43.700001	79.132	-178.0335
44.400002	79.146	-178.4087
45.000000	79.160	-178.7169
45.500000	79.173	-178.9781
46.200001	79.190	-179.3512
46.799999	79.203	-179.6700
47.500000	79.219	179.9536
48.200001	79.235	179.5678
48.700001	79.245	179.2935
49.400002	79.259	178.9163
50.000000	79.271	178.5915
50.799999	79.284	178.1538
51.500000	79.294	177.7779
52.200001	79.305	177.4002
53.000000	79.316	176.9572
53.799999	79.322	176.5264
54.500000	79.328	176.1534
55.200001	79.333	175.7570
56.000000	79.335	175.2982
57.000000	79.338	174.7664
58.000000	79.344	174.2202
59.000000	79.346	173.6605
60.000000	79.345	173.1122
60.799999	79.342	172.6600
61.500000	79.339	172.2637
62.200001	79.334	171.8674
63.000000	79.326	171.4125
64.000000	79.312	170.8772
65.000000	79.308	170.3594
66.000000	79.307	169.7841
67.000000	79.295	169.2138
68.000000	79.282	168.7065
69.000000	79.272	168.2057
70.000000	79.260	167.6895
71.000000	79.242	167.1699
72.000000	79.219	166.6543
73.000000	79.194	166.1467
74.000000	79.166	165.6270
75.000000	79.132	165.0990
76.199997	79.088	164.4706
77.500000	79.035	163.8231
78.800003	78.989	163.2283
80.000000	78.948	162.6555
81.199997	78.907	162.1096
82.500000	78.868	161.5002
83.800003	78.820	160.8906
85.000000	78.772	160.3658
86.199997	78.722	159.8647
87.500000	78.666	159.3498
88.500000	78.622	158.9662
90.000000	78.555	158.3759
91.199997	78.494	157.9080
92.500000	78.426	157.4332
93.800003	78.357	156.9913
95.000000	78.299	156.6128
96.199997	78.246	156.2249
97.500000	78.189	155.7871
98.800003	78.128	155.3773
100.000000	78.073	155.0268
101.500000	78.003	154.6174
103.000000	77.934	154.2405
104.400002	77.870	153.8609
106.000000	77.784	153.4252
107.500000	77.698	153.0980
109.000000	77.618	152.8188
110.599998	77.536	152.5247
112.000000	77.464	152.2543
113.800003	77.370	151.9014
115.000000	77.307	151.6933
117.199997	77.206	151.4186
118.000000	77.177	151.3383
120.599998	77.091	150.9833
122.000000	77.034	150.7624
124.099998	76.945	150.4756
125.000000	76.909	150.3475
126.500000	76.850	150.1223
128.000000	76.791	149.8893
131.500000	76.644	149.3361
132.000000	76.621	149.2662
134.000000	76.531	149.0134
136.000000	76.443	148.7835
138.000000	76.356	148.5639
140.000000	76.268	148.3503
143.000000	76.135	148.0676
145.000000	76.047	147.9216
147.500000	75.942	147.7557
150.000000	75.838	147.5875
152.500000	75.738	147.4234
155.000000	75.640	147.2856
157.500000	75.542	147.1611
160.000000	75.441	147.0525
162.500000	75.340	146.9574
165.000000	75.242	146.8790
167.500000	75.146	146.8228
170.000000	75.050	146.7672
172.500000	74.954	146.7122
175.000000	74.860	146.6674
177.500000	74.765	146.6432
180.000000	74.668	146.6412
182.500000	74.567	146.6465
185.000000	74.463	146.6647
187.500000	74.358	146.7069
190.000000	74.254	146.7788
192.500000	74.150	146.9054
195.000000	74.046	147.1075
197.500000	73.942	147.4160
200.000000	73.846	147.8481
203.000000	73.752	148.5364
206.000000	73.703	149.3858
209.000000	73.726	150.2180
212.000000	73.811	150.6862
214.000000	73.878	150.6781
218.000000	73.962	150.0033
220.000000	73.962	149.5056
224.000000	73.891	148.5733
227.000000	73.802	148.0513
230.000000	73.704	147.6861
233.000000	73.604	147.4293
236.000000	73.501	147.2505
240.000000	73.368	147.0952
243.000000	73.271	147.0182
247.000000	73.142	146.9780
250.000000	73.049	146.9831
254.000000	72.931	147.0161
258.000000	72.814	147.0902
262.000000	72.698	147.2023
265.000000	72.611	147.2924
269.000000	72.497	147.4100
272.000000	72.414	147.5039
276.000000	72.310	147.6445
280.000000	72.210	147.7857
285.000000	72.087	147.9778
290.000000	71.967	148.1949
295.000000	71.848	148.4044
300.000000	71.730	148.6198
304.000000	71.639	148.8035
307.000000	71.572	148.9482
311.000000	71.485	149.1593
315.000000	71.399	149.3945
320.000000	71.291	149.6943
325.000000	71.187	150.0075
330.000000	71.085	150.3430
335.000000	70.985	150.6541
340.000000	70.885	150.9527
345.000000	70.782	151.2653
350.000000	70.678	151.5972
355.000000	70.575	151.9612
360.000000	70.477	152.3369
365.000000	70.381	152.7014
370.000000	70.287	153.0822
375.000000	70.195	153.4930
382.000000	70.069	154.0891
387.000000	69.981	154.5203
395.000000	69.839	155.1967
400.000000	69.751	155.6492
406.000000	69.650	156.1949
412.000000	69.557	156.7067
418.000000	69.470	157.2264
425.000000	69.366	157.8457
