* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 24 오후 9:54:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 9월 24
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.364	-152.2909
20.600000	77.386	-152.2703
20.900000	77.429	-152.2278
21.200001	77.468	-152.1769
21.400000	77.491	-152.1505
21.799999	77.534	-152.1350
22.000000	77.554	-152.1510
22.400000	77.588	-152.2224
22.700001	77.609	-152.2908
23.000000	77.628	-152.3552
23.299999	77.648	-152.4140
23.600000	77.672	-152.4738
24.000000	77.710	-152.5694
24.299999	77.743	-152.6592
24.700001	77.789	-152.7972
25.000000	77.824	-152.9035
25.400000	77.872	-153.0357
25.799999	77.922	-153.1537
26.200001	77.974	-153.2643
26.500000	78.013	-153.3445
26.900000	78.062	-153.4415
27.200001	78.096	-153.4994
27.600000	78.139	-153.5525
28.000000	78.181	-153.5849
28.500000	78.235	-153.6169
29.000000	78.289	-153.6541
29.500000	78.340	-153.6975
30.000000	78.388	-153.7474
30.400000	78.425	-153.7938
30.700001	78.452	-153.8316
31.100000	78.487	-153.8812
31.500000	78.522	-153.9262
32.000000	78.569	-153.9820
32.500000	78.620	-154.0572
33.000000	78.676	-154.1682
33.500000	78.733	-154.3074
34.000000	78.787	-154.4469
34.500000	78.839	-154.5598
35.000000	78.892	-154.6426
35.500000	78.950	-154.7149
36.000000	79.010	-154.7978
36.500000	79.069	-154.8938
37.000000	79.126	-154.9909
37.500000	79.180	-155.0800
38.200001	79.253	-155.1984
38.700001	79.305	-155.2910
39.500000	79.386	-155.4642
40.000000	79.435	-155.5850
40.599998	79.492	-155.7400
41.200001	79.550	-155.9077
41.799999	79.608	-156.0869
42.500000	79.676	-156.3023
43.099998	79.737	-156.4879
43.700001	79.800	-156.6793
44.400002	79.873	-156.9084
45.000000	79.936	-157.0972
45.500000	79.989	-157.2451
46.200001	80.068	-157.4553
46.799999	80.136	-157.6615
47.500000	80.213	-157.9343
48.200001	80.286	-158.2124
48.700001	80.338	-158.4066
49.400002	80.412	-158.6874
50.000000	80.473	-158.9466
50.799999	80.551	-159.3088
51.500000	80.618	-159.6326
52.200001	80.684	-159.9683
53.000000	80.757	-160.3575
53.799999	80.827	-160.7338
54.500000	80.890	-161.0692
55.200001	80.954	-161.4368
56.000000	81.022	-161.8823
57.000000	81.105	-162.4259
58.000000	81.188	-162.9905
59.000000	81.262	-163.5842
60.000000	81.329	-164.1690
60.799999	81.381	-164.6592
61.500000	81.424	-165.0949
62.200001	81.467	-165.5347
63.000000	81.512	-166.0666
64.000000	81.558	-166.7197
65.000000	81.612	-167.3117
66.000000	81.676	-167.9745
67.000000	81.730	-168.7021
68.000000	81.778	-169.4392
69.000000	81.816	-170.1939
70.000000	81.846	-170.9246
71.000000	81.873	-171.6295
72.000000	81.899	-172.3415
73.000000	81.922	-173.0646
74.000000	81.939	-173.7802
75.000000	81.953	-174.4740
76.199997	81.966	-175.2868
77.500000	81.976	-176.1552
78.800003	81.977	-177.0175
80.000000	81.969	-177.7955
81.199997	81.958	-178.5562
82.500000	81.943	-179.3954
83.800003	81.922	179.7766
85.000000	81.898	179.0459
86.199997	81.872	178.3531
87.500000	81.842	177.6385
88.500000	81.816	177.1181
90.000000	81.775	176.3532
91.199997	81.737	175.7440
92.500000	81.693	175.1055
93.800003	81.649	174.4853
95.000000	81.609	173.9229
96.199997	81.567	173.3647
97.500000	81.517	172.7990
98.800003	81.465	172.2846
100.000000	81.417	171.8351
101.500000	81.356	171.2908
103.000000	81.294	170.7685
104.400002	81.234	170.3051
106.000000	81.164	169.8295
107.500000	81.102	169.4323
109.000000	81.041	169.0314
110.599998	80.970	168.6293
112.000000	80.909	168.3081
113.800003	80.835	167.9126
115.000000	80.787	167.6581
117.199997	80.700	167.2418
118.000000	80.669	167.1144
120.599998	80.572	166.7446
122.000000	80.520	166.5773
124.099998	80.444	166.3320
125.000000	80.411	166.2350
126.500000	80.358	166.1094
128.000000	80.312	166.0073
131.500000	80.218	165.7658
132.000000	80.206	165.7269
134.000000	80.155	165.5618
136.000000	80.105	165.3671
138.000000	80.057	165.1464
140.000000	80.010	164.9347
143.000000	79.937	164.6681
145.000000	79.885	164.5204
147.500000	79.818	164.3467
150.000000	79.756	164.1896
152.500000	79.703	164.0421
155.000000	79.651	163.9184
157.500000	79.597	163.7853
160.000000	79.542	163.6494
162.500000	79.491	163.5362
165.000000	79.443	163.4478
167.500000	79.397	163.3678
170.000000	79.352	163.2657
172.500000	79.310	163.1541
175.000000	79.268	163.0606
177.500000	79.226	162.9865
180.000000	79.183	162.9099
182.500000	79.138	162.8173
185.000000	79.091	162.7187
187.500000	79.043	162.6205
190.000000	78.997	162.5222
192.500000	78.953	162.4292
195.000000	78.908	162.3580
197.500000	78.861	162.3105
200.000000	78.812	162.2887
203.000000	78.752	162.3279
206.000000	78.694	162.4709
209.000000	78.644	162.7467
212.000000	78.620	163.1430
214.000000	78.627	163.4325
218.000000	78.708	163.8643
220.000000	78.771	163.8727
224.000000	78.880	163.3514
227.000000	78.917	162.6659
230.000000	78.910	161.9495
233.000000	78.874	161.3052
236.000000	78.824	160.7614
240.000000	78.747	160.1852
243.000000	78.686	159.8305
247.000000	78.606	159.4277
250.000000	78.547	159.1726
254.000000	78.470	158.8763
258.000000	78.391	158.6072
262.000000	78.313	158.3720
265.000000	78.254	158.2096
269.000000	78.177	158.0074
272.000000	78.122	157.8712
276.000000	78.051	157.6966
280.000000	77.980	157.5321
285.000000	77.890	157.3568
290.000000	77.801	157.2023
295.000000	77.713	157.0551
300.000000	77.625	156.9136
304.000000	77.556	156.8233
307.000000	77.506	156.7701
311.000000	77.441	156.7182
315.000000	77.376	156.6857
320.000000	77.294	156.6588
325.000000	77.216	156.6468
330.000000	77.139	156.6555
335.000000	77.060	156.6541
340.000000	76.980	156.6447
345.000000	76.900	156.6701
350.000000	76.821	156.7327
355.000000	76.743	156.8135
360.000000	76.666	156.8816
365.000000	76.592	156.9434
370.000000	76.521	157.0282
375.000000	76.449	157.1342
382.000000	76.349	157.2792
387.000000	76.277	157.3979
395.000000	76.161	157.6141
400.000000	76.091	157.7545
406.000000	76.007	157.9260
412.000000	75.930	158.0998
418.000000	75.860	158.2784
425.000000	75.775	158.4885
431.000000	75.702	158.6508
437.000000	75.634	158.8102
444.000000	75.557	159.0152
450.000000	75.490	159.2051
455.000000	75.433	159.3663
462.000000	75.355	159.5969
468.000000	75.292	159.7903
475.000000	75.222	160.0061
482.000000	75.153	160.2308
487.000000	75.102	160.4106
494.000000	75.030	160.6910
500.000000	74.968	160.9401
508.000000	74.890	161.2717
515.000000	74.825	161.5641
522.000000	74.760	161.8598
530.000000	74.686	162.1963
538.000000	74.615	162.5237
545.000000	74.557	162.8206
552.000000	74.501	163.1355
560.000000	74.435	163.5089
570.000000	74.353	163.9912
580.000000	74.276	164.4969
590.000000	74.200	165.0051
600.000000	74.127	165.5161
608.000000	74.069	165.9368
615.000000	74.020	166.3126
622.000000	73.976	166.6907
630.000000	73.928	167.1259
640.000000	73.866	167.6570
650.000000	73.806	168.1806
660.000000	73.749	168.7283
670.000000	73.693	169.2794
680.000000	73.640	169.8251
690.000000	73.592	170.3804
700.000000	73.547	170.9604
710.000000	73.503	171.5569
720.000000	73.463	172.1525
