* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 24 오후 10:03:08
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 9월 24
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.098	-158.3181
20.600000	78.113	-158.4455
20.900000	78.143	-158.6673
21.200001	78.167	-158.8657
21.400000	78.180	-158.9916
21.799999	78.204	-159.2563
22.000000	78.215	-159.4047
22.400000	78.234	-159.7355
22.700001	78.247	-160.0080
23.000000	78.259	-160.2949
23.299999	78.270	-160.5898
23.600000	78.283	-160.8884
24.000000	78.302	-161.2873
24.299999	78.320	-161.5859
24.700001	78.349	-161.9847
25.000000	78.372	-162.2854
25.400000	78.404	-162.6872
25.799999	78.436	-163.0824
26.200001	78.466	-163.4602
26.500000	78.488	-163.7263
26.900000	78.515	-164.0539
27.200001	78.533	-164.2808
27.600000	78.556	-164.5662
28.000000	78.578	-164.8428
28.500000	78.602	-165.1823
29.000000	78.622	-165.5080
29.500000	78.640	-165.8165
30.000000	78.656	-166.1183
30.400000	78.669	-166.3637
30.700001	78.679	-166.5520
31.100000	78.692	-166.8099
31.500000	78.706	-167.0788
32.000000	78.722	-167.4356
32.500000	78.737	-167.8083
33.000000	78.751	-168.1708
33.500000	78.768	-168.5044
34.000000	78.790	-168.8177
34.500000	78.815	-169.1339
35.000000	78.840	-169.4594
35.500000	78.862	-169.7786
36.000000	78.883	-170.0751
36.500000	78.903	-170.3505
37.000000	78.925	-170.6223
37.500000	78.947	-170.9036
38.200001	78.971	-171.3099
38.700001	78.984	-171.5995
39.500000	79.002	-172.0595
40.000000	79.011	-172.3453
40.599998	79.023	-172.6834
41.200001	79.037	-173.0225
41.799999	79.052	-173.3762
42.500000	79.069	-173.8023
43.099998	79.083	-174.1544
43.700001	79.099	-174.4883
44.400002	79.120	-174.8715
45.000000	79.137	-175.1996
45.500000	79.150	-175.4647
46.200001	79.168	-175.8168
46.799999	79.186	-176.1139
47.500000	79.207	-176.4799
48.200001	79.228	-176.8691
48.700001	79.241	-177.1532
49.400002	79.258	-177.5513
50.000000	79.270	-177.8945
50.799999	79.284	-178.3571
51.500000	79.294	-178.7535
52.200001	79.303	-179.1297
53.000000	79.315	-179.5372
53.799999	79.329	-179.9374
54.500000	79.343	179.6953
55.200001	79.355	179.2974
56.000000	79.364	178.8305
57.000000	79.373	178.2809
58.000000	79.383	177.7309
59.000000	79.387	177.1872
60.000000	79.392	176.6797
60.799999	79.400	176.2358
61.500000	79.403	175.8210
62.200001	79.401	175.4127
63.000000	79.394	174.9665
64.000000	79.382	174.4598
65.000000	79.382	173.9679
66.000000	79.381	173.3919
67.000000	79.365	172.8169
68.000000	79.343	172.3201
69.000000	79.328	171.8806
70.000000	79.325	171.4306
71.000000	79.324	170.8914
72.000000	79.312	170.2989
73.000000	79.288	169.7332
74.000000	79.259	169.2405
75.000000	79.235	168.7967
76.199997	79.211	168.2337
77.500000	79.181	167.6024
78.800003	79.149	166.9671
80.000000	79.113	166.3753
81.199997	79.073	165.8065
82.500000	79.028	165.1971
83.800003	78.980	164.6163
85.000000	78.935	164.0940
86.199997	78.890	163.5796
87.500000	78.839	163.0477
88.500000	78.799	162.6812
90.000000	78.745	162.1581
91.199997	78.700	161.7204
92.500000	78.645	161.2390
93.800003	78.582	160.7919
95.000000	78.527	160.4424
96.199997	78.481	160.0758
97.500000	78.429	159.6415
98.800003	78.373	159.2325
100.000000	78.320	158.8874
101.500000	78.251	158.4945
103.000000	78.183	158.1489
104.400002	78.124	157.8407
106.000000	78.059	157.4231
107.500000	77.985	157.0309
109.000000	77.908	156.7310
110.599998	77.835	156.4507
112.000000	77.776	156.1939
113.800003	77.701	155.8308
115.000000	77.650	155.6225
117.199997	77.568	155.3389
118.000000	77.543	155.2299
120.599998	77.441	154.8516
122.000000	77.379	154.7223
124.099998	77.306	154.5251
125.000000	77.279	154.3855
126.500000	77.232	154.1129
128.000000	77.181	153.8611
131.500000	77.066	153.3260
132.000000	77.049	153.2458
134.000000	76.973	152.9511
136.000000	76.898	152.6982
138.000000	76.826	152.4576
140.000000	76.752	152.2314
143.000000	76.638	151.9101
145.000000	76.559	151.7026
147.500000	76.466	151.4819
150.000000	76.378	151.2712
152.500000	76.289	151.0789
155.000000	76.200	150.9070
157.500000	76.113	150.7317
160.000000	76.027	150.5623
162.500000	75.943	150.4211
165.000000	75.858	150.2827
167.500000	75.772	150.1615
170.000000	75.689	150.0270
172.500000	75.606	149.9026
175.000000	75.526	149.8098
177.500000	75.443	149.7217
180.000000	75.355	149.6431
182.500000	75.263	149.5807
185.000000	75.171	149.5289
187.500000	75.077	149.4808
190.000000	74.982	149.4589
192.500000	74.887	149.4868
195.000000	74.790	149.5901
197.500000	74.695	149.7672
200.000000	74.600	150.0202
203.000000	74.498	150.4924
206.000000	74.430	151.1788
209.000000	74.423	151.9727
212.000000	74.485	152.5921
214.000000	74.552	152.7418
218.000000	74.675	152.2440
220.000000	74.702	151.7180
224.000000	74.669	150.5766
227.000000	74.592	149.8691
230.000000	74.499	149.3445
233.000000	74.401	148.9583
236.000000	74.300	148.6555
240.000000	74.164	148.3500
243.000000	74.062	148.1824
247.000000	73.928	148.0089
250.000000	73.831	147.9130
