* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 24 오후 10:04:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 9월 24
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.091	-165.1421
20.600000	77.103	-165.3955
20.900000	77.125	-165.8439
21.200001	77.142	-166.2616
21.400000	77.151	-166.5295
21.799999	77.165	-167.0786
22.000000	77.170	-167.3715
22.400000	77.179	-167.9930
22.700001	77.182	-168.4825
23.000000	77.182	-168.9842
23.299999	77.181	-169.4890
23.600000	77.180	-169.9902
24.000000	77.180	-170.6447
24.299999	77.182	-171.1231
24.700001	77.190	-171.7473
25.000000	77.197	-172.2098
25.400000	77.209	-172.8228
25.799999	77.220	-173.4295
26.200001	77.229	-174.0211
26.500000	77.234	-174.4471
26.900000	77.237	-174.9837
27.200001	77.236	-175.3623
27.600000	77.234	-175.8441
28.000000	77.232	-176.3177
28.500000	77.227	-176.9181
29.000000	77.217	-177.5268
29.500000	77.200	-178.1265
30.000000	77.179	-178.7053
30.400000	77.161	-179.1554
30.700001	77.149	-179.4900
31.100000	77.134	-179.9405
31.500000	77.120	179.5961
32.000000	77.101	178.9951
32.500000	77.078	178.3877
33.000000	77.054	177.8094
33.500000	77.035	177.2769
34.000000	77.022	176.7699
34.500000	77.012	176.2552
35.000000	77.000	175.7257
35.500000	76.983	175.2067
36.000000	76.961	174.7273
36.500000	76.938	174.2911
37.000000	76.918	173.8748
37.500000	76.897	173.4559
38.200001	76.863	172.8641
38.700001	76.835	172.4514
39.500000	76.791	171.7967
40.000000	76.764	171.3687
40.599998	76.727	170.8362
41.200001	76.685	170.3115
41.799999	76.640	169.8195
42.500000	76.589	169.2926
43.099998	76.550	168.8693
