x	Curve1













20.0499	39.5771
20.3415	39.5472
20.6373	39.5178
20.9374	39.4894
21.2419	39.4623
21.5509	39.437
21.8643	39.414
22.1823	39.3937
22.5049	39.3761
22.8322	39.3604
23.1642	39.3457
23.5011	39.331
23.843	39.3154
24.19	39.298
24.541	39.2778
24.898	39.2542
25.26	39.2269
25.628	39.1961
26.001	39.162
26.379	39.1247
26.762	39.0841
27.152	39.0401
27.546	38.9923
27.947	38.9411
28.353	38.8876
28.766	38.8334
29.184	38.7795
29.609	38.7265
30.039	38.6745
30.476	38.6237
30.919	38.5738
31.369	38.5245
31.825	38.4759
32.288	38.4278
32.758	38.3802
33.234	38.3331
33.717	38.2866
34.208	38.2407
34.705	38.1955
35.21	38.151
35.722	38.1076
36.241	38.0654
36.768	38.0245
37.303	37.9843
37.846	37.9439
38.396	37.9016
38.955	37.8548
39.521	37.8009
40.096	37.7394
40.679	37.6734
41.271	37.6057
41.871	37.5387
42.48	37.4741
43.097	37.4133
43.724	37.3572
44.36	37.3052
45.005	37.2556
45.66	37.2067
46.324	37.1571
46.998	37.1059
47.681	37.052
48.375	36.9946
49.078	36.9332
49.792	36.8672
50.516	36.7965
51.251	36.7219
51.996	36.6444
52.752	36.5645
53.519	36.4829
54.298	36.4001
55.087	36.3167
55.888	36.2332
56.701	36.1503
57.526	36.0685
58.363	35.9884
59.211	35.9102
60.072	35.8337
60.946	35.7587
61.832	35.685
62.732	35.6124
63.644	35.5407
64.57	35.4694
65.509	35.3983
66.461	35.3267
67.428	35.2543
68.409	35.1811
69.403	35.1074
70.413	35.0334
71.437	34.9595
72.476	34.886
73.53	34.8131
74.599	34.7408
75.684	34.6686
76.785	34.5962
77.901	34.5234
79.034	34.4499
80.184	34.3752
81.35	34.2993
82.533	34.223
83.733	34.1474
84.951	34.0735
86.186	34.0021
87.44	33.9336
88.712	33.8682
90.002	33.8054
91.311	33.7445
92.639	33.6846
93.986	33.6252
95.353	33.5657
96.739	33.5048
98.146	33.4372
99.574	33.3341
101.022	33.2578
102.491	33.1934
103.982	33.1319
105.494	33.0716
107.028	33.0119
108.585	32.9525
110.164	32.8928
111.766	32.8327
113.391	32.7721
115.04	32.712
116.714	32.6534
118.411	32.5979
120.133	32.5469
121.88	32.5016
123.653	32.4626
125.451	32.4286
127.275	32.3971
129.126	32.3661
131.004	32.3338
132.91	32.2984
134.843	32.2582
136.804	32.2116
138.793	32.1593
140.812	32.1034
142.859	32.0461
144.937	31.9897
147.045	31.9368
149.183	31.89
151.353	31.8524
153.554	31.8237
155.787	31.8008
158.053	31.7801
160.352	31.7586
162.684	31.7337
165.05	31.704
167.45	31.6686
169.885	31.6288
172.356	31.5862
174.863	31.5422
177.406	31.4979
179.986	31.4542
182.603	31.4124
185.259	31.3736
187.953	31.3399
190.687	31.3136
193.46	31.2959
196.273	31.2859
199.128	31.2816
202.024	31.2792
204.962	31.2739
207.943	31.2611
210.967	31.2391
214.035	31.2099
217.148	31.1755
220.306	31.1372
223.51	31.0964
226.76	31.0541
230.058	31.0113
233.404	30.9685
236.798	30.9258
240.24	30.8829
243.74	30.8397
247.28	30.7958
250.88	30.7509
