* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 16 오후 11:55:34
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	60.847	-137.3626
20.600000	60.796	-137.3571
20.900000	60.721	-137.3020
21.200001	60.720	-137.1853
21.400000	60.756	-137.2028
21.799999	60.874	-137.6300
22.000000	60.934	-138.0609
22.400000	61.026	-139.2098
22.700001	61.069	-140.1375
23.000000	61.103	-141.0045
23.299999	61.142	-141.8158
23.600000	61.191	-142.6243
24.000000	61.267	-143.7795
24.299999	61.317	-144.7081
24.700001	61.360	-145.9290
25.000000	61.372	-146.7251
25.400000	61.377	-147.5266
25.799999	61.386	-148.0237
26.200001	61.412	-148.2847
26.500000	61.443	-148.3668
26.900000	61.500	-148.3585
27.200001	61.559	-148.2988
27.600000	61.662	-148.2355
28.000000	61.786	-148.3346
28.500000	61.934	-148.8270
29.000000	62.026	-149.6043
29.500000	62.055	-150.3451
30.000000	62.058	-150.8713
30.400000	62.066	-151.2371
30.700001	62.075	-151.5667
31.100000	62.071	-152.1101
31.500000	62.037	-152.6728
32.000000	61.959	-153.1440
32.500000	61.895	-153.2559
33.000000	61.895	-153.3244
33.500000	61.935	-153.7673
34.000000	61.940	-154.6187
34.500000	61.874	-155.4340
35.000000	61.778	-155.8047
35.500000	61.731	-155.8067
36.000000	61.761	-155.9328
36.500000	61.812	-156.5317
37.000000	61.813	-157.4602
37.500000	61.749	-158.2769
38.200001	61.639	-158.7292
38.700001	61.615	-158.7252
39.500000	61.678	-158.9768
40.000000	61.726	-159.4550
40.599998	61.748	-160.1517
41.200001	61.736	-160.6652
41.799999	61.726	-160.8818
42.500000	61.751	-160.9257
43.099998	61.804	-160.9486
43.700001	61.882	-161.0405
44.400002	61.990	-161.4382
45.000000	62.051	-162.1044
45.500000	62.051	-162.6394
46.200001	62.027	-162.9040
46.799999	62.071	-162.8510
47.500000	62.187	-163.2950
48.200001	62.230	-164.2933
48.700001	62.196	-164.8075
49.400002	62.155	-164.8738
50.000000	62.192	-164.7792
50.799999	62.271	-165.1039
51.500000	62.293	-165.5346
52.200001	62.303	-165.8138
53.000000	62.323	-166.2060
53.799999	62.318	-166.7418
54.500000	62.300	-167.1611
55.200001	62.289	-167.6089
56.000000	62.272	-168.2008
57.000000	62.257	-168.8095
58.000000	62.277	-169.4866
59.000000	62.266	-170.2001
60.000000	62.248	-170.4796
60.799999	62.264	-170.6236
61.500000	62.277	-170.8498
62.200001	62.273	-171.0891
63.000000	62.260	-171.3060
64.000000	62.248	-171.6492
65.000000	62.218	-172.1161
66.000000	62.182	-172.4487
67.000000	62.176	-172.6919
68.000000	62.194	-172.9423
69.000000	62.234	-173.2278
70.000000	62.266	-173.6972
71.000000	62.250	-174.1357
72.000000	62.223	-174.2911
73.000000	62.226	-174.4515
74.000000	62.219	-174.7761
75.000000	62.201	-174.9829
76.199997	62.220	-175.1467
77.500000	62.247	-175.5493
78.800003	62.230	-175.9108
80.000000	62.198	-176.0498
81.199997	62.179	-176.1936
82.500000	62.158	-176.5733
83.800003	62.138	-177.0441
85.000000	62.142	-177.5384
86.199997	62.159	-178.0446
87.500000	62.178	-178.5150
88.500000	62.183	-178.7179
90.000000	62.196	-178.8158
91.199997	62.202	-178.9393
92.500000	62.192	-179.1651
93.800003	62.178	-179.4933
95.000000	62.165	-179.9016
96.199997	62.150	179.6826
97.500000	62.140	179.3457
98.800003	62.142	179.1110
100.000000	62.147	178.9674
101.500000	62.155	178.8188
103.000000	62.161	178.5446
104.400002	62.149	178.1439
106.000000	62.123	177.7142
107.500000	62.111	177.3755
109.000000	62.109	177.1010
110.599998	62.111	176.9173
112.000000	62.117	176.7470
113.800003	62.110	176.3708
115.000000	62.097	176.0534
117.199997	62.090	175.3035
118.000000	62.089	174.9597
120.599998	62.034	174.1909
122.000000	62.027	174.2372
124.099998	62.054	174.2318
125.000000	62.062	174.1571
126.500000	62.063	173.9423
128.000000	62.047	173.6635
131.500000	61.993	173.0369
132.000000	61.987	172.9483
134.000000	61.970	172.5479
136.000000	61.946	172.1208
138.000000	61.921	171.7708
140.000000	61.904	171.3704
143.000000	61.857	170.6898
145.000000	61.838	170.3002
147.500000	61.818	169.7456
150.000000	61.786	169.2610
152.500000	61.753	168.6169
155.000000	61.678	167.8962
157.500000	61.580	167.2957
160.000000	61.466	166.6617
162.500000	61.323	165.9771
165.000000	61.135	165.3224
167.500000	60.881	164.9496
170.000000	60.564	165.2545
172.500000	60.238	166.5989
175.000000	60.020	169.0367
177.500000	60.021	171.8301
180.000000	60.224	174.1097
182.500000	60.526	175.3514
185.000000	60.801	175.6102
187.500000	61.007	175.2947
190.000000	61.157	174.6898
192.500000	61.262	174.0041
195.000000	61.336	173.3753
197.500000	61.390	172.7769
200.000000	61.420	172.1894
203.000000	61.437	171.5545
206.000000	61.446	170.9596
209.000000	61.448	170.4558
212.000000	61.443	170.0045
214.000000	61.436	169.7044
218.000000	61.426	169.1468
220.000000	61.421	168.9069
224.000000	61.397	168.4557
227.000000	61.368	168.1537
230.000000	61.346	167.9278
233.000000	61.332	167.6646
236.000000	61.313	167.3501
240.000000	61.280	166.9786
243.000000	61.252	166.7103
247.000000	61.207	166.3882
250.000000	61.179	166.2079
254.000000	61.144	166.0084
258.000000	61.107	165.7485
262.000000	61.067	165.4852
265.000000	61.039	165.2985
269.000000	61.009	165.0464
272.000000	60.989	164.8634
276.000000	60.954	164.6281
280.000000	60.916	164.3840
285.000000	60.877	164.1694
290.000000	60.838	163.9741
295.000000	60.799	163.7592
300.000000	60.753	163.6308
304.000000	60.714	163.5304
307.000000	60.688	163.4510
311.000000	60.659	163.3618
315.000000	60.630	163.2609
320.000000	60.590	163.1240
325.000000	60.541	163.0124
330.000000	60.494	162.8943
335.000000	60.455	162.8100
340.000000	60.415	162.7404
345.000000	60.372	162.6425
350.000000	60.322	162.5540
355.000000	60.264	162.5289
360.000000	60.210	162.5531
365.000000	60.171	162.5860
370.000000	60.135	162.6063
375.000000	60.097	162.6156
382.000000	60.044	162.6332
387.000000	59.998	162.6861
395.000000	59.941	162.8829
400.000000	59.910	163.0289
406.000000	59.877	163.1619
412.000000	59.858	163.2688
418.000000	59.842	163.3187
425.000000	59.818	163.3303
431.000000	59.797	163.3774
437.000000	59.780	163.4449
444.000000	59.774	163.5286
450.000000	59.766	163.5452
455.000000	59.755	163.4810
462.000000	59.739	163.3070
468.000000	59.716	163.1718
475.000000	59.685	163.0592
482.000000	59.649	162.9131
487.000000	59.622	162.7766
494.000000	59.584	162.6235
500.000000	59.545	162.5416
508.000000	59.480	162.5517
515.000000	59.415	162.6089
522.000000	59.358	162.6326
530.000000	59.295	162.6338
538.000000	59.227	162.7264
545.000000	59.167	162.8569
552.000000	59.112	162.9985
560.000000	59.065	163.1813
570.000000	59.005	163.4481
580.000000	58.929	163.7192
590.000000	58.859	163.9617
600.000000	58.799	164.2989
608.000000	58.756	164.5995
615.000000	58.720	164.8423
622.000000	58.681	165.0743
630.000000	58.633	165.3451
640.000000	58.571	165.7152
650.000000	58.514	166.1655
660.000000	58.464	166.6373
670.000000	58.418	167.0665
680.000000	58.376	167.4720
690.000000	58.336	167.9036
700.000000	58.294	168.3926
710.000000	58.256	168.8811
720.000000	58.222	169.3544
730.000000	58.190	169.8487
740.000000	58.160	170.3767
750.000000	58.132	170.9266
762.000000	58.100	171.5662
775.000000	58.072	172.2903
788.000000	58.046	173.0430
800.000000	58.027	173.7392
812.000000	58.015	174.4263
825.000000	58.011	175.1767
838.000000	58.013	175.9089
850.000000	58.017	176.6059
862.000000	58.025	177.3091
875.000000	58.039	178.0449
885.000000	58.054	178.5935
900.000000	58.085	179.4753
912.000000	58.121	-179.8043
925.000000	58.168	-179.0925
938.000000	58.208	-178.4400
950.000000	58.243	-177.8306
962.000000	58.287	-177.1928
975.000000	58.347	-176.5028
988.000000	58.416	-175.8806
1000.000000	58.478	-175.3666
1015.000000	58.548	-174.7807
1030.000000	58.626	-174.2101
1044.000000	58.705	-173.6767
1060.000000	58.799	-173.0609
1075.000000	58.887	-172.5703
1090.000000	58.977	-172.1274
1106.000000	59.079	-171.6627
1120.000000	59.172	-171.2922
1138.000000	59.293	-170.8500
1150.000000	59.373	-170.5642
1172.000000	59.518	-170.1000
1180.000000	59.571	-169.9594
1206.000000	59.740	-169.5091
1220.000000	59.828	-169.2949
1241.000000	59.951	-168.9784
1250.000000	60.004	-168.8423
1265.000000	60.093	-168.6324
1280.000000	60.180	-168.4340
1315.000000	60.383	-167.8917
1320.000000	60.413	-167.8063
1340.000000	60.529	-167.4747
1360.000000	60.639	-167.1476
1380.000000	60.750	-166.8154
1400.000000	60.869	-166.5052
1430.000000	61.059	-166.0441
1450.000000	61.190	-165.7096
1475.000000	61.357	-165.2726
1500.000000	61.530	-164.8780
1525.000000	61.714	-164.5250
1550.000000	61.901	-164.1986
1575.000000	62.098	-163.9082
1600.000000	62.304	-163.6841
1625.000000	62.513	-163.5220
1650.000000	62.728	-163.4481
1675.000000	62.942	-163.4510
1700.000000	63.153	-163.5135
1725.000000	63.361	-163.6633
1750.000000	63.565	-163.8976
1775.000000	63.766	-164.1835
1800.000000	63.959	-164.5322
1825.000000	64.147	-164.9435
1850.000000	64.328	-165.3940
1875.000000	64.503	-165.8725
1900.000000	64.670	-166.3726
1925.000000	64.829	-166.9088
1950.000000	64.981	-167.4683
1975.000000	65.127	-168.0186
2000.000000	65.266	-168.5661
2030.000000	65.426	-169.2471
2060.000000	65.580	-169.9359
2090.000000	65.729	-170.6128
2120.000000	65.874	-171.2816
2140.000000	65.968	-171.7317
2180.000000	66.147	-172.6445
2200.000000	66.234	-173.1041
2240.000000	66.404	-174.0284
2270.000000	66.524	-174.7342
2300.000000	66.639	-175.4490
2330.000000	66.749	-176.1613
2360.000000	66.853	-176.8672
2400.000000	66.983	-177.7931
2430.000000	67.073	-178.4608
2470.000000	67.184	-179.2828
2500.000000	67.263	-179.8165
2540.000000	67.370	179.6454
2580.000000	67.508	179.3364
2620.000000	67.712	179.0819
2650.000000	67.911	178.6897
2690.000000	68.193	177.6224
2720.000000	68.379	176.4442
2760.000000	68.567	174.6506
2800.000000	68.700	172.8637
2850.000000	68.820	170.7372
2900.000000	68.905	168.6682
2950.000000	68.955	166.6845
3000.000000	68.978	164.8416
3040.000000	68.985	163.4597
3070.000000	68.983	162.4683
3110.000000	68.975	161.2064
3150.000000	68.961	160.0095
3200.000000	68.933	158.5824
3250.000000	68.895	157.2307
3300.000000	68.843	155.9561
3350.000000	68.779	154.7922
3400.000000	68.710	153.7414
3450.000000	68.643	152.7800
3500.000000	68.577	151.8919
3550.000000	68.500	151.0822
3600.000000	68.407	150.4247
3650.000000	68.301	150.0271
3700.000000	68.206	149.9633
3750.000000	68.158	150.1501
3820.000000	68.194	150.2780
3870.000000	68.231	149.9715
3950.000000	68.209	149.3218
4000.000000	68.178	149.1532
4060.000000	68.165	149.1248
4120.000000	68.186	149.1023
4180.000000	68.226	149.0099
4250.000000	68.283	148.7798
4310.000000	68.327	148.4716
4370.000000	68.359	148.1040
4440.000000	68.390	147.6511
4500.000000	68.415	147.2432
4550.000000	68.438	146.8804
4620.000000	68.472	146.3268
4680.000000	68.500	145.8065
4750.000000	68.529	145.1519
4820.000000	68.556	144.4395
4870.000000	68.570	143.8819
4940.000000	68.580	143.0440
5000.000000	68.580	142.2932
5080.000000	68.571	141.2424
5150.000000	68.549	140.2773
5220.000000	68.515	139.2897
5300.000000	68.461	138.1274
5380.000000	68.386	136.9467
5450.000000	68.301	135.9103
5520.000000	68.194	134.9056
