* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 16 오후 11:59:12
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Treble
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	61.189	-139.2607
20.600000	61.078	-139.0419
20.900000	60.908	-138.3991
21.200001	60.906	-137.2675
21.400000	61.009	-136.6381
21.799999	61.355	-136.4015
22.000000	61.531	-136.9915
22.400000	61.759	-139.3807
22.700001	61.771	-141.5774
23.000000	61.649	-143.4176
23.299999	61.457	-144.4749
23.600000	61.275	-144.6948
24.000000	61.167	-144.1032
24.299999	61.222	-143.6335
24.700001	61.410	-143.6895
25.000000	61.550	-144.3631
25.400000	61.654	-145.7320
25.799999	61.656	-146.9217
26.200001	61.629	-147.4889
26.500000	61.642	-147.6003
26.900000	61.728	-147.7414
27.200001	61.817	-148.1275
27.600000	61.901	-149.1090
28.000000	61.882	-150.2439
28.500000	61.726	-150.8997
29.000000	61.595	-150.1384
29.500000	61.685	-148.7537
30.000000	61.979	-148.3620
30.400000	62.211	-149.3275
30.700001	62.310	-150.6492
31.100000	62.299	-152.6078
31.500000	62.141	-154.1110
32.000000	61.860	-154.6395
32.500000	61.682	-153.8348
33.000000	61.726	-152.8266
33.500000	61.931	-152.7103
34.000000	62.136	-153.8554
34.500000	62.217	-155.8433
35.000000	62.131	-157.9450
35.500000	61.904	-159.3812
36.000000	61.621	-159.6382
36.500000	61.411	-158.7230
37.000000	61.382	-157.2833
37.500000	61.534	-156.2034
38.200001	61.854	-156.2526
38.700001	62.027	-157.2434
39.500000	62.124	-159.3148
40.000000	62.093	-160.4604
40.599998	61.996	-161.4153
41.200001	61.881	-161.7339
41.799999	61.816	-161.5085
42.500000	61.851	-161.1377
43.099998	61.930	-161.1861
43.700001	61.989	-161.5403
44.400002	62.013	-161.9747
45.000000	62.021	-162.1958
45.500000	62.034	-162.3273
46.200001	62.062	-162.5466
46.799999	62.088	-162.7619
47.500000	62.133	-162.9887
48.200001	62.222	-163.3703
48.700001	62.301	-163.9425
49.400002	62.370	-165.2553
50.000000	62.342	-166.5713
50.799999	62.177	-167.8232
51.500000	61.988	-167.9638
