* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -10.7 dBFS, measurement signal peak level -8.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 31, 2021 5:57:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0302 ms (10 mm, 0.41 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: U12t (m15)
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.356400	36.9111
20.600000	107.371910	36.6283
20.900000	107.413605	35.9484
21.200001	107.459671	35.1737
21.400000	107.490265	34.6404
21.799999	107.549088	33.5622
22.000000	107.576904	33.0242
22.400000	107.629509	31.9613
22.700001	107.667007	31.1879
23.000000	107.703972	30.4403
23.299999	107.741501	29.7149
23.600000	107.780052	29.0009
24.000000	107.831795	28.0424
24.299999	107.868561	27.3073
24.700001	107.911125	26.3081
25.000000	107.936989	25.5614
25.400000	107.964905	24.5991
25.799999	107.990631	23.6962
26.200001	108.020332	22.8433
26.500000	108.046852	22.2152
26.900000	108.085609	21.3621
27.200001	108.113983	20.6994
27.600000	108.145775	19.7929
28.000000	108.168037	18.8869
28.500000	108.184875	17.7995
29.000000	108.198204	16.7771
29.500000	108.214783	15.7943
30.000000	108.235428	14.8206
30.400000	108.252998	14.0449
30.700001	108.265823	13.4692
31.100000	108.281754	12.7144
31.500000	108.295654	11.9756
32.000000	108.308975	11.0717
32.500000	108.316818	10.1899
33.000000	108.320160	9.3396
33.500000	108.322098	8.5325
34.000000	108.326118	7.7748
34.500000	108.334045	7.0615
35.000000	108.345207	6.3721
35.500000	108.356735	5.6717
36.000000	108.363884	4.9209
36.500000	108.361984	4.0991
37.000000	108.349670	3.2201
37.500000	108.330612	2.3218
38.200001	108.305740	1.0969
38.700001	108.295731	0.2653
39.500000	108.291016	-0.9828
40.000000	108.290298	-1.7089
40.599998	108.288963	-2.5373
41.200001	108.285660	-3.3509
41.799999	108.277344	-4.1716
42.500000	108.258591	-5.1176
43.099998	108.238083	-5.8857
43.700001	108.219246	-6.6120
44.400002	108.201714	-7.4377
45.000000	108.187050	-8.1419
45.500000	108.172287	-8.7208
46.200001	108.146835	-9.5110
46.799999	108.122215	-10.1792
47.500000	108.092728	-10.9711
48.200001	108.064102	-11.7781
48.700001	108.045166	-12.3490
49.400002	108.021866	-13.1205
50.000000	108.004272	-13.7594
50.799999	107.979614	-14.6089
51.500000	107.952576	-15.3656
52.200001	107.920219	-16.1218
53.000000	107.880051	-16.9543
53.799999	107.838936	-17.7339
54.500000	107.802551	-18.3816
55.200001	107.766106	-19.0248
56.000000	107.724533	-19.7852
57.000000	107.670502	-20.7699
58.000000	107.608734	-21.7220
59.000000	107.540649	-22.5629
60.000000	107.484200	-23.3242
60.799999	107.454056	-23.9671
61.500000	107.432228	-24.5729
62.200001	107.408920	-25.1837
63.000000	107.379074	-25.8521
64.000000	107.337013	-26.6473
65.000000	107.288834	-27.4154
66.000000	107.236984	-28.1666
67.000000	107.183014	-28.9139
68.000000	107.128113	-29.6519
69.000000	107.075027	-30.3804
70.000000	107.022743	-31.1016
71.000000	106.968758	-31.8035
72.000000	106.912994	-32.4829
73.000000	106.856445	-33.1474
74.000000	106.800514	-33.7920
75.000000	106.747093	-34.4074
76.199997	106.686562	-35.1229
77.500000	106.620583	-35.9066
78.800003	106.550087	-36.7025
80.000000	106.482719	-37.4297
81.199997	106.416328	-38.1426
82.500000	106.346519	-38.8939
83.800003	106.277748	-39.6170
85.000000	106.213661	-40.2614
86.199997	106.148384	-40.8895
87.500000	106.076248	-41.5568
88.500000	106.020218	-42.0591
90.000000	105.937881	-42.7947
91.199997	105.874985	-43.3781
92.500000	105.808296	-44.0089
93.800003	105.740196	-44.6240
95.000000	105.675819	-45.1682
96.199997	105.612236	-45.6952
97.500000	105.545952	-46.2601
98.800003	105.480774	-46.8238
100.000000	105.419479	-47.3365
101.500000	105.340729	-47.9569
103.000000	105.260834	-48.5529
104.400002	105.186707	-49.0908
106.000000	105.104057	-49.6873
107.500000	105.029114	-50.2288
109.000000	104.956306	-50.7541
110.599998	104.879868	-51.3037
112.000000	104.812592	-51.7791
113.800003	104.725250	-52.3763
115.000000	104.667885	-52.7588
117.199997	104.569519	-53.4188
118.000000	104.536575	-53.6439
120.599998	104.431610	-54.2720
122.000000	104.375702	-54.5377
124.099998	104.306862	-54.9254
125.000000	104.284897	-55.1167
126.500000	104.255829	-55.4951
128.000000	104.230827	-55.9541
131.500000	104.158211	-57.2433
132.000000	104.144516	-57.4390
134.000000	104.081497	-58.2219
136.000000	104.009010	-58.9828
138.000000	103.931709	-59.7019
140.000000	103.852333	-60.3730
143.000000	103.733658	-61.3060
145.000000	103.657219	-61.8968
147.500000	103.564156	-62.6173
150.000000	103.471100	-63.3260
152.500000	103.377235	-64.0176
155.000000	103.282990	-64.6835
157.500000	103.188210	-65.3187
160.000000	103.092361	-65.9234
162.500000	102.995384	-66.4999
165.000000	102.898987	-67.0421
167.500000	102.806030	-67.5396
170.000000	102.718376	-67.9850
172.500000	102.637543	-68.3770
175.000000	102.565964	-68.7241
177.500000	102.506859	-69.0503
180.000000	102.461739	-69.3986
182.500000	102.427917	-69.8133
185.000000	102.399429	-70.3168
187.500000	102.369522	-70.9059
190.000000	102.332840	-71.5533
192.500000	102.287056	-72.2214
195.000000	102.232864	-72.8843
197.500000	102.172699	-73.5280
200.000000	102.109337	-74.1424
203.000000	102.031784	-74.8367
206.000000	101.953606	-75.4910
209.000000	101.875732	-76.1113
212.000000	101.799629	-76.7046
214.000000	101.750175	-77.0901
218.000000	101.653473	-77.8449
220.000000	101.606049	-78.2144
224.000000	101.513824	-78.9331
227.000000	101.447487	-79.4522
230.000000	101.383621	-79.9530
233.000000	101.322235	-80.4313
236.000000	101.262878	-80.8845
240.000000	101.183327	-81.4718
243.000000	101.121368	-81.9173
247.000000	101.039833	-82.4893
250.000000	100.983170	-82.8757
254.000000	100.917030	-83.3227
258.000000	100.866714	-83.7140
262.000000	100.837082	-84.1084
265.000000	100.827728	-84.4532
269.000000	100.825226	-85.0273
272.000000	100.823929	-85.5491
276.000000	100.815048	-86.3332
280.000000	100.794540	-87.1618
285.000000	100.754448	-88.1887
290.000000	100.704681	-89.1746
295.000000	100.651535	-90.1207
300.000000	100.598381	-91.0120
304.000000	100.557251	-91.6748
307.000000	100.527863	-92.1516
311.000000	100.491142	-92.7756
315.000000	100.457329	-93.3942
320.000000	100.419083	-94.1634
325.000000	100.385719	-94.9285
330.000000	100.357574	-95.6915
335.000000	100.334206	-96.4580
340.000000	100.314827	-97.2358
345.000000	100.297905	-98.0328
350.000000	100.281723	-98.8484
355.000000	100.265221	-99.6770
360.000000	100.248535	-100.5086
365.000000	100.232368	-101.3343
370.000000	100.217255	-102.1534
375.000000	100.203339	-102.9690
382.000000	100.186310	-104.1116
387.000000	100.176201	-104.9303
395.000000	100.163376	-106.2424
400.000000	100.157448	-107.0624
406.000000	100.152023	-108.0442
412.000000	100.147537	-109.0201
418.000000	100.143822	-109.9938
425.000000	100.141609	-111.1414
431.000000	100.141792	-112.1369
437.000000	100.143356	-113.1377
444.000000	100.146584	-114.3073
450.000000	100.150368	-115.3097
455.000000	100.153778	-116.1458
462.000000	100.158585	-117.3190
468.000000	100.162743	-118.3278
475.000000	100.167671	-119.5090
482.000000	100.173126	-120.6956
487.000000	100.177490	-121.5463
494.000000	100.183907	-122.7403
500.000000	100.189262	-123.7636
508.000000	100.195663	-125.1235
515.000000	100.200500	-126.3091
522.000000	100.204941	-127.4922
530.000000	100.209541	-128.8397
538.000000	100.213562	-130.1848
545.000000	100.216484	-131.3639
552.000000	100.218643	-132.5415
560.000000	100.220001	-133.8787
570.000000	100.219757	-135.5356
580.000000	100.217278	-137.1780
590.000000	100.212967	-138.8045
600.000000	100.207230	-140.4091
608.000000	100.201546	-141.6763
615.000000	100.195488	-142.7731
622.000000	100.188339	-143.8578
630.000000	100.178802	-145.0807
640.000000	100.164757	-146.5833
650.000000	100.148727	-148.0571
660.000000	100.131310	-149.5064
670.000000	100.112762	-150.9344
680.000000	100.093216	-152.3339
690.000000	100.072693	-153.6996
700.000000	100.051109	-155.0322
710.000000	100.028633	-156.3296
720.000000	100.005653	-157.5896
730.000000	99.982475	-158.8136
740.000000	99.959305	-160.0047
750.000000	99.936234	-161.1640
762.000000	99.908981	-162.5102
775.000000	99.880501	-163.9091
788.000000	99.853699	-165.2480
800.000000	99.830887	-166.4371
812.000000	99.810249	-167.5834
825.000000	99.790672	-168.7721
838.000000	99.774406	-169.9066
850.000000	99.762642	-170.9130
862.000000	99.754372	-171.8842
875.000000	99.749878	-172.8978
885.000000	99.749748	-173.6497
900.000000	99.754463	-174.7313
912.000000	99.762093	-175.5571
925.000000	99.774872	-176.4197
938.000000	99.793007	-177.2567
950.000000	99.814606	-178.0094
962.000000	99.840866	-178.7443
975.000000	99.874451	-179.5226
988.000000	99.913193	179.7139
1000.000000	99.953270	179.0179
1015.000000	100.008461	178.1536
1030.000000	100.068703	177.2924
1044.000000	100.129433	176.4913
1060.000000	100.204056	175.5760
1075.000000	100.278572	174.7126
1090.000000	100.356476	173.8406
1106.000000	100.441994	172.9001
1120.000000	100.518120	172.0684
1138.000000	100.617279	170.9861
1150.000000	100.683922	170.2574
1172.000000	100.806236	168.9112
1180.000000	100.850464	168.4191
1206.000000	100.992111	166.8095
1220.000000	101.066544	165.9370
1241.000000	101.175568	164.6292
1250.000000	101.221420	164.0712
1265.000000	101.296715	163.1460
1280.000000	101.370331	162.2288
1315.000000	101.535172	160.1307
1320.000000	101.557968	159.8360
1340.000000	101.647408	158.6711
1360.000000	101.734512	157.5319
1380.000000	101.820007	156.4219
1400.000000	101.904518	155.3406
1430.000000	102.029945	153.7712
1450.000000	102.113342	152.7621
1475.000000	102.218445	151.5431
1500.000000	102.325150	150.3676
1525.000000	102.433937	149.2283
