* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -11.4 dBFS, measurement signal peak level -10.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 26, 2021 10:15:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0993 ms (-34 mm, -1.34 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: Audiosense DT200
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.503845	21.4877
20.600000	104.520256	21.2344
20.900000	104.561188	20.6278
21.200001	104.597153	19.9518
21.400000	104.614555	19.5100
21.799999	104.636559	18.7163
22.000000	104.643837	18.3780
22.400000	104.656326	17.8089
22.700001	104.666031	17.4475
23.000000	104.675125	17.1135
23.299999	104.681732	16.7874
23.600000	104.684540	16.4604
24.000000	104.683121	16.0217
24.299999	104.681122	15.6917
24.700001	104.682312	15.2456
25.000000	104.688187	14.9008
25.400000	104.702194	14.4266
25.799999	104.719154	13.9564
26.200001	104.734634	13.5295
26.500000	104.744293	13.2588
26.900000	104.755974	12.9657
27.200001	104.765182	12.7781
27.600000	104.778236	12.5157
28.000000	104.788910	12.1817
28.500000	104.789642	11.6241
29.000000	104.770477	10.9840
29.500000	104.740799	10.3997
30.000000	104.723419	9.9528
30.400000	104.728256	9.6642
30.700001	104.740822	9.4517
31.100000	104.759804	9.1479
31.500000	104.768234	8.8410
32.000000	104.754463	8.5513
32.500000	104.724792	8.4550
33.000000	104.705681	8.4991
33.500000	104.712158	8.5066
34.000000	104.735588	8.3173
34.500000	104.757019	7.9141
35.000000	104.765450	7.4021
35.500000	104.763161	6.8908
36.000000	104.757355	6.4243
36.500000	104.751236	5.9978
37.000000	104.743752	5.6023
37.500000	104.734390	5.2405
38.200001	104.721771	4.7881
38.700001	104.715073	4.4860
39.500000	104.705528	4.0185
40.000000	104.698212	3.7487
40.599998	104.688698	3.4625
41.200001	104.679886	3.2091
41.799999	104.671410	2.9663
42.500000	104.659729	2.6744
43.099998	104.647835	2.4126
43.700001	104.636269	2.1420
44.400002	104.626358	1.8181
45.000000	104.621674	1.5355
45.500000	104.618843	1.2977
46.200001	104.611710	0.9656
46.799999	104.598579	0.6914
47.500000	104.574600	0.3959
48.200001	104.545662	0.1212
48.700001	104.524597	-0.0724
49.400002	104.497162	-0.3446
50.000000	104.477905	-0.5748
50.799999	104.461342	-0.8716
51.500000	104.454659	-1.1160
52.200001	104.451958	-1.3397
53.000000	104.449036	-1.5882
53.799999	104.440926	-1.8704
54.500000	104.428276	-2.1536
55.200001	104.412796	-2.4481
56.000000	104.392593	-2.7564
57.000000	104.359589	-3.0619
58.000000	104.316307	-3.3687
59.000000	104.265594	-3.7708
60.000000	104.225914	-4.1215
60.799999	104.217216	-4.2830
61.500000	104.220940	-4.3770
62.200001	104.222687	-4.4698
63.000000	104.214371	-4.5956
64.000000	104.192230	-4.7901
65.000000	104.165932	-5.0132
66.000000	104.139854	-5.2438
67.000000	104.114738	-5.4749
68.000000	104.091034	-5.6989
69.000000	104.067673	-5.9108
70.000000	104.041862	-6.1078
71.000000	104.013466	-6.2932
72.000000	103.984207	-6.4745
73.000000	103.954849	-6.6481
74.000000	103.925514	-6.8076
75.000000	103.897415	-6.9629
76.199997	103.867996	-7.1642
77.500000	103.839584	-7.3672
78.800003	103.808029	-7.4932
80.000000	103.775856	-7.5833
81.199997	103.749191	-7.7147
82.500000	103.732086	-7.9216
83.800003	103.716522	-8.1672
85.000000	103.696609	-8.3922
86.199997	103.672806	-8.6013
87.500000	103.643822	-8.8014
88.500000	103.619469	-8.9384
90.000000	103.580627	-9.1295
91.199997	103.549355	-9.2749
92.500000	103.516762	-9.4283
93.800003	103.485222	-9.5787
95.000000	103.456161	-9.7131
96.199997	103.426826	-9.8419
97.500000	103.394997	-9.9756
98.800003	103.363205	-10.1025
100.000000	103.334091	-10.2114
101.500000	103.298302	-10.3345
103.000000	103.262779	-10.4469
104.400002	103.229446	-10.5492
106.000000	103.191551	-10.6668
107.500000	103.156876	-10.7742
109.000000	103.123215	-10.8754
110.599998	103.087814	-10.9782
112.000000	103.056786	-11.0656
113.800003	103.017006	-11.1672
115.000000	102.991188	-11.2188
117.199997	102.947624	-11.2615
118.000000	102.932793	-11.2632
120.599998	102.879951	-11.3338
122.000000	102.846100	-11.4471
124.099998	102.793640	-11.6269
125.000000	102.771812	-11.6885
126.500000	102.736664	-11.7704
128.000000	102.702721	-11.8337
131.500000	102.625900	-11.9424
132.000000	102.615150	-11.9561
134.000000	102.572693	-12.0067
136.000000	102.530838	-12.0476
138.000000	102.489365	-12.0805
140.000000	102.447922	-12.1101
143.000000	102.386032	-12.1492
145.000000	102.345161	-12.1659
147.500000	102.294922	-12.1704
150.000000	102.245544	-12.1633
152.500000	102.196358	-12.1612
155.000000	102.146973	-12.1626
157.500000	102.096420	-12.1626
160.000000	102.045250	-12.1700
162.500000	101.996819	-12.1769
165.000000	101.952530	-12.1520
167.500000	101.908440	-12.0903
170.000000	101.862213	-12.0135
172.500000	101.814842	-11.9409
175.000000	101.767982	-11.8751
177.500000	101.721321	-11.8022
180.000000	101.674713	-11.7092
182.500000	101.629196	-11.5936
185.000000	101.584915	-11.4656
187.500000	101.540970	-11.3278
190.000000	101.496727	-11.1673
192.500000	101.452217	-10.9776
195.000000	101.407745	-10.7589
197.500000	101.364120	-10.5044
200.000000	101.323273	-10.2007
203.000000	101.283890	-9.7525
206.000000	101.264977	-9.2177
209.000000	101.276520	-8.6520
212.000000	101.323090	-8.1668
214.000000	101.370720	-7.9556
218.000000	101.479271	-7.9244
220.000000	101.524971	-8.1016
224.000000	101.573303	-8.6897
227.000000	101.569313	-9.1823
230.000000	101.538910	-9.6246
233.000000	101.492142	-9.9902
236.000000	101.437042	-10.2763
240.000000	101.360565	-10.5152
243.000000	101.305237	-10.5774
247.000000	101.234772	-10.5658
250.000000	101.183708	-10.5299
254.000000	101.118095	-10.4675
258.000000	101.056458	-10.3983
262.000000	100.999451	-10.3315
265.000000	100.958969	-10.2838
269.000000	100.905960	-10.2163
272.000000	100.865982	-10.1577
276.000000	100.812439	-10.0675
280.000000	100.759155	-9.9686
285.000000	100.692825	-9.8361
290.000000	100.626541	-9.6852
295.000000	100.560181	-9.5148
300.000000	100.496689	-9.3330
304.000000	100.450455	-9.1833
307.000000	100.417450	-9.0679
311.000000	100.373596	-8.9099
315.000000	100.329048	-8.7503
320.000000	100.272835	-8.5515
325.000000	100.216644	-8.3486
330.000000	100.160736	-8.1359
335.000000	100.105446	-7.9115
340.000000	100.050995	-7.6759
345.000000	99.997604	-7.4294
350.000000	99.945908	-7.1734
355.000000	99.896408	-6.9089
360.000000	99.849098	-6.6319
365.000000	99.804085	-6.3406
370.000000	99.761848	-6.0461
375.000000	99.722473	-5.7606
382.000000	99.670654	-5.3808
387.000000	99.634659	-5.1209
395.000000	99.577301	-4.7199
400.000000	99.541428	-4.4752
406.000000	99.498817	-4.1848
412.000000	99.457245	-3.8963
418.000000	99.417313	-3.6161
425.000000	99.372353	-3.3100
431.000000	99.332771	-3.0606
437.000000	99.290771	-2.8127
444.000000	99.238785	-2.5190
450.000000	99.191818	-2.2617
455.000000	99.151306	-2.0418
462.000000	99.093292	-1.7245
468.000000	99.042740	-1.4439
475.000000	98.983490	-1.1050
482.000000	98.926193	-0.7467
487.000000	98.887161	-0.4780
