* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -14.4 dBFS, measurement signal peak level -8.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 26, 2021 10:55:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0431 ms (-15 mm, -0.58 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: Co-Donguri Shizuku
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.383545	-163.9083
20.600000	100.384598	-164.0340
20.900000	100.387878	-164.3420
21.200001	100.392998	-164.7102
21.400000	100.397537	-164.9738
21.799999	100.409241	-165.5145
22.000000	100.416191	-165.7800
22.400000	100.431549	-166.2842
22.700001	100.443306	-166.6295
23.000000	100.454079	-166.9468
23.299999	100.462784	-167.2414
23.600000	100.468803	-167.5198
24.000000	100.473312	-167.8784
24.299999	100.475983	-168.1489
24.700001	100.482178	-168.5322
25.000000	100.490303	-168.8528
25.400000	100.504974	-169.3386
25.799999	100.519547	-169.8810
26.200001	100.528580	-170.4361
26.500000	100.530174	-170.8242
26.900000	100.526810	-171.2657
27.200001	100.522263	-171.5311
27.600000	100.516197	-171.8146
28.000000	100.510460	-172.0526
28.500000	100.500542	-172.3347
29.000000	100.485382	-172.6149
29.500000	100.469940	-172.8863
30.000000	100.464096	-173.1687
30.400000	100.469284	-173.4343
30.700001	100.477386	-173.6706
31.100000	100.489365	-174.0346
31.500000	100.497261	-174.4309
32.000000	100.496727	-174.9089
32.500000	100.486679	-175.3067
33.000000	100.475418	-175.6106
33.500000	100.470589	-175.8623
34.000000	100.474533	-176.1261
34.500000	100.484848	-176.4413
35.000000	100.497871	-176.8080
35.500000	100.511230	-177.2049
36.000000	100.522675	-177.6087
36.500000	100.528946	-177.9981
37.000000	100.527420	-178.3499
37.500000	100.518944	-178.6481
38.200001	100.503975	-179.0036
38.700001	100.495781	-179.2686
39.500000	100.484009	-179.7859
40.000000	100.473549	179.8579
40.599998	100.458488	179.4536
41.200001	100.444550	179.0906
41.799999	100.432892	178.7454
42.500000	100.419090	178.3370
43.099998	100.405144	177.9928
43.700001	100.390152	177.6759
44.400002	100.372528	177.3441
45.000000	100.356750	177.0726
45.500000	100.343193	176.8373
46.200001	100.325623	176.4751
46.799999	100.313217	176.1360
47.500000	100.299957	175.7438
48.200001	100.283981	175.4038
48.700001	100.270157	175.1995
49.400002	100.250061	174.9329
50.000000	100.235550	174.6841
50.799999	100.222435	174.3051
51.500000	100.213486	173.9616
