* Measurement data measured by REW V5.19
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Sep 21, 2020 8:50:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Fiio FH3
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.0 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000	79.252	179.559
20.291	79.215	179.155
20.586	79.179	178.755
20.885	79.144	178.354
21.189	79.110	177.948
21.497	79.079	177.533
21.810	79.048	177.111
22.127	79.015	176.684
22.449	78.980	176.256
22.776	78.944	175.830
23.107	78.906	175.409
23.443	78.868	174.993
23.784	78.829	174.580
24.130	78.791	174.168
24.481	78.752	173.755
24.837	78.713	173.344
25.198	78.672	172.936
25.565	78.630	172.537
25.937	78.588	172.145
26.314	78.547	171.758
26.697	78.506	171.367
27.085	78.466	170.971
27.479	78.424	170.571
27.879	78.380	170.176
28.284	78.335	169.790
28.696	78.289	169.419
29.113	78.243	169.060
29.537	78.198	168.708
29.966	78.154	168.358
30.402	78.115	168.006
30.844	78.075	167.645
31.293	78.035	167.275
31.748	77.991	166.900
32.210	77.945	166.530
32.678	77.897	166.174
33.154	77.848	165.829
33.636	77.801	165.486
34.125	77.752	165.141
34.621	77.703	164.798
35.125	77.653	164.464
35.636	77.603	164.137
36.154	77.554	163.808
36.680	77.505	163.473
37.214	77.453	163.140
37.755	77.400	162.817
38.304	77.348	162.508
38.861	77.297	162.204
39.427	77.245	161.901
40.000	77.193	161.598
40.582	77.139	161.294
41.172	77.084	160.992
41.771	77.028	160.697
42.379	76.973	160.403
42.995	76.920	160.103
43.620	76.865	159.815
44.255	76.811	159.560
44.898	76.764	159.301
45.552	76.717	158.996
46.214	76.660	158.697
46.886	76.603	158.465
47.568	76.554	158.233
48.260	76.501	157.932
48.962	76.434	157.660
49.674	76.370	157.474
50.397	76.316	157.234
51.130	76.247	156.925
51.874	76.169	156.751
52.628	76.116	156.642
53.394	76.073	156.356
54.170	76.007	156.053
54.958	75.944	155.864
55.758	75.884	155.620
56.569	75.811	155.481
57.391	75.761	155.371
58.226	75.682	155.074
59.073	75.574	155.265
59.932	75.583	155.512
60.804	75.579	154.797
61.688	75.444	154.299
62.586	75.359	154.355
63.496	75.305	154.079
64.420	75.223	153.883
65.357	75.166	153.731
66.307	75.101	153.533
67.272	75.040	153.394
68.250	74.973	153.231
69.243	74.908	153.167
70.250	74.847	153.020
71.272	74.772	152.901
72.309	74.706	152.820
73.360	74.641	152.690
74.427	74.573	152.568
75.510	74.508	152.500
76.608	74.451	152.409
77.723	74.388	152.273
78.853	74.313	152.187
80.000	74.246	152.170
81.164	74.181	152.088
82.344	74.113	152.031
83.542	74.047	151.955
84.757	73.978	151.919
85.990	73.915	151.864
87.241	73.843	151.813
88.510	73.775	151.812
89.797	73.710	151.767
91.103	73.637	151.734
92.428	73.568	151.749
93.773	73.501	151.737
95.137	73.438	151.746
96.520	73.365	151.686
97.924	73.294	151.778
99.349	73.230	151.761
100.794	73.159	151.793
102.260	73.089	151.801
103.747	73.019	151.802
105.256	72.951	151.844
106.787	72.889	151.875
108.340	72.821	151.935
109.916	72.754	152.032
111.515	72.684	152.055
113.137	72.621	152.063
114.783	72.561	152.161
116.452	72.495	152.293
118.146	72.433	152.339
119.865	72.477	153.256
121.608	72.308	152.359
123.377	72.232	152.643
125.171	72.149	152.764
126.992	72.075	152.811
128.839	72.003	152.903
130.713	71.934	153.041
132.615	71.860	153.260
134.543	71.770	153.380
136.500	71.693	153.558
138.486	71.616	153.798
140.500	71.525	154.101
142.544	71.437	154.459
144.617	71.350	154.932
146.721	71.272	155.501
148.855	71.226	156.268
151.020	71.229	157.066
153.217	71.303	157.576
155.445	71.379	157.578
157.706	71.405	157.293
160.000	71.390	157.017
162.327	71.349	156.855
