* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.944. Timing signal peak level -6.4 dBFS, measurement signal peak level -6.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 9, 2021 1:32:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0249 ms (-8.5 mm, -0.34 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: B3 (TWS)
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.272781	73.9162
20.600000	104.221306	73.2670
20.900000	104.079620	71.7869
21.200001	103.923416	70.3624
21.400000	103.833076	69.5828
21.799999	103.744232	68.4144
22.000000	103.760284	67.9562
22.400000	103.902046	67.1050
22.700001	104.065109	66.4167
23.000000	104.236107	65.6918
23.299999	104.387657	64.9907
23.600000	104.507301	64.3799
24.000000	104.619659	63.7513
24.299999	104.680077	63.3793
24.700001	104.746635	62.9055
25.000000	104.795273	62.5005
25.400000	104.866577	61.8616
25.799999	104.950829	61.1442
26.200001	105.049614	60.4113
26.500000	105.130470	59.8782
26.900000	105.238358	59.2018
27.200001	105.312424	58.7218
27.600000	105.394432	58.1185
28.000000	105.455963	57.5559
28.500000	105.513420	56.8937
29.000000	105.567825	56.2361
29.500000	105.632652	55.5501
30.000000	105.711014	54.8395
30.400000	105.780807	54.2745
30.700001	105.835381	53.8630
31.100000	105.909134	53.3333
31.500000	105.982101	52.8159
32.000000	106.068596	52.1621
32.500000	106.144989	51.4844
33.000000	106.207291	50.8010
33.500000	106.256546	50.1521
34.000000	106.299988	49.5625
34.500000	106.346100	49.0170
35.000000	106.399513	48.4792
35.500000	106.460022	47.9319
36.000000	106.525833	47.3900
36.500000	106.595810	46.8739
37.000000	106.668106	46.3832
37.500000	106.738922	45.8996
38.200001	106.828934	45.2053
38.700001	106.886169	44.6911
39.500000	106.970863	43.8428
40.000000	107.020859	43.3135
40.599998	107.077652	42.7132
41.200001	107.132095	42.1682
41.799999	107.185829	41.6588
42.500000	107.247353	41.0561
43.099998	107.297668	40.5053
43.700001	107.345695	39.9251
44.400002	107.400177	39.2339
45.000000	107.446152	38.6528
45.500000	107.483231	38.1907
46.200001	107.530281	37.5939
46.799999	107.563927	37.1363
47.500000	107.597534	36.6481
48.200001	107.631699	36.1495
48.700001	107.659325	35.7522
49.400002	107.703835	35.1364
50.000000	107.747681	34.5866
50.799999	107.811081	33.8760
51.500000	107.862633	33.3085
52.200001	107.904144	32.8213
53.000000	107.942459	32.3546
53.799999	107.976410	31.8938
54.500000	108.000610	31.4332
55.200001	108.018570	30.9424
56.000000	108.037949	30.4343
57.000000	108.066460	29.9549
58.000000	108.074203	29.5985
59.000000	108.048508	29.2968
60.000000	108.044022	28.8613
60.799999	108.080132	28.2598
61.500000	108.125793	27.6094
62.200001	108.168976	26.9858
63.000000	108.208733	26.4012
64.000000	108.247299	25.8187
65.000000	108.282204	25.2824
66.000000	108.316666	24.7385
67.000000	108.347351	24.1986
68.000000	108.375275	23.6814
69.000000	108.404289	23.1984
70.000000	108.435448	22.7511
71.000000	108.467682	22.3077
72.000000	108.501045	21.8312
73.000000	108.535126	21.3220
74.000000	108.564194	20.8082
75.000000	108.580490	20.3147
76.199997	108.584579	19.7579
77.500000	108.585632	19.1668
78.800003	108.590584	18.5674
80.000000	108.599190	18.0328
81.199997	108.614235	17.5408
82.500000	108.633850	17.0638
83.800003	108.649338	16.6335
85.000000	108.660538	16.2505
86.199997	108.672256	15.8557
87.500000	108.686470	15.4135
88.500000	108.698387	15.0730
90.000000	108.717026	14.5641
91.199997	108.731850	14.1470
92.500000	108.746841	13.6789
93.800003	108.759651	13.2013
95.000000	108.769485	12.7571
96.199997	108.777000	12.3145
97.500000	108.780624	11.8508
98.800003	108.778595	11.4175
100.000000	108.773666	11.0478
101.500000	108.766090	10.6228
103.000000	108.757149	10.2358
104.400002	108.747650	9.9054
106.000000	108.737236	9.5696
107.500000	108.731270	9.2978
109.000000	108.733635	9.0528
110.599998	108.748367	8.7874
112.000000	108.769196	8.5179
113.800003	108.800011	8.0898
115.000000	108.821732	7.7610
117.199997	108.869843	7.1298
118.000000	108.890228	6.9148
120.599998	108.926994	6.4130
122.000000	108.915558	6.2263
