* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -4.1 dBFS, measurement signal peak level -4.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 26, 2021 9:56:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0932 ms (-32 mm, -1.26 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: Ikko OH10
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	111.092613	-163.1026
20.600000	111.094063	-163.2911
20.900000	111.097443	-163.7458
21.200001	111.099594	-164.2665
21.400000	111.099823	-164.6236
21.799999	111.098267	-165.3283
22.000000	111.097168	-165.6670
22.400000	111.095978	-166.3093
22.700001	111.097153	-166.7598
23.000000	111.100296	-167.1890
23.299999	111.104889	-167.6054
23.600000	111.109764	-168.0174
24.000000	111.114456	-168.5703
24.299999	111.115273	-168.9896
24.700001	111.111938	-169.5490
25.000000	111.106819	-169.9606
25.400000	111.098869	-170.4870
25.799999	111.093163	-170.9818
26.200001	111.092247	-171.4517
26.500000	111.094505	-171.7969
26.900000	111.098373	-172.2580
27.200001	111.099068	-172.6060
27.600000	111.093361	-173.0637
28.000000	111.078949	-173.5001
28.500000	111.052780	-174.0053
29.000000	111.027267	-174.4940
29.500000	111.009491	-175.0189
30.000000	110.999069	-175.6069
30.400000	110.992844	-176.1008
30.700001	110.988098	-176.4593
31.100000	110.981567	-176.8919
31.500000	110.975861	-177.2571
32.000000	110.970772	-177.6389
32.500000	110.965500	-177.9980
33.000000	110.954056	-178.3954
33.500000	110.932579	-178.8493
34.000000	110.902954	-179.3385
34.500000	110.870804	-179.8306
35.000000	110.840836	179.7059
35.500000	110.814484	179.3007
36.000000	110.792122	178.9788
36.500000	110.775574	178.7401
37.000000	110.767075	178.5436
37.500000	110.765839	178.3251
38.200001	110.767044	177.9030
38.700001	110.763298	177.5231
39.500000	110.746750	176.8666
40.000000	110.732597	176.4594
40.599998	110.713646	175.9812
41.200001	110.692589	175.5143
41.799999	110.670067	175.0618
42.500000	110.643684	174.5545
43.099998	110.621529	174.1361
43.700001	110.598938	173.7315
44.400002	110.570396	173.2767
45.000000	110.543579	172.9034
45.500000	110.520538	172.6048
46.200001	110.489594	172.2008
46.799999	110.465324	171.8578
47.500000	110.438019	171.4528
48.200001	110.409409	171.0430
48.700001	110.387749	170.7480
49.400002	110.356628	170.3344
