* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -13.0 dBFS, measurement signal peak level -9.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 27, 2021 10:38:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0910 ms (-31 mm, -1.23 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: FDX1 (100% Sedna)
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.396988	-146.7835
20.600000	101.378166	-147.0089
20.900000	101.330429	-147.5414
21.200001	101.288208	-148.1218
21.400000	101.270058	-148.5101
21.799999	101.261871	-149.3009
22.000000	101.270081	-149.7067
22.400000	101.301743	-150.5196
22.700001	101.329628	-151.0877
23.000000	101.356033	-151.5843
23.299999	101.379059	-151.9976
23.600000	101.398392	-152.3426
24.000000	101.417961	-152.7607
24.299999	101.426880	-153.0938
24.700001	101.429863	-153.6099
25.000000	101.426590	-154.0540
25.400000	101.419510	-154.7008
25.799999	101.415970	-155.3757
26.200001	101.419365	-156.0463
26.500000	101.425125	-156.5282
26.900000	101.432617	-157.1147
27.200001	101.435623	-157.4957
27.600000	101.435501	-157.9178
28.000000	101.432808	-158.2644
28.500000	101.429291	-158.6733
29.000000	101.423599	-159.1464
29.500000	101.409317	-159.6879
30.000000	101.384659	-160.2063
30.400000	101.362473	-160.5440
30.700001	101.348740	-160.7466
31.100000	101.338455	-160.9798
31.500000	101.338272	-161.2342
32.000000	101.346687	-161.6772
32.500000	101.355270	-162.2938
33.000000	101.359703	-163.0120
33.500000	101.365631	-163.7144
34.000000	101.381454	-164.3219
34.500000	101.406174	-164.8298
35.000000	101.425873	-165.2648
35.500000	101.425537	-165.6272
36.000000	101.403465	-165.8922
36.500000	101.373901	-166.0627
37.000000	101.355919	-166.2003
37.500000	101.357918	-166.3883
38.200001	101.376694	-166.7926
38.700001	101.380333	-167.1250
39.500000	101.349487	-167.5784
40.000000	101.315163	-167.8136
40.599998	101.274193	-168.1254
41.200001	101.241951	-168.5141
41.799999	101.218048	-168.9370
42.500000	101.193924	-169.3559
43.099998	101.171623	-169.6086
43.700001	101.146500	-169.8123
44.400002	101.115898	-170.0870
45.000000	101.091690	-170.3820
45.500000	101.074165	-170.6385
46.200001	101.053345	-170.9427
46.799999	101.037827	-171.1321
47.500000	101.019829	-171.3384
48.200001	100.998276	-171.6203
48.700001	100.980713	-171.8688
49.400002	100.958733	-172.2056
50.000000	100.947868	-172.4147
50.799999	100.946281	-172.5490
51.500000	100.950569	-172.6005
52.200001	100.950874	-172.7057
53.000000	100.937035	-172.9769
53.799999	100.907562	-173.3692
54.500000	100.876617	-173.7216
55.200001	100.847816	-174.0247
56.000000	100.820786	-174.3156
57.000000	100.797012	-174.7344
58.000000	100.788956	-175.4134
59.000000	100.786133	-176.2932
60.000000	100.762260	-176.8186
60.799999	100.736542	-176.6849
