* Measurement data measured by REW V5.19
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Feb 2, 2021 6:06:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Feb 2 18:06:48
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.0 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000	73.364	23.315
20.291	73.388	22.898
20.586	73.412	22.480
20.885	73.437	22.058
21.189	73.462	21.631
21.497	73.486	21.200
21.810	73.509	20.768
22.127	73.532	20.337
22.449	73.553	19.910
22.776	73.574	19.490
23.107	73.594	19.078
23.443	73.613	18.672
23.784	73.633	18.272
24.130	73.652	17.878
24.481	73.671	17.488
24.837	73.690	17.102
25.198	73.708	16.719
25.565	73.727	16.336
25.937	73.745	15.950
26.314	73.762	15.562
26.697	73.777	15.171
27.085	73.791	14.781
27.479	73.804	14.396
27.879	73.816	14.018
28.284	73.828	13.645
28.696	73.840	13.273
29.113	73.854	12.898
29.537	73.867	12.518
29.966	73.882	12.128
30.402	73.896	11.729
30.844	73.909	11.321
31.293	73.920	10.907
31.748	73.930	10.497
32.210	73.939	10.096
32.678	73.948	9.709
33.154	73.958	9.332
33.636	73.969	8.959
34.125	73.981	8.584
34.621	73.994	8.207
35.125	74.006	7.828
35.636	74.017	7.449
36.154	74.027	7.073
36.680	74.036	6.700
37.214	74.045	6.330
37.755	74.053	5.964
38.304	74.061	5.598
38.861	74.068	5.230
39.427	74.076	4.858
40.000	74.082	4.481
40.582	74.089	4.102
41.172	74.095	3.721
41.771	74.100	3.339
42.379	74.106	2.955
42.995	74.112	2.573
43.620	74.117	2.195
44.255	74.122	1.820
44.898	74.126	1.450
45.552	74.130	1.082
46.214	74.133	0.717
46.886	74.135	0.355
47.568	74.135	-0.008
48.260	74.136	-0.374
48.962	74.136	-0.744
49.674	74.136	-1.122
50.397	74.136	-1.507
51.130	74.136	-1.897
51.874	74.138	-2.288
52.628	74.139	-2.676
53.394	74.141	-3.059
54.170	74.142	-3.431
54.958	74.141	-3.786
55.758	74.138	-4.121
56.569	74.131	-4.435
57.391	74.123	-4.724
58.226	74.115	-4.994
59.073	74.112	-5.273
59.932	74.115	-5.607
60.804	74.119	-6.028
61.688	74.117	-6.514
62.586	74.110	-7.014
63.496	74.100	-7.493
64.420	74.092	-7.944
65.357	74.085	-8.373
66.307	74.080	-8.784
67.272	74.073	-9.181
68.250	74.065	-9.567
69.243	74.055	-9.949
70.250	74.045	-10.336
71.272	74.034	-10.730
72.309	74.024	-11.132
73.360	74.013	-11.539
74.427	74.003	-11.947
75.510	73.993	-12.352
76.608	73.982	-12.754
77.723	73.970	-13.152
78.853	73.956	-13.549
80.000	73.941	-13.947
81.164	73.926	-14.349
82.344	73.911	-14.754
83.542	73.896	-15.163
84.757	73.880	-15.573
85.990	73.864	-15.984
87.241	73.848	-16.395
88.510	73.830	-16.806
89.797	73.812	-17.219
91.103	73.793	-17.633
92.428	73.774	-18.047
93.773	73.754	-18.463
95.137	73.734	-18.881
96.520	73.713	-19.301
97.924	73.691	-19.722
99.349	73.669	-20.144
100.794	73.646	-20.566
102.260	73.623	-20.990
103.747	73.598	-21.418
105.256	73.573	-21.849
106.787	73.548	-22.280
108.340	73.521	-22.708
109.916	73.495	-23.135
111.515	73.467	-23.569
113.137	73.440	-24.019
114.783	73.414	-24.495
116.452	73.388	-24.991
118.146	73.362	-25.488
119.865	73.332	-25.952
121.608	73.299	-26.364
123.377	73.264	-26.737
125.171	73.228	-27.106
126.992	73.192	-27.497
128.839	73.156	-27.910
130.713	73.121	-28.337
132.615	73.085	-28.768
134.543	73.048	-29.202
136.500	73.011	-29.638
138.486	72.974	-30.076
140.500	72.937	-30.515
142.544	72.899	-30.955
144.617	72.860	-31.396
146.721	72.820	-31.840
148.855	72.779	-32.286
151.020	72.737	-32.732
153.217	72.695	-33.180
155.445	72.651	-33.628
157.706	72.606	-34.077
160.000	72.559	-34.525
162.327	72.512	-34.971
164.688	72.464	-35.417
167.084	72.417	-35.863
169.514	72.368	-36.310
171.980	72.319	-36.755
174.481	72.269	-37.195
177.019	72.218	-37.632
179.594	72.166	-38.070
182.206	72.114	-38.510
184.856	72.059	-38.951
187.545	72.005	-39.392
190.273	71.949	-39.832
193.041	71.893	-40.269
195.849	71.837	-40.705
198.697	71.780	-41.140
201.587	71.722	-41.574
204.520	71.663	-42.005
207.494	71.604	-42.434
210.512	71.544	-42.860
213.574	71.483	-43.285
216.681	71.421	-43.708
219.833	71.359	-44.130
223.030	71.296	-44.551
226.274	71.233	-44.971
229.565	71.170	-45.392
232.905	71.108	-45.814
236.292	71.045	-46.234
239.729	70.979	-46.647
243.216	70.910	-47.050
246.754	70.839	-47.444
250.343	70.766	-47.836
253.984	70.693	-48.226
257.678	70.621	-48.614
261.426	70.548	-48.999
265.229	70.475	-49.381
269.087	70.402	-49.761
273.001	70.328	-50.137
276.972	70.254	-50.508
281.000	70.180	-50.872
285.088	70.105	-51.231
289.234	70.030	-51.584
293.441	69.955	-51.934
297.710	69.878	-52.278
302.040	69.800	-52.614
306.433	69.720	-52.943
310.890	69.638	-53.264
315.412	69.557	-53.579
320.000	69.475	-53.886
324.655	69.393	-54.185
329.377	69.310	-54.474
334.168	69.226	-54.751
339.028	69.142	-55.014
343.959	69.056	-55.258
348.962	68.970	-55.481
354.038	68.884	-55.679
359.188	68.800	-55.850
364.412	68.717	-55.995
369.713	68.639	-56.114
375.090	68.566	-56.213
380.546	68.499	-56.300
386.081	68.441	-56.396
391.697	68.389	-56.519
397.395	68.342	-56.692
403.175	68.296	-56.926
409.039	68.248	-57.216
414.989	68.193	-57.545
421.025	68.129	-57.891
427.149	68.058	-58.229
433.362	67.980	-58.545
439.665	67.898	-58.830
446.060	67.812	-59.080
452.548	67.725	-59.294
459.131	67.637	-59.474
465.809	67.549	-59.622
472.584	67.462	-59.741
479.458	67.376	-59.838
486.432	67.291	-59.915
493.507	67.207	-59.972
500.686	67.125	-60.006
507.968	67.045	-60.018
515.357	66.966	-60.008
522.853	66.888	-59.981
530.458	66.813	-59.937
538.174	66.740	-59.875
546.002	66.670	-59.794
553.943	66.602	-59.696
562.001	66.537	-59.582
570.175	66.474	-59.454
578.469	66.413	-59.310
586.883	66.355	-59.152
595.419	66.299	-58.980
604.080	66.246	-58.795
612.866	66.194	-58.598
621.780	66.146	-58.386
630.824	66.099	-58.161
640.000	66.056	-57.923
649.309	66.015	-57.672
658.753	65.976	-57.407
668.335	65.939	-57.127
678.056	65.905	-56.829
687.919	65.873	-56.510
697.925	65.844	-56.169
708.076	65.819	-55.806
718.376	65.798	-55.422
728.825	65.784	-55.018
739.426	65.775	-54.600
750.181	65.772	-54.176
761.093	65.774	-53.753
772.163	65.780	-53.338
783.394	65.789	-52.930
794.789	65.800	-52.524
806.349	65.812	-52.111
818.078	65.826	-51.680
