* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -9.7 dBFS, measurement signal peak level -9.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 1, 2021 5:24:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.2105 ms (-72 mm, -2.84 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: Moondrop Aria
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.052803	-149.5031
20.600000	107.059784	-149.7206
20.900000	107.079277	-150.2366
21.200001	107.102837	-150.8036
21.400000	107.119705	-151.1814
21.799999	107.152763	-151.9324
22.000000	107.167145	-152.3084
22.400000	107.188431	-153.0635
22.700001	107.196457	-153.6248
23.000000	107.198509	-154.1740
23.299999	107.196556	-154.7086
23.600000	107.192879	-155.2322
24.000000	107.188255	-155.9242
24.299999	107.186035	-156.4433
24.700001	107.185341	-157.1318
25.000000	107.187057	-157.6377
25.400000	107.193542	-158.2898
25.799999	107.205612	-158.9167
26.200001	107.222092	-159.5287
26.500000	107.235329	-159.9829
26.900000	107.251015	-160.5798
27.200001	107.259819	-161.0155
27.600000	107.267227	-161.5728
28.000000	107.270607	-162.1045
28.500000	107.270744	-162.7523
29.000000	107.266113	-163.4061
29.500000	107.255913	-164.0652
30.000000	107.242523	-164.7028
30.400000	107.232857	-165.1835
30.700001	107.227638	-165.5269
31.100000	107.223602	-165.9683
31.500000	107.221283	-166.3990
32.000000	107.217049	-166.9277
32.500000	107.208786	-167.4455
33.000000	107.197075	-167.9562
33.500000	107.184097	-168.4693
34.000000	107.171547	-168.9881
34.500000	107.160110	-169.5016
35.000000	107.150230	-169.9910
35.500000	107.141975	-170.4482
36.000000	107.134300	-170.8829
36.500000	107.125084	-171.3133
37.000000	107.112434	-171.7510
37.500000	107.096161	-172.1928
38.200001	107.071159	-172.7889
38.700001	107.055496	-173.1797
39.500000	107.037254	-173.7482
40.000000	107.027458	-174.0934
40.599998	107.012184	-174.5254
41.200001	106.990845	-174.9803
41.799999	106.965645	-175.4421
42.500000	106.936920	-175.9619
43.099998	106.914597	-176.3770
43.700001	106.892296	-176.7650
44.400002	106.862572	-177.2047
45.000000	106.832993	-177.5952
45.500000	106.807022	-177.9388
46.200001	106.773682	-178.4383
46.799999	106.752754	-178.8647
47.500000	106.740036	-179.3432
48.200001	106.736008	-179.8109
48.700001	106.732330	179.8468
49.400002	106.714668	179.3572
50.000000	106.682793	178.9681
50.799999	106.625336	178.5712
51.500000	106.580086	178.3331
52.200001	106.549713	178.1135
53.000000	106.525665	177.8008
53.799999	106.498718	177.4264
54.500000	106.469200	177.0952
55.200001	106.436623	176.7932
56.000000	106.395523	176.4963
57.000000	106.330360	176.1634
58.000000	106.244507	175.7148
59.000000	106.144547	175.1035
60.000000	106.074577	174.6485
60.799999	106.071167	174.4924
61.500000	106.090538	174.4047
62.200001	106.102737	174.2971
63.000000	106.093964	174.1372
64.000000	106.061935	173.8788
65.000000	106.024231	173.5777
66.000000	105.982933	173.2829
67.000000	105.936172	173.0032
68.000000	105.888893	172.7303
69.000000	105.844261	172.4572
70.000000	105.796837	172.1818
71.000000	105.744034	171.9113
72.000000	105.692924	171.6532
73.000000	105.649574	171.4046
74.000000	105.610367	171.1640
75.000000	105.570023	170.9384
76.199997	105.520996	170.6862
77.500000	105.470001	170.4210
78.800003	105.416702	170.1548
80.000000	105.362808	169.9149
81.199997	105.307388	169.6982
82.500000	105.248840	169.4913
83.800003	105.192467	169.2829
85.000000	105.141556	169.0876
86.199997	105.091522	168.9193
87.500000	105.037880	168.7757
88.500000	104.996071	168.6811
90.000000	104.931618	168.5423
91.199997	104.878952	168.4178
92.500000	104.821304	168.2673
93.800003	104.764839	168.1221
95.000000	104.715454	168.0101
96.199997	104.667358	167.9152
97.500000	104.614044	167.8136
98.800003	104.558868	167.7084
100.000000	104.506386	167.6236
101.500000	104.439194	167.5488
103.000000	104.372520	167.4932
104.400002	104.312653	167.4456
106.000000	104.247383	167.3983
107.500000	104.188469	167.3627
109.000000	104.130661	167.3353
110.599998	104.069328	167.3130
112.000000	104.015404	167.2979
113.800003	103.947182	167.2717
115.000000	103.905457	167.2355
117.199997	103.844315	167.0878
118.000000	103.825920	167.0166
120.599998	103.742737	166.9950
122.000000	103.674828	167.1879
124.099998	103.574097	167.5280
125.000000	103.537895	167.6456
126.500000	103.487167	167.7980
128.000000	103.445084	167.9066
131.500000	103.357941	168.0356
132.000000	103.345169	168.0427
134.000000	103.291275	168.0543
136.000000	103.233269	168.0648
138.000000	103.172997	168.1038
140.000000	103.111549	168.1715
143.000000	103.018234	168.2881
145.000000	102.954689	168.3723
147.500000	102.874542	168.5001
