* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -12.4 dBFS, measurement signal peak level -10.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 27, 2021 10:03:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0915 ms (-31 mm, -1.24 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: Moondrop SSR (Sedna)
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.779335	-109.2069
20.600000	93.834305	-109.4214
20.900000	93.983826	-109.9556
21.200001	94.153481	-110.6216
21.400000	94.266388	-111.1187
21.799999	94.468582	-112.1625
22.000000	94.551033	-112.6635
22.400000	94.676353	-113.5222
22.700001	94.743774	-113.9734
23.000000	94.802032	-114.2647
23.299999	94.863701	-114.4596
23.600000	94.936478	-114.6595
24.000000	95.049301	-115.1097
24.299999	95.135216	-115.6493
24.700001	95.233917	-116.6025
25.000000	95.289734	-117.3847
25.400000	95.343422	-118.3421
25.799999	95.390160	-119.0623
26.200001	95.448624	-119.5357
26.500000	95.504997	-119.7911
26.900000	95.591377	-120.1107
27.200001	95.657082	-120.3895
27.600000	95.735550	-120.8374
28.000000	95.800575	-121.3480
28.500000	95.873322	-122.0155
29.000000	95.957375	-122.7071
29.500000	96.060287	-123.4761
30.000000	96.166367	-124.3388
30.400000	96.238724	-125.0345
30.700001	96.281837	-125.5041
31.100000	96.326859	-126.0081
31.500000	96.365753	-126.3676
32.000000	96.416763	-126.7082
32.500000	96.471558	-127.0797
33.000000	96.523521	-127.5750
33.500000	96.573242	-128.1834
34.000000	96.631256	-128.8711
34.500000	96.702713	-129.6315
35.000000	96.777039	-130.4258
35.500000	96.839890	-131.1358
36.000000	96.891357	-131.6361
36.500000	96.945732	-131.9351
37.000000	97.012245	-132.2085
37.500000	97.081215	-132.6482
38.200001	97.147202	-133.5532
38.700001	97.169724	-134.1747
39.500000	97.221497	-134.7300
40.000000	97.294258	-134.8768
40.599998	97.415840	-135.1224
41.200001	97.538162	-135.6103
41.799999	97.629639	-136.2909
42.500000	97.691475	-137.0668
43.099998	97.726456	-137.5497
43.700001	97.765388	-137.9010
44.400002	97.820000	-138.3738
45.000000	97.864052	-138.9744
45.500000	97.894684	-139.5966
46.200001	97.935501	-140.5186
46.799999	97.976425	-141.2423
47.500000	98.025742	-141.9399
48.200001	98.062469	-142.4551
48.700001	98.080391	-142.7228
49.400002	98.105476	-143.0300
50.000000	98.135048	-143.3037
50.799999	98.182877	-143.7442
51.500000	98.215340	-144.2125
52.200001	98.220078	-144.7483
53.000000	98.194885	-145.3653
53.799999	98.187271	-145.8821
54.500000	98.239052	-146.2461
55.200001	98.342224	-146.5764
56.000000	98.468147	-146.9549
57.000000	98.553513	-147.5238
58.000000	98.544083	-148.4827
59.000000	98.475739	-149.7557
60.000000	98.426094	-150.4605
60.799999	98.463272	-150.3919
61.500000	98.539909	-150.2230
62.200001	98.614288	-150.2266
63.000000	98.669197	-150.4831
64.000000	98.710426	-151.0058
65.000000	98.749969	-151.5699
66.000000	98.789589	-152.0988
67.000000	98.828239	-152.5931
68.000000	98.870903	-153.0474
69.000000	98.910469	-153.4498
70.000000	98.932426	-153.8332
71.000000	98.940483	-154.2825
72.000000	98.951828	-154.8686
73.000000	98.969360	-155.5338
74.000000	98.988075	-156.1007
75.000000	99.012787	-156.4902
76.199997	99.047569	-156.8362
77.500000	99.072723	-157.1872
78.800003	99.086296	-157.6226
80.000000	99.096535	-158.1219
81.199997	99.107666	-158.6017
82.500000	99.118591	-159.0645
83.800003	99.122696	-159.5348
85.000000	99.121628	-159.9909
86.199997	99.121857	-160.4458
87.500000	99.128334	-160.9146
88.500000	99.135963	-161.2566
90.000000	99.145973	-161.7366
91.199997	99.153534	-162.0916
92.500000	99.161720	-162.4647
93.800003	99.169434	-162.8423
95.000000	99.179604	-163.1879
96.199997	99.194519	-163.5273
97.500000	99.209076	-163.9052
98.800003	99.215408	-164.2878
100.000000	99.216400	-164.6212
101.500000	99.214226	-165.0056
103.000000	99.207306	-165.3846
104.400002	99.200195	-165.7639
106.000000	99.198021	-166.2354
107.500000	99.201920	-166.6746
109.000000	99.204910	-167.0560
110.599998	99.203903	-167.3970
112.000000	99.203583	-167.6717
113.800003	99.206482	-167.9976
115.000000	99.213120	-168.1918
117.199997	99.248138	-168.5672
118.000000	99.267166	-168.7263
120.599998	99.294189	-169.3229
122.000000	99.267334	-169.6644
124.099998	99.212349	-170.1439
125.000000	99.193085	-170.3334
126.500000	99.169113	-170.6318
128.000000	99.153336	-170.9106
131.500000	99.126541	-171.5549
132.000000	99.122711	-171.6501
134.000000	99.105995	-172.0238
136.000000	99.087357	-172.3665
138.000000	99.068695	-172.6608
140.000000	99.050529	-172.9102
143.000000	99.024780	-173.2657
145.000000	99.009171	-173.5389
147.500000	98.988037	-173.9502
150.000000	98.958687	-174.4088
152.500000	98.928665	-174.8327
155.000000	98.904510	-175.1841
157.500000	98.878815	-175.4741
160.000000	98.841858	-175.7336
162.500000	98.796394	-176.0137
165.000000	98.756790	-176.2988
167.500000	98.724007	-176.5593
170.000000	98.693481	-176.8189
172.500000	98.665253	-177.0985
175.000000	98.637474	-177.3683
177.500000	98.608635	-177.6005
180.000000	98.580589	-177.7998
182.500000	98.554573	-177.9830
185.000000	98.526688	-178.1617
187.500000	98.492691	-178.3442
190.000000	98.452026	-178.5224
192.500000	98.404419	-178.6827
195.000000	98.354874	-178.8223
197.500000	98.313316	-178.9335
200.000000	98.282990	-179.0169
203.000000	98.252716	-179.1125
206.000000	98.220528	-179.2355
209.000000	98.186096	-179.3742
212.000000	98.150833	-179.4757
214.000000	98.127258	-179.5129
218.000000	98.084091	-179.5463
220.000000	98.067741	-179.5510
224.000000	98.047440	-179.5315
227.000000	98.037819	-179.5464
230.000000	98.023697	-179.6603
233.000000	98.002701	-179.8263
236.000000	97.977753	-179.9515
240.000000	97.935043	179.9183
243.000000	97.892929	179.7794
247.000000	97.833038	179.5936
250.000000	97.790955	179.4872
254.000000	97.735443	179.3669
258.000000	97.675598	179.2505
262.000000	97.616127	179.1377
265.000000	97.575737	179.0724
269.000000	97.527626	179.0215
272.000000	97.495026	178.9937
276.000000	97.454926	178.9407
280.000000	97.412811	178.8791
285.000000	97.348152	178.8099
290.000000	97.276520	178.7375
295.000000	97.208450	178.6705
300.000000	97.144791	178.6514
304.000000	97.095490	178.6996
307.000000	97.058502	178.7604
311.000000	97.007706	178.8489
315.000000	96.954567	178.9332
320.000000	96.887367	179.0238
325.000000	96.821777	179.0970
330.000000	96.758080	179.1744
335.000000	96.695648	179.2679
340.000000	96.631973	179.3689
345.000000	96.566452	179.4774
350.000000	96.499191	179.5981
355.000000	96.429832	179.7353
360.000000	96.360115	179.8984
365.000000	96.291985	-179.9018
370.000000	96.225891	-179.6656
375.000000	96.163399	-179.4053
382.000000	96.084770	-179.0245
387.000000	96.033829	-178.7567
395.000000	95.955498	-178.3470
400.000000	95.905807	-178.0901
406.000000	95.846161	-177.7563
412.000000	95.787521	-177.3978
418.000000	95.729988	-177.0516
425.000000	95.664368	-176.6969
431.000000	95.606956	-176.4110
437.000000	95.546974	-176.1076
444.000000	95.477097	-175.7196
450.000000	95.420670	-175.3660
455.000000	95.376160	-175.0677
462.000000	95.316719	-174.6516
468.000000	95.267899	-174.2855
475.000000	95.211090	-173.8275
482.000000	95.152069	-173.3518
487.000000	95.109131	-173.0189
494.000000	95.049034	-172.5613
500.000000	94.997650	-172.1710
508.000000	94.929825	-171.6488
515.000000	94.872162	-171.1885
522.000000	94.816696	-170.7222
530.000000	94.755600	-170.1750
538.000000	94.695122	-169.6094
545.000000	94.640533	-169.0952
552.000000	94.585426	-168.5680
560.000000	94.524597	-167.9606
570.000000	94.452110	-167.1920
580.000000	94.382614	-166.4050
590.000000	94.315491	-165.6094
600.000000	94.251274	-164.7957
608.000000	94.202538	-164.1249
615.000000	94.161194	-163.5300
622.000000	94.120575	-162.9324
630.000000	94.074654	-162.2494
640.000000	94.018684	-161.3986
650.000000	93.966225	-160.5378
660.000000	93.915321	-159.6470
670.000000	93.862625	-158.7377
680.000000	93.810471	-157.8320
690.000000	93.762100	-156.9250
700.000000	93.718132	-155.9974
710.000000	93.678017	-155.0433
720.000000	93.640549	-154.0772
730.000000	93.604301	-153.1129
740.000000	93.569870	-152.1499
750.000000	93.538818	-151.1821
762.000000	93.505768	-150.0025
775.000000	93.474472	-148.6982
788.000000	93.449570	-147.3719
800.000000	93.432365	-146.1366
812.000000	93.419090	-144.9024
825.000000	93.408257	-143.5713
838.000000	93.401741	-142.2312
850.000000	93.399742	-140.9730
862.000000	93.402519	-139.7043
875.000000	93.411514	-138.3338
885.000000	93.422554	-137.2858
900.000000	93.447098	-135.7106
912.000000	93.475220	-134.4380
925.000000	93.514519	-133.0676
938.000000	93.561264	-131.7229
950.000000	93.608543	-130.4965
962.000000	93.659561	-129.2812
975.000000	93.720146	-127.9865
988.000000	93.786713	-126.7211
1000.000000	93.853226	-125.5785
1015.000000	93.942947	-124.1821
1030.000000	94.040077	-122.8183
1044.000000	94.136894	-121.5778
1060.000000	94.253021	-120.2094
1075.000000	94.365692	-118.9847
1090.000000	94.481583	-117.8266
1106.000000	94.608360	-116.6651
1120.000000	94.721008	-115.7040
1138.000000	94.866516	-114.5345
1150.000000	94.963547	-113.7912
1172.000000	95.140213	-112.5080
1180.000000	95.203583	-112.0687
1206.000000	95.402657	-110.7310
1220.000000	95.504219	-110.0592
1241.000000	95.650291	-109.1035
1250.000000	95.710655	-108.7114
1265.000000	95.807739	-108.0819
1280.000000	95.900177	-107.4789
1315.000000	96.099915	-106.1265
1320.000000	96.126862	-105.9360
1340.000000	96.231010	-105.1743
1360.000000	96.328949	-104.4104
1380.000000	96.420792	-103.6469
1400.000000	96.507538	-102.8875
1430.000000	96.631210	-101.7442
1450.000000	96.712021	-100.9717
1475.000000	96.811920	-99.9947
1500.000000	96.908157	-99.0069
1525.000000	96.999939	-98.0099
1550.000000	97.089249	-97.0016
1575.000000	97.176826	-95.9807
1600.000000	97.263031	-94.9468
1625.000000	97.348953	-93.8990
1650.000000	97.435349	-92.8378
1675.000000	97.522552	-91.7632
1700.000000	97.610710	-90.6757
1725.000000	97.699814	-89.5777
1750.000000	97.789848	-88.4692
1775.000000	97.881554	-87.3504
1800.000000	97.975967	-86.2266
1825.000000	98.073746	-85.1042
1850.000000	98.174591	-83.9830
1875.000000	98.277840	-82.8591
1900.000000	98.383492	-81.7326
1925.000000	98.492050	-80.6078
1950.000000	98.603958	-79.4888
1975.000000	98.719246	-78.3775
2000.000000	98.837669	-77.2754
2030.000000	98.983749	-75.9663
2060.000000	99.134140	-74.6720
2090.000000	99.288879	-73.3939
2120.000000	99.448166	-72.1334
2140.000000	99.556847	-71.3041
2180.000000	99.779922	-69.6757
2200.000000	99.894333	-68.8779
2240.000000	100.128983	-67.3201
2270.000000	100.310104	-66.1876
2300.000000	100.495720	-65.0879
2330.000000	100.685661	-64.0230
2360.000000	100.879723	-62.9957
2400.000000	101.144455	-61.6909
2430.000000	101.347244	-60.7641
2470.000000	101.623138	-59.5989
2500.000000	101.834030	-58.7811
2540.000000	102.120216	-57.7735
2580.000000	102.411560	-56.8688
2620.000000	102.706749	-56.0767
2650.000000	102.929749	-55.5633
2690.000000	103.227730	-54.9935
2720.000000	103.450462	-54.6563
2760.000000	103.744331	-54.3315
2800.000000	104.032028	-54.1514
2850.000000	104.378510	-54.1269
2900.000000	104.705132	-54.3146
2950.000000	105.006615	-54.6938
3000.000000	105.279037	-55.2346
3040.000000	105.474342	-55.7608
3070.000000	105.607117	-56.1985
3110.000000	105.765564	-56.8252
3150.000000	105.902725	-57.4857
3200.000000	106.044830	-58.3352
3250.000000	106.155647	-59.1858
3300.000000	106.236755	-60.0130
3350.000000	106.289970	-60.7961
3400.000000	106.317299	-61.5171
