* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -12.7 dBFS, measurement signal peak level -10.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 27, 2021 9:58:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0852 ms (-29 mm, -1.15 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: Moondrop SSR
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.289864	-110.5748
20.600000	93.350929	-110.7713
20.900000	93.518776	-111.2454
21.200001	93.715042	-111.7877
21.400000	93.851128	-112.1545
21.799999	94.113464	-112.8389
22.000000	94.232239	-113.1349
22.400000	94.437180	-113.6137
22.700001	94.560745	-113.8811
23.000000	94.661278	-114.1045
23.299999	94.742889	-114.3301
23.600000	94.809830	-114.6037
24.000000	94.882797	-115.0929
24.299999	94.930267	-115.5532
24.700001	94.992157	-116.2506
25.000000	95.043877	-116.7965
25.400000	95.126793	-117.5158
25.799999	95.226929	-118.2159
26.200001	95.337029	-118.9095
26.500000	95.419212	-119.4299
26.900000	95.521133	-120.1122
27.200001	95.590332	-120.6029
27.600000	95.675690	-121.2175
28.000000	95.757751	-121.7913
28.500000	95.859299	-122.4713
29.000000	95.956108	-123.1148
29.500000	96.042229	-123.7074
30.000000	96.113449	-124.2610
30.400000	96.157646	-124.7046
30.700001	96.182869	-125.0475
31.100000	96.208069	-125.5098
31.500000	96.231636	-125.9527
32.000000	96.277939	-126.4611
32.500000	96.357727	-126.9630
33.000000	96.462265	-127.5312
33.500000	96.565033	-128.1582
34.000000	96.646141	-128.7379
34.500000	96.708557	-129.1857
35.000000	96.769623	-129.5448
35.500000	96.840424	-129.9494
36.000000	96.917213	-130.5023
36.500000	96.989822	-131.1959
37.000000	97.052101	-131.9360
37.500000	97.104614	-132.6195
38.200001	97.171967	-133.3768
38.700001	97.225700	-133.7806
39.500000	97.335823	-134.3649
40.000000	97.415031	-134.8168
40.599998	97.502533	-135.4985
41.200001	97.565529	-136.2538
41.799999	97.599037	-136.9554
42.500000	97.609230	-137.6059
43.099998	97.605003	-138.0329
43.700001	97.600304	-138.4039
44.400002	97.611229	-138.8412
45.000000	97.648666	-139.2455
45.500000	97.703339	-139.5987
46.200001	97.804077	-140.0959
46.799999	97.889198	-140.5050
47.500000	97.957489	-140.9705
48.200001	97.979630	-141.4903
48.700001	97.971832	-141.9315
49.400002	97.949936	-142.6198
50.000000	97.947083	-143.1991
50.799999	97.995605	-143.8742
51.500000	98.079391	-144.3755
52.200001	98.172409	-144.8092
53.000000	98.257973	-145.2551
53.799999	98.296829	-145.6727
54.500000	98.291832	-145.9516
55.200001	98.278290	-146.1318
56.000000	98.286095	-146.4082
57.000000	98.316010	-147.1881
58.000000	98.310898	-148.3934
59.000000	98.260056	-149.5642
60.000000	98.254082	-150.1510
60.799999	98.343025	-150.2550
61.500000	98.458199	-150.3243
62.200001	98.556641	-150.4657
63.000000	98.622375	-150.7122
64.000000	98.655266	-151.1532
65.000000	98.673096	-151.6961
66.000000	98.692589	-152.2295
67.000000	98.712074	-152.7376
68.000000	98.735748	-153.2612
69.000000	98.770927	-153.7916
70.000000	98.811775	-154.2949
71.000000	98.843704	-154.7746
72.000000	98.862801	-155.2503
73.000000	98.878456	-155.7239
74.000000	98.898155	-156.1604
75.000000	98.920151	-156.5281
76.199997	98.938766	-156.9082
77.500000	98.949203	-157.3230
78.800003	98.964790	-157.7753
80.000000	98.983925	-158.1880
81.199997	99.001221	-158.6287
82.500000	99.014969	-159.2162
83.800003	99.025505	-159.8522
85.000000	99.033630	-160.3856
86.199997	99.039711	-160.8471
87.500000	99.044640	-161.2881
88.500000	99.047783	-161.6061
90.000000	99.051941	-162.0815
91.199997	99.056129	-162.4644
92.500000	99.061325	-162.8728
93.800003	99.064575	-163.2680
95.000000	99.065063	-163.6167
96.199997	99.063217	-163.9472
97.500000	99.058800	-164.2852
98.800003	99.055504	-164.6135
100.000000	99.057922	-164.9186
101.500000	99.068329	-165.3024
103.000000	99.079742	-165.6862
104.400002	99.086929	-166.0522
106.000000	99.091011	-166.4875
107.500000	99.092331	-166.9005
109.000000	99.092712	-167.2976
110.599998	99.092484	-167.6975
112.000000	99.091393	-168.0409
113.800003	99.089401	-168.5103
115.000000	99.090050	-168.8643
117.199997	99.100586	-169.6566
118.000000	99.106827	-169.9814
120.599998	99.108154	-170.7676
122.000000	99.088181	-170.8931
124.099998	99.051781	-171.0048
125.000000	99.038422	-171.0913
126.500000	99.019127	-171.2867
128.000000	99.002136	-171.5251
131.500000	98.968285	-172.1562
132.000000	98.963951	-172.2495
134.000000	98.946953	-172.6207
136.000000	98.929672	-172.9798
138.000000	98.911545	-173.3243
140.000000	98.892143	-173.6620
143.000000	98.859055	-174.1507
145.000000	98.834427	-174.4601
147.500000	98.802536	-174.8364
150.000000	98.770721	-175.2046
152.500000	98.738533	-175.5600
155.000000	98.704773	-175.8995
157.500000	98.668198	-176.2161
160.000000	98.627426	-176.4977
162.500000	98.580971	-176.7454
165.000000	98.529388	-176.9855
167.500000	98.475929	-177.1995
170.000000	98.423996	-177.3408
172.500000	98.377831	-177.3976
175.000000	98.342796	-177.3835
177.500000	98.322266	-177.3345
180.000000	98.314827	-177.3041
182.500000	98.315186	-177.3334
185.000000	98.318321	-177.4419
187.500000	98.319481	-177.6326
190.000000	98.315018	-177.8767
192.500000	98.304611	-178.1340
195.000000	98.288857	-178.3871
197.500000	98.267159	-178.6403
200.000000	98.240936	-178.8964
203.000000	98.207138	-179.1937
206.000000	98.171661	-179.4648
209.000000	98.133446	-179.7083
212.000000	98.091782	-179.9296
214.000000	98.062439	179.9338
218.000000	98.001167	179.6916
220.000000	97.969521	179.5891
224.000000	97.906456	179.4189
227.000000	97.861923	179.3095
230.000000	97.820190	179.1968
233.000000	97.779617	179.0589
236.000000	97.738823	178.8875
240.000000	97.686157	178.7006
243.000000	97.650955	178.6710
247.000000	97.607269	178.6916
250.000000	97.573387	178.6776
