* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -6.2 dBFS, measurement signal peak level -6.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 27, 2021 11:10:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.1036 ms (-36 mm, -1.4 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: QDC Uranus
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.317207	-148.8708
20.600000	106.285736	-149.1596
20.900000	106.204361	-149.7447
21.200001	106.130829	-150.0816
21.400000	106.103592	-150.1027
21.799999	106.127899	-149.9111
22.000000	106.178474	-149.8558
22.400000	106.323395	-150.1026
22.700001	106.426918	-150.7003
23.000000	106.495895	-151.5677
23.299999	106.518494	-152.5436
23.600000	106.498863	-153.4583
24.000000	106.435440	-154.3865
24.299999	106.385513	-154.8346
24.700001	106.343857	-155.1765
25.000000	106.339012	-155.3310
25.400000	106.365997	-155.5077
25.799999	106.421257	-155.7308
26.200001	106.492981	-156.0543
26.500000	106.550476	-156.3859
26.900000	106.621712	-156.9589
27.200001	106.664597	-157.4766
27.600000	106.701309	-158.2329
28.000000	106.713966	-158.9920
28.500000	106.705109	-159.8413
29.000000	106.686234	-160.5332
29.500000	106.670212	-161.0947
30.000000	106.661324	-161.5780
30.400000	106.658768	-161.9301
30.700001	106.659103	-162.1794
31.100000	106.662567	-162.4964
31.500000	106.669640	-162.8040
32.000000	106.682854	-163.1929
32.500000	106.698273	-163.6027
33.000000	106.712135	-164.0327
33.500000	106.722992	-164.4633
34.000000	106.733253	-164.8735
34.500000	106.747147	-165.2623
35.000000	106.766800	-165.6511
35.500000	106.789986	-166.0628
36.000000	106.811806	-166.5006
36.500000	106.828552	-166.9466
37.000000	106.839943	-167.3786
37.500000	106.847992	-167.7891
38.200001	106.856293	-168.3470
38.700001	106.859718	-168.7484
39.500000	106.860779	-169.3908
40.000000	106.862427	-169.7823
40.599998	106.870972	-170.2449
41.200001	106.888123	-170.7082
41.799999	106.910904	-171.1654
42.500000	106.938400	-171.6621
43.099998	106.958313	-172.0340
43.700001	106.973007	-172.3421
44.400002	106.986618	-172.6173
45.000000	106.999535	-172.8145
45.500000	107.009903	-172.9993
46.200001	107.013504	-173.3405
46.799999	106.999710	-173.6976
47.500000	106.974937	-174.1398
48.200001	106.967125	-174.6197
48.700001	106.979828	-175.0162
49.400002	107.013023	-175.6321
50.000000	107.040024	-176.1378
50.799999	107.058731	-176.6759
51.500000	107.058960	-177.0432
52.200001	107.051552	-177.3954
53.000000	107.046127	-177.8188
53.799999	107.051949	-178.2388
54.500000	107.062119	-178.5837
