* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -8.9 dBFS, measurement signal peak level -5.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 27, 2021 10:52:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0508 ms (-17 mm, -0.69 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: Shure SE215
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	109.146156	-157.8748
20.600000	109.153122	-158.0385
20.900000	109.172409	-158.4338
21.200001	109.195107	-158.8887
21.400000	109.210548	-159.2033
21.799999	109.238464	-159.8306
22.000000	109.249786	-160.1337
22.400000	109.266853	-160.7057
22.700001	109.276108	-161.1003
23.000000	109.284157	-161.4720
23.299999	109.292267	-161.8328
23.600000	109.300819	-162.1951
24.000000	109.311966	-162.6912
24.299999	109.319130	-163.0693
24.700001	109.326492	-163.5665
25.000000	109.330841	-163.9248
25.400000	109.336288	-164.3806
25.799999	109.342018	-164.8219
26.200001	109.347496	-165.2634
26.500000	109.350800	-165.5988
26.900000	109.353996	-166.0479
27.200001	109.355957	-166.3809
27.600000	109.359161	-166.8130
28.000000	109.363747	-167.2294
28.500000	109.370415	-167.7293
29.000000	109.375076	-168.2060
29.500000	109.376366	-168.6559
30.000000	109.376701	-169.0839
30.400000	109.378677	-169.4221
30.700001	109.381691	-169.6796
31.100000	109.387108	-170.0299
31.500000	109.392288	-170.3798
32.000000	109.395576	-170.7933
32.500000	109.393669	-171.1625
33.000000	109.386162	-171.4999
33.500000	109.372269	-171.8414
34.000000	109.351013	-172.2142
34.500000	109.324188	-172.6127
35.000000	109.298813	-173.0094
35.500000	109.284004	-173.3898
36.000000	109.284149	-173.7673
36.500000	109.294617	-174.1611
37.000000	109.304680	-174.5608
37.500000	109.305847	-174.9231
38.200001	109.293243	-175.2966
38.700001	109.281998	-175.4811
39.500000	109.269318	-175.7742
40.000000	109.261642	-176.0155
40.599998	109.248672	-176.3648
41.200001	109.232994	-176.7514
41.799999	109.218208	-177.1541
42.500000	109.204895	-177.6219
43.099998	109.197380	-177.9978
43.700001	109.192741	-178.3398
44.400002	109.186768	-178.7089
45.000000	109.176025	-179.0157
45.500000	109.161751	-179.2682
46.200001	109.137810	-179.6178
46.799999	109.120178	-179.9200
47.500000	109.106789	179.7166
48.200001	109.096077	179.3609
48.700001	109.085640	179.1362
49.400002	109.065430	178.8849
50.000000	109.046028	178.7133
50.799999	109.023445	178.4870
51.500000	109.008347	178.2520
52.200001	108.994537	177.9826
53.000000	108.975677	177.6589
53.799999	108.952698	177.3472
54.500000	108.932724	177.1060
55.200001	108.916702	176.9042
56.000000	108.903236	176.6939
57.000000	108.885498	176.3499
58.000000	108.866562	175.8180
59.000000	108.853470	175.1505
60.000000	108.834251	174.6247
60.799999	108.811150	174.4659
61.500000	108.791481	174.4517
62.200001	108.774330	174.4268
63.000000	108.755020	174.3068
64.000000	108.728455	174.0581
65.000000	108.699844	173.7851
66.000000	108.671303	173.5125
67.000000	108.645805	173.2393
68.000000	108.622337	172.9756
69.000000	108.596962	172.7290
70.000000	108.569405	172.4909
71.000000	108.541687	172.2562
72.000000	108.514595	172.0328
73.000000	108.487801	171.8181
74.000000	108.460983	171.6014
75.000000	108.434204	171.3837
76.199997	108.402222	171.1327
77.500000	108.367775	170.8772
78.800003	108.334045	170.6331
80.000000	108.303658	170.4182
81.199997	108.274078	170.2168
82.500000	108.242844	170.0103
83.800003	108.212082	169.8091
85.000000	108.184402	169.6231
86.199997	108.157829	169.4363
87.500000	108.129913	169.2394
88.500000	108.107994	169.0959
90.000000	108.073700	168.8885
91.199997	108.046227	168.7190
92.500000	108.017601	168.5324
93.800003	107.990028	168.3490
95.000000	107.964775	168.1805
96.199997	107.939056	168.0114
97.500000	107.910561	167.8331
98.800003	107.881706	167.6638
100.000000	107.854942	167.5128
101.500000	107.821365	167.3278
103.000000	107.787804	167.1491
104.400002	107.756927	166.9889
106.000000	107.722145	166.8104
107.500000	107.689796	166.6472
109.000000	107.658096	166.4910
110.599998	107.625290	166.3325
112.000000	107.597031	166.1992
113.800003	107.560829	166.0409
115.000000	107.536980	165.9529
117.199997	107.495552	165.8519
118.000000	107.481194	165.8311
120.599998	107.430954	165.6799
122.000000	107.399490	165.5022
124.099998	107.351738	165.2187
125.000000	107.332291	165.1151
126.500000	107.301247	164.9673
128.000000	107.271362	164.8421
131.500000	107.203323	164.5952
132.000000	107.193710	164.5622
134.000000	107.155502	164.4306
136.000000	107.117592	164.2995
138.000000	107.079948	164.1704
140.000000	107.042793	164.0442
143.000000	106.988037	163.8628
145.000000	106.951988	163.7471
147.500000	106.907288	163.6075
150.000000	106.862831	163.4721
152.500000	106.818504	163.3405
155.000000	106.774551	163.2130
157.500000	106.730919	163.0910
160.000000	106.687469	162.9747
162.500000	106.644608	162.8630
165.000000	106.602661	162.7558
167.500000	106.561256	162.6516
170.000000	106.519875	162.5497
172.500000	106.478264	162.4515
175.000000	106.436401	162.3553
177.500000	106.394493	162.2605
180.000000	106.353172	162.1703
182.500000	106.312958	162.0883
185.000000	106.273346	162.0118
187.500000	106.233704	161.9362
190.000000	106.193863	161.8595
192.500000	106.153770	161.7827
195.000000	106.113632	161.7090
197.500000	106.073822	161.6410
200.000000	106.034431	161.5790
203.000000	105.987625	161.5096
206.000000	105.940979	161.4432
209.000000	105.894234	161.3806
212.000000	105.847496	161.3240
214.000000	105.816353	161.2896
218.000000	105.754395	161.2259
220.000000	105.723701	161.1970
224.000000	105.663002	161.1476
227.000000	105.617966	161.1192
230.000000	105.572845	161.0993
233.000000	105.526779	161.0895
236.000000	105.479507	161.0876
240.000000	105.418594	161.0750
243.000000	105.378082	161.0424
247.000000	105.327286	160.9894
250.000000	105.288063	160.9603
254.000000	105.233833	160.9387
258.000000	105.178787	160.9306
262.000000	105.124146	160.9316
265.000000	105.083839	160.9369
269.000000	105.031342	160.9478
272.000000	104.993088	160.9564
276.000000	104.943520	160.9647
280.000000	104.894829	160.9665
285.000000	104.833778	160.9576
290.000000	104.771965	160.9406
295.000000	104.709633	160.9272
300.000000	104.644852	160.9268
304.000000	104.589554	160.9383
307.000000	104.547104	160.9534
311.000000	104.491119	160.9809
315.000000	104.436417	161.0150
320.000000	104.369339	161.0656
325.000000	104.303223	161.1252
330.000000	104.237961	161.1928
335.000000	104.173271	161.2674
340.000000	104.108932	161.3502
345.000000	104.045059	161.4407
350.000000	103.981949	161.5377
355.000000	103.919876	161.6401
360.000000	103.858200	161.7481
365.000000	103.796059	161.8614
370.000000	103.733749	161.9800
375.000000	103.671967	162.1053
382.000000	103.586777	162.2926
387.000000	103.526627	162.4323
395.000000	103.430740	162.6617
400.000000	103.370781	162.8100
406.000000	103.298538	162.9962
412.000000	103.225586	163.1950
418.000000	103.152382	163.4101
425.000000	103.067841	163.6851
431.000000	102.996109	163.9431
437.000000	102.924484	164.2250
444.000000	102.841545	164.5930
450.000000	102.772797	164.9490
455.000000	102.719154	165.2767
462.000000	102.653687	165.7738
468.000000	102.609818	166.2084
475.000000	102.573883	166.6711
482.000000	102.549377	167.0367
487.000000	102.532997	167.2290
494.000000	102.503349	167.4205
500.000000	102.468208	167.5465
508.000000	102.408112	167.7150
515.000000	102.346878	167.8938
522.000000	102.281403	168.1131
530.000000	102.204659	168.4121
538.000000	102.128288	168.7509
545.000000	102.063301	169.0667
552.000000	102.000221	169.3958
560.000000	101.929825	169.7894
570.000000	101.844147	170.3064
580.000000	101.761490	170.8467
590.000000	101.681831	171.4056
600.000000	101.604630	171.9792
608.000000	101.544426	172.4479
615.000000	101.492989	172.8657
622.000000	101.442734	173.2906
630.000000	101.386734	173.7842
640.000000	101.318779	174.4124
650.000000	101.252968	175.0540
660.000000	101.189941	175.7078
670.000000	101.130539	176.3707
680.000000	101.073898	177.0410
690.000000	101.019379	177.7188
700.000000	100.967400	178.4062
710.000000	100.918213	179.1046
720.000000	100.871483	179.8127
730.000000	100.826859	-179.4716
740.000000	100.784317	-178.7483
750.000000	100.743919	-178.0163
762.000000	100.698639	-177.1256
775.000000	100.654236	-176.1420
788.000000	100.615509	-175.1336
800.000000	100.584831	-174.1859
812.000000	100.559082	-173.2306
825.000000	100.536819	-172.1891
838.000000	100.520554	-171.1425
850.000000	100.511650	-170.1735
862.000000	100.509010	-169.2011
875.000000	100.513008	-168.1443
885.000000	100.520744	-167.3306
900.000000	100.539299	-166.1177
912.000000	100.559456	-165.1624
925.000000	100.587044	-164.1416
938.000000	100.621208	-163.1318
950.000000	100.658630	-162.2106
962.000000	100.701454	-161.3054
975.000000	100.753448	-160.3486
988.000000	100.810852	-159.4180
1000.000000	100.868355	-158.5828
1015.000000	100.946281	-157.5740
1030.000000	101.031044	-156.6063
1044.000000	101.115753	-155.7422
1060.000000	101.218079	-154.8042
1075.000000	101.318336	-153.9758
1090.000000	101.421448	-153.1999
1106.000000	101.533554	-152.4318
1120.000000	101.633064	-151.8089
1138.000000	101.762466	-151.0728
1150.000000	101.849304	-150.6218
1172.000000	102.007996	-149.8755
1180.000000	102.065132	-149.6288
1206.000000	102.248169	-148.9050
1220.000000	102.344765	-148.5583
1241.000000	102.486061	-148.0917
1250.000000	102.545021	-147.9103
1265.000000	102.640877	-147.6296
1280.000000	102.733849	-147.3730
1315.000000	102.942474	-146.8634
1320.000000	102.971436	-146.8005
1340.000000	103.084976	-146.5723
1360.000000	103.194733	-146.3814
1380.000000	103.300369	-146.2289
1400.000000	103.401382	-146.1167
1430.000000	103.543015	-146.0238
1450.000000	103.629410	-146.0110
1475.000000	103.725296	-146.0434
1500.000000	103.804070	-146.1102
1525.000000	103.863129	-146.1802
1550.000000	103.902168	-146.2078
1575.000000	103.923759	-146.1408
1600.000000	103.933693	-145.9370
1625.000000	103.940346	-145.5755
1650.000000	103.953384	-145.0588
1675.000000	103.981834	-144.4132
1700.000000	104.031906	-143.6846
1725.000000	104.106049	-142.9262
1750.000000	104.203156	-142.1888
1775.000000	104.319946	-141.5135
1800.000000	104.452484	-140.9277
1825.000000	104.596786	-140.4461
1850.000000	104.748901	-140.0746
1875.000000	104.905212	-139.8145
1900.000000	105.062843	-139.6648
1925.000000	105.219460	-139.6217
1950.000000	105.373184	-139.6796
1975.000000	105.522415	-139.8327
2000.000000	105.665665	-140.0756
2030.000000	105.827713	-140.4771
2060.000000	105.977081	-140.9875
2090.000000	106.112106	-141.5927
2120.000000	106.231606	-142.2774
2140.000000	106.302261	-142.7713
2180.000000	106.421188	-143.8343
2200.000000	106.469025	-144.3973
2240.000000	106.540009	-145.5695
2270.000000	106.570702	-146.4715
2300.000000	106.581764	-147.3733
2330.000000	106.573494	-148.2565
2360.000000	106.546806	-149.1037
2400.000000	106.484894	-150.1514
2430.000000	106.420776	-150.8606
2470.000000	106.314812	-151.6869
2500.000000	106.222191	-152.2077
2540.000000	106.084801	-152.7603
2580.000000	105.935844	-153.1476
2620.000000	105.779167	-153.3727
2650.000000	105.658546	-153.4366
2690.000000	105.496147	-153.3856
2720.000000	105.374893	-153.2493
2760.000000	105.216125	-152.9443
2800.000000	105.062798	-152.5078
2850.000000	104.881538	-151.7942
2900.000000	104.714287	-150.9142
2950.000000	104.563400	-149.8912
3000.000000	104.430862	-148.7473
3040.000000	104.338776	-147.7587
3070.000000	104.278076	-146.9804
3110.000000	104.208435	-145.9006
3150.000000	104.151764	-144.7811
3200.000000	104.099197	-143.3393
3250.000000	104.066833	-141.8636
3300.000000	104.054482	-140.3656
3350.000000	104.061951	-138.8570
3400.000000	104.088943	-137.3490
3450.000000	104.135025	-135.8516
3500.000000	104.199806	-134.3737
3550.000000	104.282951	-132.9232
3600.000000	104.384193	-131.5072
3650.000000	104.503311	-130.1321
3700.000000	104.640045	-128.8044
3750.000000	104.794495	-127.5316
3820.000000	105.040733	-125.8588
3870.000000	105.238197	-124.7549
3950.000000	105.591621	-123.1738
4000.000000	105.835991	-122.3189
4060.000000	106.153229	-121.4491
4120.000000	106.496834	-120.7732
4180.000000	106.866737	-120.3215
4250.000000	107.331078	-120.1284
4310.000000	107.755951	-120.3018
4370.000000	108.203049	-120.8501
4440.000000	108.745316	-122.0648
4500.000000	109.215462	-123.7028
4550.000000	109.597351	-125.5608
4620.000000	110.086891	-128.9961
4680.000000	110.431854	-132.7245
4750.000000	110.706398	-137.8689
4820.000000	110.810783	-143.5886
4870.000000	110.771622	-147.8089
4940.000000	110.558746	-153.5837
5000.000000	110.241142	-158.1594
5080.000000	109.656143	-163.4188
5150.000000	109.030182	-167.0763
5220.000000	108.335480	-169.8117
5300.000000	107.499939	-171.8673
5380.000000	106.658760	-172.9152
5450.000000	105.940994	-173.1351
5520.000000	105.253433	-172.8166
5600.000000	104.513550	-171.9117
5700.000000	103.664459	-170.1196
5800.000000	102.904800	-167.7309
5900.000000	102.240906	-164.8842
6000.000000	101.677773	-161.7339
6080.000000	101.298569	-159.1046
6150.000000	101.013367	-156.7834
6220.000000	100.764671	-154.4678
6300.000000	100.517197	-151.8257
6400.000000	100.256531	-148.4899
6500.000000	100.053215	-145.0760
6600.000000	99.917320	-141.5954
6700.000000	99.855988	-138.1089
6800.000000	99.871353	-134.6787
6900.000000	99.964752	-131.3451
7000.000000	100.141182	-128.1369
7100.000000	100.410965	-125.0968
7200.000000	100.787247	-122.3076
7300.000000	101.281372	-119.9022
7400.000000	101.899132	-118.0590
7500.000000	102.637154	-117.0069
7620.000000	103.653885	-117.2115
7750.000000	104.827103	-119.9530
7880.000000	105.899376	-126.1210
8000.000000	106.599815	-135.0968
8120.000000	106.855232	-146.4189
8250.000000	106.541382	-159.2248
8380.000000	105.661758	-170.1885
8500.000000	104.484406	-177.4698
8620.000000	103.112877	178.0788
8750.000000	101.564941	175.9363
8850.000000	100.408600	175.7417
9000.000000	98.815392	177.1280
9120.000000	97.697456	179.2421
9250.000000	96.652908	-177.8119
9380.000000	95.774811	-174.4257
9500.000000	95.101082	-171.0588
9620.000000	94.547966	-167.5598
9750.000000	94.074608	-163.7054
9880.000000	93.724495	-159.8588
10000.000000	93.506798	-156.3702
10150.000000	93.375809	-152.1675
10300.000000	93.405075	-148.2365
10440.000000	93.584755	-144.9266
10600.000000	93.983253	-141.7496
10750.000000	94.557907	-139.5978
10900.000000	95.334534	-138.5985
11060.000000	96.359413	-139.4231
11200.000000	97.344109	-142.4877
11380.000000	98.513023	-150.8384
11500.000000	99.071175	-159.5194
11720.000000	99.276093	179.7224
11800.000000	99.035034	171.7214
12060.000000	97.153259	150.0351
12200.000000	95.620239	142.6537
12410.000000	93.008179	136.7681
12500.000000	91.863594	135.6562
12650.000000	90.015358	135.0349
12800.000000	88.303482	135.4262
13150.000000	84.980896	138.1601
13200.000000	84.581375	138.6360
13400.000000	83.150017	140.5609
13600.000000	81.960777	142.4091
13800.000000	80.995270	144.1275
14000.000000	80.275642	145.7075
14300.000000	79.817123	147.0902
14500.000000	79.944405	146.3119
14750.000000	80.489067	143.1854
15000.000000	81.588989	138.1873
15250.000000	83.398872	130.5596
15500.000000	85.669464	117.8323
15750.000000	87.778564	96.4987
16000.000000	89.040085	64.9342
16250.000000	89.000252	27.9781
16500.000000	87.669594	-5.3087
16750.000000	85.466827	-30.4719
17000.000000	82.932068	-49.2316
17250.000000	80.519066	-64.9603
17500.000000	78.481857	-80.1091
17750.000000	76.856796	-96.0786
18000.000000	75.546303	-113.7346
18250.000000	74.424812	-133.7903
18500.000000	73.401558	-156.9202
18750.000000	72.412758	176.2407
19000.000000	71.398926	145.2183
19250.000000	70.303970	110.2917
19500.000000	69.105415	73.7406
19750.000000	67.903954	41.1761
