* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -4.8 dBFS, measurement signal peak level -4.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 27, 2021 11:44:59 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0973 ms (-33 mm, -1.31 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: TRN IM1
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	109.686958	-179.3489
20.600000	109.678825	-179.5486
20.900000	109.658424	179.9897
21.200001	109.640717	179.5165
21.400000	109.632751	179.2206
21.799999	109.624680	178.6442
22.000000	109.622620	178.3444
22.400000	109.617645	177.6972
22.700001	109.610252	177.1719
23.000000	109.599716	176.6281
23.299999	109.587273	176.0815
23.600000	109.574242	175.5440
24.000000	109.556274	174.8552
24.299999	109.541016	174.3687
24.700001	109.515793	173.7729
25.000000	109.492592	173.3685
25.400000	109.457153	172.8732
25.799999	109.419304	172.3902
26.200001	109.381371	171.8755
26.500000	109.353699	171.4558
26.900000	109.319420	170.8624
27.200001	109.297379	170.4098
27.600000	109.275276	169.8233
28.000000	109.261002	169.2705
28.500000	109.244873	168.6344
29.000000	109.213554	168.0781
29.500000	109.159431	167.6226
30.000000	109.093246	167.2188
30.400000	109.042755	166.8470
30.700001	109.009445	166.4970
31.100000	108.970673	165.9266
31.500000	108.936874	165.2944
32.000000	108.903618	164.5590
32.500000	108.883888	163.9814
33.000000	108.866661	163.5229
33.500000	108.825378	163.0974
34.000000	108.742424	162.6749
34.500000	108.634476	162.2365
35.000000	108.545876	161.6697
35.500000	108.509247	160.8436
36.000000	108.523308	159.8237
36.500000	108.571701	158.9152
37.000000	108.646591	158.4153
37.500000	108.739624	158.3221
38.200001	108.830559	158.2842
38.700001	108.796356	157.9910
39.500000	108.532585	157.2440
40.000000	108.316895	156.8470
40.599998	108.125000	156.4215
41.200001	108.039978	155.9086
41.799999	108.014915	155.3583
42.500000	107.988953	154.8864
43.099998	107.949539	154.6188
43.700001	107.896690	154.3020
44.400002	107.822929	153.7713
45.000000	107.755875	153.2809
45.500000	107.702431	152.9333
46.200001	107.632256	152.5580
46.799999	107.571396	152.2772
47.500000	107.497070	151.9283
48.200001	107.429314	151.5596
48.700001	107.392685	151.3007
49.400002	107.357460	150.9398
50.000000	107.330109	150.6134
50.799999	107.277321	150.1571
51.500000	107.213982	149.7705
52.200001	107.145546	149.4108
53.000000	107.071175	149.0245
53.799999	107.003708	148.6548
54.500000	106.950897	148.3444
55.200001	106.903793	148.0686
56.000000	106.855530	147.8247
57.000000	106.790146	147.5124
58.000000	106.684128	146.9464
59.000000	106.529037	146.1786
60.000000	106.373505	145.5408
60.799999	106.278397	145.2486
61.500000	106.214264	145.1096
62.200001	106.155937	145.0081
63.000000	106.086678	144.8810
64.000000	105.998497	144.6703
65.000000	105.917923	144.3726
66.000000	105.843002	143.9873
67.000000	105.766365	143.5963
68.000000	105.687111	143.2861
69.000000	105.606377	143.0448
70.000000	105.523743	142.8041
71.000000	105.439774	142.5388
72.000000	105.355804	142.2848
73.000000	105.272331	142.0742
74.000000	105.189072	141.8955
75.000000	105.106529	141.7178
76.199997	105.009766	141.4848
77.500000	104.907364	141.2182
78.800003	104.805466	140.9550
80.000000	104.711441	140.7221
81.199997	104.618042	140.5035
82.500000	104.517311	140.2874
83.800003	104.417694	140.0922
85.000000	104.327820	139.9252
86.199997	104.240196	139.7709
87.500000	104.147278	139.6133
88.500000	104.076134	139.4908
90.000000	103.968964	139.2988
91.199997	103.883224	139.1487
92.500000	103.789986	139.0109
93.800003	103.695297	138.9010
95.000000	103.606819	138.8100
96.199997	103.519547	138.7195
97.500000	103.428581	138.6213
98.800003	103.341461	138.5276
100.000000	103.263657	138.4467
101.500000	103.168045	138.3543
103.000000	103.071632	138.2728
104.400002	102.979660	138.2067
106.000000	102.874298	138.1479
107.500000	102.777298	138.1111
109.000000	102.681854	138.0855
110.599998	102.581627	138.0558
112.000000	102.495796	138.0209
113.800003	102.389984	137.9719
115.000000	102.324608	137.9437
117.199997	102.220284	137.8639
118.000000	102.186378	137.8157
120.599998	102.065521	137.7526
122.000000	101.986809	137.8459
124.099998	101.866661	137.9970
125.000000	101.817093	138.0294
126.500000	101.736130	138.0437
128.000000	101.656128	138.0354
131.500000	101.472527	138.0240
132.000000	101.446671	138.0230
134.000000	101.343498	138.0273
136.000000	101.239586	138.0594
138.000000	101.136024	138.1085
140.000000	101.033539	138.1582
143.000000	100.882004	138.2393
145.000000	100.782959	138.3036
147.500000	100.660736	138.3954
150.000000	100.540092	138.5026
152.500000	100.422173	138.6170
155.000000	100.307922	138.7316
157.500000	100.195778	138.8553
160.000000	100.085815	139.0003
162.500000	99.978020	139.1756
165.000000	99.870483	139.3851
167.500000	99.764313	139.5914
170.000000	99.659920	139.7724
172.500000	99.558876	139.9337
175.000000	99.461838	140.0748
177.500000	99.366470	140.2105
180.000000	99.271027	140.3607
182.500000	99.174820	140.5290
185.000000	99.078156	140.7151
187.500000	98.981979	140.9236
190.000000	98.887497	141.1552
192.500000	98.795334	141.4047
195.000000	98.703926	141.6654
197.500000	98.610382	141.9247
200.000000	98.513840	142.1690
203.000000	98.398331	142.4383
206.000000	98.288300	142.7073
209.000000	98.183060	143.0243
212.000000	98.078438	143.3978
214.000000	98.008247	143.6603
218.000000	97.872108	144.2160
220.000000	97.808937	144.5236
224.000000	97.695221	145.1685
227.000000	97.621452	145.6403
230.000000	97.552490	146.0892
233.000000	97.483086	146.4961
236.000000	97.414818	146.8392
240.000000	97.334061	147.1908
243.000000	97.282562	147.4009
247.000000	97.209740	147.6629
250.000000	97.144554	147.8533
254.000000	97.045464	148.1208
258.000000	96.939690	148.4255
262.000000	96.829185	148.7515
265.000000	96.743713	149.0176
269.000000	96.631165	149.4161
272.000000	96.551270	149.7363
276.000000	96.450806	150.1670
280.000000	96.352875	150.5935
285.000000	96.229767	151.1312
290.000000	96.108849	151.6835
295.000000	95.994469	152.2512
300.000000	95.883850	152.8586
304.000000	95.792938	153.3958
307.000000	95.723831	153.8176
311.000000	95.632767	154.3825
315.000000	95.543381	154.9397
