* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -4.5 dBFS, measurement signal peak level -4.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 27, 2021 11:35:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0831 ms (-28 mm, -1.12 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: Tin Hifi T2
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.585304	-110.6694
20.600000	97.628830	-111.0866
20.900000	97.739235	-112.0905
21.200001	97.842773	-113.2216
21.400000	97.898766	-113.9643
21.799999	97.981491	-115.2802
22.000000	98.011940	-115.8181
22.400000	98.060226	-116.6496
22.700001	98.091843	-117.0963
23.000000	98.123550	-117.4438
23.299999	98.159279	-117.7472
23.600000	98.203278	-118.0645
24.000000	98.280037	-118.6093
24.299999	98.349274	-119.1618
24.700001	98.445473	-120.0946
25.000000	98.509583	-120.8645
25.400000	98.575439	-121.8031
25.799999	98.626030	-122.4265
26.200001	98.684853	-122.6562
26.500000	98.748459	-122.6500
26.900000	98.861839	-122.6382
27.200001	98.958527	-122.7828
27.600000	99.076477	-123.3083
28.000000	99.158119	-124.1820
28.500000	99.197525	-125.4935
29.000000	99.195213	-126.6770
29.500000	99.194473	-127.5575
30.000000	99.220482	-128.2014
30.400000	99.255730	-128.6500
30.700001	99.282120	-128.9872
31.100000	99.307785	-129.4471
31.500000	99.318588	-129.8911
32.000000	99.321312	-130.3670
32.500000	99.337296	-130.7569
33.000000	99.388351	-131.1873
33.500000	99.469780	-131.8093
34.000000	99.556351	-132.6310
34.500000	99.634346	-133.4741
35.000000	99.721001	-134.1295
35.500000	99.844406	-134.5756
36.000000	100.002548	-134.9950
36.500000	100.151581	-135.5493
37.000000	100.238075	-136.1750
37.500000	100.241188	-136.6390
38.200001	100.163010	-136.7571
38.700001	100.116669	-136.6207
39.500000	100.131943	-136.6822
40.000000	100.184998	-137.0483
40.599998	100.262100	-137.7008
41.200001	100.331680	-138.4146
41.799999	100.380577	-139.0870
42.500000	100.412140	-139.7661
43.099998	100.430672	-140.2468
43.700001	100.452179	-140.6362
44.400002	100.483788	-140.9878
45.000000	100.515282	-141.2718
45.500000	100.542091	-141.5903
46.200001	100.574654	-142.2358
46.799999	100.601051	-142.8746
47.500000	100.651062	-143.4891
48.200001	100.727180	-143.8844
48.700001	100.774658	-144.0699
49.400002	100.790825	-144.1947
50.000000	100.759766	-144.1612
50.799999	100.716209	-144.1207
51.500000	100.722580	-144.3793
52.200001	100.770645	-144.8862
53.000000	100.863113	-145.3926
53.799999	100.981728	-145.6843
54.500000	101.074028	-145.9830
55.200001	101.123947	-146.4870
56.000000	101.126152	-147.2565
57.000000	101.087227	-148.1448
58.000000	101.032150	-148.5104
59.000000	100.982277	-148.2251
60.000000	100.991951	-147.8208
60.799999	101.047943	-147.8888
61.500000	101.103134	-148.2453
62.200001	101.144737	-148.6873
63.000000	101.172531	-149.1244
64.000000	101.189285	-149.5506
65.000000	101.204178	-149.9431
66.000000	101.227394	-150.3411
67.000000	101.255630	-150.6880
68.000000	101.284500	-150.9426
69.000000	101.305382	-151.1530
70.000000	101.308311	-151.4030
71.000000	101.296104	-151.7633
72.000000	101.284447	-152.2114
73.000000	101.291199	-152.6170
74.000000	101.320839	-152.8905
75.000000	101.358643	-153.0694
76.199997	101.392097	-153.2585
77.500000	101.415794	-153.4662
78.800003	101.440704	-153.6763
80.000000	101.464104	-153.8685
81.199997	101.489616	-154.0640
82.500000	101.520164	-154.3016
83.800003	101.545128	-154.5428
85.000000	101.562973	-154.7588
86.199997	101.581001	-155.0003
87.500000	101.602280	-155.2818
88.500000	101.618431	-155.4861
90.000000	101.639755	-155.7560
91.199997	101.656303	-155.9503
92.500000	101.675842	-156.1553
93.800003	101.695099	-156.3562
95.000000	101.710266	-156.5335
96.199997	101.722664	-156.7045
97.500000	101.734482	-156.8892
98.800003	101.746605	-157.0768
100.000000	101.758827	-157.2555
101.500000	101.775009	-157.4803
103.000000	101.792709	-157.6831
104.400002	101.810440	-157.8414
106.000000	101.829773	-158.0069
107.500000	101.845810	-158.1720
109.000000	101.861565	-158.3487
110.599998	101.878876	-158.5391
112.000000	101.892944	-158.6977
113.800003	101.906319	-158.8813
115.000000	101.909592	-158.9961
117.199997	101.898949	-159.2148
118.000000	101.891632	-159.3051
120.599998	101.895172	-159.6367
122.000000	101.924545	-159.8002
124.099998	101.974350	-159.9857
125.000000	101.991600	-160.0521
126.500000	102.014252	-160.1598
128.000000	102.030838	-160.2699
131.500000	102.058380	-160.5368
132.000000	102.061974	-160.5757
134.000000	102.076225	-160.7322
136.000000	102.089462	-160.8905
138.000000	102.101532	-161.0508
140.000000	102.113403	-161.2051
143.000000	102.132118	-161.4255
145.000000	102.145729	-161.5831
