* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -6.8 dBFS, measurement signal peak level -6.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 27, 2021 11:51:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0813 ms (-28 mm, -1.1 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: Tin Hifi T2 Pro (Comply)
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.575394	-109.4784
20.600000	96.607025	-109.8248
20.900000	96.691612	-110.6390
21.200001	96.785072	-111.5010
21.400000	96.849571	-112.0354
21.799999	96.990311	-112.9648
22.000000	97.069138	-113.3698
22.400000	97.242172	-114.1281
22.700001	97.375191	-114.7150
23.000000	97.497269	-115.3395
23.299999	97.596931	-115.9818
23.600000	97.668190	-116.5918
24.000000	97.723854	-117.2588
24.299999	97.750237	-117.6250
24.700001	97.789886	-117.9972
25.000000	97.834976	-118.2945
25.400000	97.917374	-118.8625
25.799999	98.010391	-119.6993
26.200001	98.095230	-120.7225
26.500000	98.148476	-121.5001
26.900000	98.210701	-122.4054
27.200001	98.257492	-122.9355
27.600000	98.327286	-123.4649
28.000000	98.403297	-123.8796
28.500000	98.488564	-124.3797
29.000000	98.541809	-124.9107
29.500000	98.564621	-125.4226
30.000000	98.582367	-125.8833
30.400000	98.609344	-126.2423
30.700001	98.640274	-126.5277
31.100000	98.693237	-126.9407
31.500000	98.752975	-127.3778
32.000000	98.827797	-127.9223
32.500000	98.897202	-128.4503
33.000000	98.959244	-128.9938
33.500000	99.013901	-129.5921
34.000000	99.063713	-130.2493
34.500000	99.113396	-130.9322
35.000000	99.166565	-131.5914
35.500000	99.222588	-132.1852
36.000000	99.277557	-132.6928
36.500000	99.328026	-133.1246
37.000000	99.373253	-133.5228
37.500000	99.414810	-133.9356
38.200001	99.472626	-134.5702
38.700001	99.517426	-135.0318
39.500000	99.593102	-135.6700
40.000000	99.635208	-135.9691
40.599998	99.672493	-136.2498
41.200001	99.696136	-136.5246
41.799999	99.716347	-136.8778
42.500000	99.754753	-137.4336
43.099998	99.807220	-138.0012
43.700001	99.866592	-138.5671
44.400002	99.925362	-139.0632
45.000000	99.970482	-139.2908
45.500000	100.014656	-139.4306
46.200001	100.082909	-139.7534
46.799999	100.125977	-140.1668
47.500000	100.146225	-140.5941
48.200001	100.153748	-140.8682
48.700001	100.160004	-141.0830
49.400002	100.165260	-141.5811
50.000000	100.168320	-142.1890
50.799999	100.192406	-143.1338
51.500000	100.236916	-143.9714
52.200001	100.282341	-144.6825
53.000000	100.315460	-145.2288
53.799999	100.330971	-145.5824
54.500000	100.341156	-145.8761
55.200001	100.357834	-146.2040
56.000000	100.385117	-146.5709
57.000000	100.408943	-146.8996
58.000000	100.393196	-147.1716
59.000000	100.341064	-147.5676
60.000000	100.325119	-148.0070
60.799999	100.381920	-148.3746
61.500000	100.460785	-148.7337
62.200001	100.532768	-149.0876
63.000000	100.588905	-149.4313
64.000000	100.630157	-149.7953
65.000000	100.657898	-150.1462
66.000000	100.679207	-150.4833
67.000000	100.699448	-150.7948
68.000000	100.731544	-151.0728
69.000000	100.779053	-151.3401
70.000000	100.822365	-151.6461
71.000000	100.843452	-152.0053
72.000000	100.846741	-152.3922
73.000000	100.845093	-152.7690
74.000000	100.845062	-153.1036
75.000000	100.848717	-153.3958
76.199997	100.856956	-153.7237
77.500000	100.865059	-154.0602
78.800003	100.874245	-154.3668
80.000000	100.888657	-154.6636
81.199997	100.906082	-154.9978
82.500000	100.926208	-155.3465
83.800003	100.948181	-155.6200
85.000000	100.966812	-155.8289
86.199997	100.981583	-156.0466
87.500000	100.994926	-156.3033
88.500000	101.004364	-156.5084
90.000000	101.017838	-156.8236
91.199997	101.029861	-157.0647
92.500000	101.043884	-157.3019
93.800003	101.056061	-157.5317
95.000000	101.064590	-157.7507
96.199997	101.071251	-157.9707
97.500000	101.077324	-158.2047
98.800003	101.083252	-158.4370
100.000000	101.090965	-158.6481
101.500000	101.106293	-158.9002
103.000000	101.123917	-159.1353
104.400002	101.137451	-159.3425
106.000000	101.149872	-159.5732
107.500000	101.160042	-159.7840
109.000000	101.169144	-159.9841
110.599998	101.178291	-160.1875
112.000000	101.185455	-160.3661
113.800003	101.192352	-160.6168
115.000000	101.195061	-160.8132
