* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -11.0 dBFS, measurement signal peak level -10.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 31, 2021 5:59:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0159 ms (-5.4 mm, -0.21 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: U12t (mX)
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.785851	64.4176
20.600000	98.806549	64.1699
20.900000	98.860680	63.5745
21.200001	98.916786	62.8947
21.400000	98.952728	62.4201
21.799999	99.023453	61.4095
22.000000	99.058922	60.8645
22.400000	99.128952	59.6971
22.700001	99.178955	58.7940
23.000000	99.228165	57.9270
23.299999	99.281746	57.1476
23.600000	99.347473	56.4809
24.000000	99.465797	55.7334
24.299999	99.578156	55.2044
24.700001	99.746262	54.4242
25.000000	99.869308	53.7408
25.400000	100.007187	52.7243
25.799999	100.102356	51.7088
26.200001	100.161377	50.8363
26.500000	100.194794	50.3184
26.900000	100.244339	49.7741
27.200001	100.293556	49.4134
27.600000	100.375313	48.8879
28.000000	100.465286	48.2475
28.500000	100.569397	47.3094
29.000000	100.656601	46.3629
29.500000	100.737755	45.5170
30.000000	100.825882	44.7583
30.400000	100.901138	44.1654
30.700001	100.956787	43.7129
31.100000	101.025703	43.1009
31.500000	101.086807	42.4912
32.000000	101.153999	41.7366
32.500000	101.213982	40.9703
33.000000	101.267990	40.1776
33.500000	101.317963	39.3787
34.000000	101.369514	38.6057
34.500000	101.427689	37.8635
35.000000	101.491394	37.1316
35.500000	101.554390	36.3984
36.000000	101.611664	35.6747
36.500000	101.663200	34.9726
37.000000	101.711678	34.2864
37.500000	101.758324	33.6017
38.200001	101.819176	32.6463
38.700001	101.859993	31.9824
39.500000	101.927017	30.9533
40.000000	101.971878	30.3091
40.599998	102.027191	29.5306
41.200001	102.083344	28.7736
41.799999	102.141571	28.0540
42.500000	102.209869	27.2247
43.099998	102.260269	26.4830
43.700001	102.296043	25.7250
44.400002	102.321571	24.8893
45.000000	102.338127	24.2633
45.500000	102.353851	23.8196
46.200001	102.384285	23.3084
46.799999	102.418701	22.9326
47.500000	102.458778	22.5099
48.200001	102.484787	22.1085
48.700001	102.495003	21.8504
49.400002	102.511414	21.4546
50.000000	102.535652	20.9393
50.799999	102.577644	19.8640
51.500000	102.615807	18.6760
52.200001	102.654564	17.4864
53.000000	102.695190	16.3131
53.799999	102.722282	15.3708
54.500000	102.736076	14.6592
55.200001	102.749100	13.9800
56.000000	102.771309	13.2647
57.000000	102.809814	12.5921
58.000000	102.834976	12.0964
59.000000	102.827530	11.5155
60.000000	102.821594	10.6676
60.799999	102.839691	9.7928
61.500000	102.865417	8.9831
62.200001	102.890259	8.2323
63.000000	102.913002	7.4908
64.000000	102.935852	6.6814
65.000000	102.956482	5.9125
66.000000	102.974823	5.1494
67.000000	102.992592	4.3811
68.000000	103.012482	3.5957
69.000000	103.031784	2.8111
70.000000	103.046249	2.0527
71.000000	103.055870	1.3155
72.000000	103.064262	0.5924
73.000000	103.074799	-0.1154
74.000000	103.086334	-0.8237
75.000000	103.094704	-1.5507
76.199997	103.097168	-2.4369
77.500000	103.090385	-3.3652
78.800003	103.078247	-4.2454
80.000000	103.068558	-5.0353
81.199997	103.067398	-5.8042
82.500000	103.075706	-6.6264
83.800003	103.083412	-7.4519
85.000000	103.084091	-8.2107
86.199997	103.079437	-8.9552
87.500000	103.072052	-9.7380
88.500000	103.066803	-10.3249
90.000000	103.057991	-11.1873
91.199997	103.047295	-11.8624
92.500000	103.034828	-12.5947
93.800003	103.026642	-13.3374
95.000000	103.023209	-14.0129
96.199997	103.018074	-14.6664
97.500000	103.004196	-15.3570
98.800003	102.982346	-16.0415
100.000000	102.960190	-16.6711
101.500000	102.936295	-17.4514
103.000000	102.918610	-18.2224
104.400002	102.904030	-18.9296
106.000000	102.883934	-19.7113
107.500000	102.860535	-20.4169
109.000000	102.835297	-21.1157
110.599998	102.809082	-21.8658
112.000000	102.787666	-22.5103
113.800003	102.764168	-23.3167
115.000000	102.753654	-23.8574
117.199997	102.751373	-24.8646
118.000000	102.755341	-25.2265
120.599998	102.750732	-26.3530
122.000000	102.718575	-26.9333
124.099998	102.648087	-27.7998
125.000000	102.619370	-28.1678
126.500000	102.579109	-28.7680
128.000000	102.547455	-29.3532
131.500000	102.491371	-30.7118
132.000000	102.483994	-30.9053
134.000000	102.453674	-31.6692
136.000000	102.421051	-32.4186
138.000000	102.385513	-33.1579
140.000000	102.349289	-33.8830
143.000000	102.298866	-34.9518
145.000000	102.266525	-35.6660
147.500000	102.225365	-36.5591
150.000000	102.184540	-37.4392
152.500000	102.144661	-38.2959
155.000000	102.103661	-39.1341
157.500000	102.059738	-39.9650
160.000000	102.015060	-40.7817
162.500000	101.970436	-41.5641
165.000000	101.926254	-42.3217
167.500000	101.882599	-43.0690
170.000000	101.838837	-43.8064
172.500000	101.795555	-44.5296
175.000000	101.754005	-45.2317
177.500000	101.714066	-45.9097
180.000000	101.675369	-46.5715
182.500000	101.638763	-47.2244
185.000000	101.604347	-47.8712
187.500000	101.571022	-48.5181
190.000000	101.537460	-49.1747
192.500000	101.504440	-49.8433
195.000000	101.474274	-50.5128
197.500000	101.444710	-51.1711
200.000000	101.411880	-51.8131
203.000000	101.369408	-52.5686
206.000000	101.328018	-53.3189
209.000000	101.287697	-54.0583
212.000000	101.247086	-54.7846
214.000000	101.220001	-55.2651
218.000000	101.167084	-56.2195
220.000000	101.141518	-56.6911
224.000000	101.092484	-57.6215
227.000000	101.057655	-58.3023
230.000000	101.023079	-58.9574
233.000000	100.986877	-59.5867
236.000000	100.949066	-60.2017
240.000000	100.902328	-61.0340
243.000000	100.874138	-61.6937
247.000000	100.838646	-62.6004
250.000000	100.809151	-63.2678
254.000000	100.769608	-64.1274
258.000000	100.734268	-64.9599
262.000000	100.702141	-65.7651
265.000000	100.677322	-66.3523
269.000000	100.641144	-67.1196
272.000000	100.613533	-67.6920
276.000000	100.579475	-68.4601
280.000000	100.548645	-69.2320
285.000000	100.511780	-70.1915
290.000000	100.477203	-71.1311
295.000000	100.446678	-72.0459
300.000000	100.418137	-72.9522
304.000000	100.394867	-73.6909
307.000000	100.377457	-74.2526
311.000000	100.355232	-74.9970
315.000000	100.334625	-75.7203
320.000000	100.311775	-76.5930
325.000000	100.293442	-77.4526
330.000000	100.280518	-78.3198
335.000000	100.271271	-79.2065
340.000000	100.263245	-80.1082
345.000000	100.255478	-81.0114
350.000000	100.248024	-81.9053
355.000000	100.240700	-82.7942
360.000000	100.233047	-83.6914
365.000000	100.225029	-84.5989
370.000000	100.217407	-85.5033
375.000000	100.210938	-86.3960
382.000000	100.204361	-87.6341
387.000000	100.201477	-88.5199
395.000000	100.198975	-89.9356
400.000000	100.197548	-90.8109
406.000000	100.196091	-91.8515
412.000000	100.195694	-92.8893
418.000000	100.196747	-93.9318
425.000000	100.198883	-95.1539
431.000000	100.201019	-96.2015
437.000000	100.203766	-97.2448
444.000000	100.208244	-98.4554
450.000000	100.213455	-99.4920
455.000000	100.218613	-100.3578
462.000000	100.226509	-101.5703
468.000000	100.233566	-102.6076
475.000000	100.241669	-103.8176
482.000000	100.248627	-105.0313
487.000000	100.252548	-105.9011
494.000000	100.257248	-107.1184
500.000000	100.261299	-108.1568
508.000000	100.267052	-109.5335
515.000000	100.271805	-110.7333
522.000000	100.275932	-111.9302
530.000000	100.279930	-113.2955
538.000000	100.282440	-114.6558
545.000000	100.282448	-115.8369
552.000000	100.280800	-117.0070
560.000000	100.278168	-118.3312
570.000000	100.273796	-119.9664
580.000000	100.267746	-121.5792
590.000000	100.260406	-123.1709
600.000000	100.251389	-124.7411
608.000000	100.242630	-125.9772
615.000000	100.233994	-127.0430
622.000000	100.224518	-128.0953
630.000000	100.212486	-129.2829
640.000000	100.195503	-130.7440
650.000000	100.176361	-132.1770
