* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 3, 2021 3:25:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 64 Audio U18ts
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	109.051926	22.4179
20.600000	109.087326	21.7626
20.900000	109.111404	21.2045
21.200001	109.131577	20.6631
21.400000	109.144440	20.2977
21.799999	109.169426	19.5298
22.000000	109.181175	19.1215
22.400000	109.201828	18.2621
22.700001	109.214127	17.5972
23.000000	109.224213	16.9332
23.299999	109.233360	16.2833
23.600000	109.243011	15.6537
24.000000	109.258339	14.8430
24.299999	109.271729	14.2493
24.700001	109.290833	13.4671
25.000000	109.305069	12.8849
25.400000	109.323120	12.1158
25.799999	109.340218	11.3573
26.200001	109.356819	10.6102
26.500000	109.368958	10.0574
26.900000	109.384193	9.3329
27.200001	109.394463	8.8022
27.600000	109.406288	8.1170
28.000000	109.416260	7.4592
28.500000	109.427063	6.6666
29.000000	109.436775	5.8850
29.500000	109.445274	5.0953
30.000000	109.452271	4.2928
30.400000	109.456879	3.6478
30.700001	109.459961	3.1671
31.100000	109.463699	2.5359
31.500000	109.467072	1.9197
32.000000	109.470757	1.1719
32.500000	109.473770	0.4440
33.000000	109.476051	-0.2736
33.500000	109.477592	-0.9879
34.000000	109.478233	-1.6987
34.500000	109.478027	-2.3999
35.000000	109.477135	-3.0850
35.500000	109.475571	-3.7534
36.000000	109.473030	-4.4102
36.500000	109.469032	-5.0616
37.000000	109.463531	-5.7091
37.500000	109.457214	-6.3503
38.200001	109.448837	-7.2335
38.700001	109.443710	-7.8558
39.500000	109.435196	-8.8428
40.000000	109.428581	-9.4532
40.599998	109.419533	-10.1729
41.200001	109.410416	-10.8755
41.799999	109.401375	-11.5632
42.500000	109.389221	-12.3526
43.099998	109.376389	-13.0215
43.700001	109.362320	-13.6885
44.400002	109.345924	-14.4701
45.000000	109.331787	-15.1334
45.500000	109.319901	-15.6682
46.200001	109.303619	-16.3866
46.799999	109.289436	-16.9945
47.500000	109.270241	-17.7170
48.200001	109.248116	-18.4450
48.700001	109.232513	-18.9568
49.400002	109.213203	-19.6585
