* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 3, 2021 2:10:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Audio Lokahi
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	109.952362	-159.2829
20.600000	109.982094	-159.7279
20.900000	109.998741	-160.1178
21.200001	110.010590	-160.4870
21.400000	110.018341	-160.7253
21.799999	110.036469	-161.2015
22.000000	110.046982	-161.4473
22.400000	110.068726	-161.9614
22.700001	110.082878	-162.3629
23.000000	110.093597	-162.7667
23.299999	110.100784	-163.1614
23.600000	110.105652	-163.5401
24.000000	110.111725	-164.0221
24.299999	110.117691	-164.3759
24.700001	110.128349	-164.8517
25.000000	110.137726	-165.2143
25.400000	110.150986	-165.6981
25.799999	110.164650	-166.1666
26.200001	110.179100	-166.6096
26.500000	110.190468	-166.9266
26.900000	110.205185	-167.3373
27.200001	110.214684	-167.6409
27.600000	110.223808	-168.0406
28.000000	110.228821	-168.4310
28.500000	110.232140	-168.9042
29.000000	110.236794	-169.3743
29.500000	110.244499	-169.8586
30.000000	110.253494	-170.3540
30.400000	110.260323	-170.7423
30.700001	110.265129	-171.0201
31.100000	110.271500	-171.3685
31.500000	110.278076	-171.6964
32.000000	110.286026	-172.0936
32.500000	110.292328	-172.4923
33.000000	110.296181	-172.8987
33.500000	110.298096	-173.3086
34.000000	110.299271	-173.7118
34.500000	110.300827	-174.0984
35.000000	110.303391	-174.4650
35.500000	110.306763	-174.8176
36.000000	110.309807	-175.1674
36.500000	110.311462	-175.5211
37.000000	110.311722	-175.8783
37.500000	110.311409	-176.2346
38.200001	110.311035	-176.7225
38.700001	110.310501	-177.0554
39.500000	110.308609	-177.5553
40.000000	110.307320	-177.8573
40.599998	110.306084	-178.2253
41.200001	110.305161	-178.6024
41.799999	110.304558	-178.9785
42.500000	110.304031	-179.4036
43.099998	110.302536	-179.7577
43.700001	110.298676	179.8930
44.400002	110.291992	179.4962
45.000000	110.287720	179.1697
45.500000	110.286682	178.9016
46.200001	110.286217	178.5212
46.799999	110.282410	178.1974
47.500000	110.273689	177.8388
48.200001	110.265205	177.4875
48.700001	110.260437	177.2268
49.400002	110.254272	176.8564
50.000000	110.249428	176.5528
50.799999	110.243729	176.1683
51.500000	110.237000	175.8370
52.200001	110.228218	175.5095
53.000000	110.218681	175.1312
53.799999	110.208954	174.7425
54.500000	110.199593	174.4164
55.200001	110.192108	174.1096
56.000000	110.185341	173.7556
57.000000	110.172653	173.3149
58.000000	110.159912	172.9008
59.000000	110.148102	172.4550
60.000000	110.129593	172.0170
60.799999	110.116608	171.7010
61.500000	110.108505	171.4139
62.200001	110.099480	171.1090
63.000000	110.086540	170.7734
64.000000	110.071831	170.3945
65.000000	110.057854	170.0101
66.000000	110.038521	169.6219
67.000000	110.021393	169.2513
68.000000	110.005318	168.8629
69.000000	109.985733	168.4930
70.000000	109.968552	168.1257
71.000000	109.950104	167.7501
72.000000	109.931076	167.3894
73.000000	109.911491	167.0295
74.000000	109.891762	166.6741
75.000000	109.872147	166.3346
76.199997	109.849609	165.9070
77.500000	109.817146	165.4465
78.800003	109.789696	165.0374
80.000000	109.763245	164.6686
81.199997	109.740257	164.1991
82.500000	109.708946	163.7913
83.800003	109.679199	163.3446
85.000000	109.640945	162.9786
86.199997	109.624901	162.5704
87.500000	109.588188	162.1926
88.500000	109.560226	161.9098
90.000000	109.514786	161.3973
91.199997	109.483963	161.0212
92.500000	109.446350	160.6420
93.800003	109.412308	160.2756
95.000000	109.372330	159.9322
96.199997	109.341934	159.6161
97.500000	109.303154	159.2050
98.800003	109.262802	158.8576
100.000000	109.224907	158.5020
101.500000	109.175201	158.0926
103.000000	109.134842	157.7260
104.400002	109.087997	157.3352
106.000000	109.034843	156.9005
107.500000	108.980804	156.5237
109.000000	108.934029	156.1259
110.599998	108.871391	155.7210
112.000000	108.820992	155.3600
113.800003	108.757088	154.9428
115.000000	108.712997	154.6323
117.199997	108.629364	154.1470
118.000000	108.595688	153.9675
120.599998	108.503403	153.3380
122.000000	108.440186	153.0926
124.099998	108.352249	152.6252
125.000000	108.318298	152.4622
126.500000	108.253250	152.1875
