* Measurement data measured by REW V5.19
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -7.6 dBFS, measurement signal peak level -7.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  Using an acoustic timing reference
* Dated: Feb 15, 2021 6:40:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.091±0.011 ms (-31 mm, -1.23 in) using estimated IR delay relative to Acoustic reference on  L
* Measurement: BGVP DM8
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	65.067	90.168
20.586	65.097	89.943
20.885	65.183	89.386
21.189	65.288	88.758
21.497	65.402	88.138
21.810	65.523	87.552
22.127	65.648	86.980
22.449	65.777	86.392
22.776	65.905	85.774
23.107	66.033	85.129
23.443	66.161	84.469
23.784	66.291	83.801
24.130	66.425	83.117
24.481	66.564	82.405
24.837	66.705	81.656
25.198	66.844	80.875
25.565	66.981	80.079
25.937	67.115	79.290
26.314	67.247	78.523
26.697	67.379	77.783
27.085	67.513	77.062
27.479	67.649	76.348
27.879	67.785	75.626
28.284	67.919	74.887
28.696	68.050	74.134
29.113	68.177	73.374
29.537	68.302	72.608
29.966	68.427	71.813
30.402	68.549	70.961
30.844	68.661	70.043
31.293	68.756	69.105
31.748	68.835	68.237
32.210	68.911	67.516
32.678	69.004	66.942
33.154	69.128	66.422
33.636	69.279	65.816
34.125	69.440	65.032
34.621	69.592	64.069
35.125	69.719	63.014
35.636	69.820	61.989
36.154	69.903	61.107
36.680	69.987	60.401
37.214	70.086	59.821
37.755	70.205	59.249
38.304	70.333	58.594
38.861	70.458	57.837
39.427	70.575	57.022
40.000	70.686	56.176
40.582	70.793	55.288
41.172	70.891	54.349
41.771	70.976	53.397
42.379	71.052	52.496
42.995	71.127	51.676
43.620	71.209	50.905
