* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -4.5 dBFS, measurement signal peak level -4.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 27, 2021 10:16:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0972 ms (-33 mm, -1.31 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: Dunu EST 112 (SpinFit)
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	109.587105	-136.0127
20.600000	109.594154	-136.2214
20.900000	109.613480	-136.7179
21.200001	109.636223	-137.2679
21.400000	109.652847	-137.6377
21.799999	109.689941	-138.3810
22.000000	109.710289	-138.7588
22.400000	109.753326	-139.5325
22.700001	109.786072	-140.1234
23.000000	109.818237	-140.7120
23.299999	109.849579	-141.2878
23.600000	109.880348	-141.8436
24.000000	109.921127	-142.5515
24.299999	109.951530	-143.0624
24.700001	109.990952	-143.7271
25.000000	110.018631	-144.2186
25.400000	110.051941	-144.8664
25.799999	110.081108	-145.5020
26.200001	110.107803	-146.1209
26.500000	110.127739	-146.5739
26.900000	110.155830	-147.1676
27.200001	110.178436	-147.6091
27.600000	110.209641	-148.1959
28.000000	110.240120	-148.7772
28.500000	110.273979	-149.4816
29.000000	110.301743	-150.1441
29.500000	110.324684	-150.7648
30.000000	110.345070	-151.3627
30.400000	110.360527	-151.8374
30.700001	110.371902	-152.1940
31.100000	110.387154	-152.6684
31.500000	110.402863	-153.1364
32.000000	110.423271	-153.7059
32.500000	110.443863	-154.2555
33.000000	110.463272	-154.7888
33.500000	110.480576	-155.3137
34.000000	110.495560	-155.8396
34.500000	110.508240	-156.3710
35.000000	110.518768	-156.9003
35.500000	110.527908	-157.4117
36.000000	110.537018	-157.8926
36.500000	110.547211	-158.3444
37.000000	110.558319	-158.7801
37.500000	110.569191	-159.2144
38.200001	110.582123	-159.8316
38.700001	110.589523	-160.2762
39.500000	110.599152	-160.9758
40.000000	110.604126	-161.3954
40.599998	110.609154	-161.8756
41.200001	110.613251	-162.3352
41.799999	110.616486	-162.7829
42.500000	110.619720	-163.2983
43.099998	110.622772	-163.7361
43.700001	110.626419	-164.1703
44.400002	110.630402	-164.6705
45.000000	110.632042	-165.0886
45.500000	110.631569	-165.4250
46.200001	110.628616	-165.8767
46.799999	110.625275	-166.2527
47.500000	110.621918	-166.6888
48.200001	110.620308	-167.1228
48.700001	110.620522	-167.4274
49.400002	110.621773	-167.8405
50.000000	110.621613	-168.1800
50.799999	110.616531	-168.6128
51.500000	110.607697	-168.9778
52.200001	110.597580	-169.3339
53.000000	110.588295	-169.7248
53.799999	110.583359	-170.0914
54.500000	110.581642	-170.4019
55.200001	110.580109	-170.7218
56.000000	110.576599	-171.1069
57.000000	110.568848	-171.5841
58.000000	110.555222	-171.9980
59.000000	110.536987	-172.3417
60.000000	110.525635	-172.7286
60.799999	110.523239	-173.1423
61.500000	110.521561	-173.5489
62.200001	110.517776	-173.9389
63.000000	110.510315	-174.3300
64.000000	110.496262	-174.7529
65.000000	110.479301	-175.1442
66.000000	110.462448	-175.5257
67.000000	110.445473	-175.8937
68.000000	110.427689	-176.2426
69.000000	110.409523	-176.5753
70.000000	110.391762	-176.8959
71.000000	110.374893	-177.2083
72.000000	110.359047	-177.5169
73.000000	110.344055	-177.8235
74.000000	110.329605	-178.1273
75.000000	110.315262	-178.4281
76.199997	110.297516	-178.7870
77.500000	110.277412	-179.1683
78.800003	110.256615	-179.5275
80.000000	110.236481	-179.8364
81.199997	110.215820	179.8536
82.500000	110.191887	179.4934
83.800003	110.164597	179.1292
85.000000	110.138069	178.8126
86.199997	110.112144	178.5140
87.500000	110.085129	178.2038
88.500000	110.064957	177.9703
90.000000	110.035019	177.6291
91.199997	110.010551	177.3681
92.500000	109.982849	177.0960
93.800003	109.954285	176.8289
95.000000	109.927780	176.5849
96.199997	109.901405	176.3455
97.500000	109.872925	176.0930
98.800003	109.844223	175.8478
100.000000	109.817497	175.6281
101.500000	109.783958	175.3621
103.000000	109.750191	175.1063
104.400002	109.718292	174.8762
106.000000	109.681564	174.6222
107.500000	109.647156	174.3920
109.000000	109.612770	174.1693
110.599998	109.575836	173.9408
112.000000	109.543228	173.7493
113.800003	109.500664	173.5191
115.000000	109.471596	173.3809
117.199997	109.416016	173.1758
118.000000	109.395210	173.1140
120.599998	109.331558	172.8651
122.000000	109.301651	172.6728
124.099998	109.257828	172.3796
125.000000	109.238373	172.2681
126.500000	109.204964	172.1017
128.000000	109.170715	171.9536
131.500000	109.089638	171.6493
132.000000	109.078026	171.6092
134.000000	109.031746	171.4557
136.000000	108.985695	171.3114
138.000000	108.939911	171.1763
140.000000	108.894600	171.0500
143.000000	108.827682	170.8687
145.000000	108.783554	170.7505
147.500000	108.728714	170.6098
150.000000	108.673813	170.4806
152.500000	108.618484	170.3624
155.000000	108.562859	170.2550
157.500000	108.507462	170.1598
160.000000	108.452942	170.0762
162.500000	108.399094	170.0017
165.000000	108.345238	169.9348
167.500000	108.291466	169.8777
170.000000	108.238152	169.8303
172.500000	108.185379	169.7917
175.000000	108.132896	169.7632
177.500000	108.080612	169.7459
180.000000	108.028664	169.7363
182.500000	107.977058	169.7300
185.000000	107.925743	169.7271
187.500000	107.874855	169.7277
190.000000	107.824608	169.7341
192.500000	107.774918	169.7492
