* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -4.8 dBFS, measurement signal peak level -4.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 27, 2021 10:15:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0967 ms (-33 mm, -1.31 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: Dunu EST 112
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	109.592247	-135.1152
20.600000	109.604630	-135.3403
20.900000	109.638062	-135.8791
21.200001	109.675369	-136.4855
21.400000	109.700546	-136.8969
21.799999	109.750282	-137.7154
22.000000	109.774506	-138.1189
22.400000	109.821304	-138.9113
22.700001	109.854691	-139.4879
23.000000	109.886734	-140.0465
23.299999	109.917793	-140.5877
23.600000	109.948227	-141.1148
24.000000	109.988068	-141.8042
24.299999	110.017258	-142.3155
24.700001	110.054802	-142.9912
25.000000	110.081772	-143.4911
25.400000	110.116287	-144.1446
25.799999	110.149567	-144.7809
26.200001	110.181755	-145.4029
26.500000	110.204910	-145.8629
26.900000	110.233810	-146.4697
27.200001	110.253616	-146.9189
27.600000	110.277428	-147.5058
28.000000	110.298958	-148.0734
28.500000	110.324669	-148.7525
29.000000	110.351250	-149.4061
29.500000	110.379105	-150.0505
30.000000	110.406525	-150.6979
30.400000	110.426773	-151.2167
30.700001	110.440674	-151.6020
31.100000	110.457764	-152.1049
31.500000	110.473953	-152.5922
32.000000	110.493584	-153.1826
32.500000	110.511612	-153.7607
33.000000	110.525642	-154.3283
33.500000	110.534508	-154.8760
34.000000	110.540245	-155.3928
34.500000	110.546844	-155.8806
35.000000	110.557472	-156.3550
35.500000	110.572525	-156.8305
36.000000	110.590378	-157.3078
36.500000	110.609474	-157.7784
37.000000	110.628822	-158.2370
37.500000	110.647095	-158.6874
38.200001	110.666885	-159.3126
38.700001	110.675232	-159.7496
39.500000	110.682343	-160.4133
40.000000	110.687012	-160.8110
40.599998	110.694557	-161.2877
41.200001	110.702545	-161.7699
41.799999	110.709122	-162.2496
42.500000	110.714821	-162.7945
43.099998	110.719032	-163.2481
43.700001	110.723503	-163.6921
44.400002	110.729622	-164.1991
45.000000	110.735207	-164.6250
45.500000	110.738914	-164.9728
46.200001	110.740540	-165.4431
46.799999	110.738045	-165.8250
47.500000	110.732330	-166.2513
48.200001	110.725777	-166.6791
48.700001	110.720970	-166.9948
49.400002	110.714539	-167.4427
50.000000	110.710953	-167.8160
50.799999	110.711197	-168.2880
51.500000	110.714226	-168.6861
52.200001	110.715530	-169.0777
53.000000	110.712730	-169.5148
53.799999	110.707565	-169.9376
54.500000	110.702942	-170.2958
55.200001	110.697899	-170.6438
56.000000	110.690308	-171.0336
57.000000	110.680054	-171.5100
58.000000	110.679977	-171.9592
59.000000	110.693344	-172.4090
60.000000	110.696198	-172.8958
60.799999	110.678085	-173.2769
61.500000	110.653603	-173.5825
62.200001	110.630379	-173.8723
63.000000	110.610352	-174.2017
64.000000	110.592484	-174.6099
65.000000	110.576599	-175.0054
66.000000	110.559975	-175.3894
67.000000	110.542725	-175.7595
68.000000	110.524620	-176.1144
69.000000	110.505287	-176.4580
70.000000	110.485794	-176.7921
71.000000	110.467491	-177.1163
72.000000	110.450089	-177.4349
73.000000	110.432663	-177.7508
74.000000	110.415703	-178.0649
75.000000	110.399857	-178.3801
76.199997	110.381317	-178.7568
77.500000	110.359688	-179.1512
78.800003	110.335861	-179.5282
80.000000	110.313263	-179.8709
81.199997	110.290154	179.7864
82.500000	110.262726	179.4255
83.800003	110.232246	179.0869
85.000000	110.202461	178.7959
86.199997	110.171837	178.5247
87.500000	110.137978	178.2526
88.500000	110.112167	178.0573
90.000000	110.076134	177.7833
91.199997	110.051163	177.5776
92.500000	110.028175	177.3598
93.800003	110.008331	177.1343
95.000000	109.991486	176.9108
96.199997	109.974525	176.6725
97.500000	109.954628	176.4055
98.800003	109.932404	176.1363
100.000000	109.909523	175.8879
101.500000	109.877731	175.5769
103.000000	109.843384	175.2697
104.400002	109.810143	174.9939
106.000000	109.771179	174.6964
107.500000	109.733795	174.4327
109.000000	109.695793	174.1800
110.599998	109.654335	173.9204
112.000000	109.616882	173.7012
113.800003	109.566315	173.4276
115.000000	109.530579	173.2456
117.199997	109.459290	172.8959
118.000000	109.431656	172.7651
120.599998	109.345482	172.4199
122.000000	109.304474	172.3142
124.099998	109.241852	172.2014
125.000000	109.212784	172.1589
126.500000	109.161293	172.1022
128.000000	109.106949	172.0760
131.500000	108.982048	172.2059
132.000000	108.966385	172.2507
134.000000	108.915703	172.4886
136.000000	108.890121	172.7742
138.000000	108.891396	173.0128
140.000000	108.911781	173.1096
143.000000	108.947426	172.9260
145.000000	108.956757	172.6480
147.500000	108.945023	172.2373
150.000000	108.911758	171.8326
152.500000	108.865379	171.4710
155.000000	108.812653	171.1642
157.500000	108.756790	170.9129
160.000000	108.698959	170.7120
162.500000	108.640366	170.5519
165.000000	108.582024	170.4207
167.500000	108.524475	170.3109
170.000000	108.467957	170.2184
172.500000	108.412720	170.1403
175.000000	108.359085	170.0749
177.500000	108.306900	170.0208
180.000000	108.255562	169.9733
182.500000	108.204514	169.9296
185.000000	108.153511	169.8900
187.500000	108.102638	169.8561
190.000000	108.052040	169.8301
192.500000	108.001495	169.8109
195.000000	107.950638	169.7964
197.500000	107.899536	169.7880
200.000000	107.848526	169.7889
203.000000	107.787979	169.8020
206.000000	107.728325	169.8260
209.000000	107.669106	169.8614
212.000000	107.610184	169.9085
214.000000	107.571159	169.9467
218.000000	107.494301	170.0437
220.000000	107.456604	170.1008
224.000000	107.381760	170.2201
227.000000	107.325653	170.3089
230.000000	107.269928	170.4023
233.000000	107.215050	170.5111
236.000000	107.160858	170.6391
240.000000	107.087921	170.8248
243.000000	107.031845	170.9626
247.000000	106.957016	171.1609
250.000000	106.903069	171.3344
254.000000	106.835602	171.6018
258.000000	106.773628	171.9037
262.000000	106.718742	172.2246
265.000000	106.683014	172.4639
269.000000	106.641678	172.7586
272.000000	106.613701	172.9502
276.000000	106.577454	173.1649
280.000000	106.539711	173.3445
285.000000	106.488243	173.5457
290.000000	106.432121	173.7458
295.000000	106.372536	173.9593
300.000000	106.309296	174.1914
304.000000	106.256012	174.3911
307.000000	106.215569	174.5501
311.000000	106.162399	174.7753
315.000000	106.110527	175.0149
320.000000	106.047371	175.3300
325.000000	105.986084	175.6552
330.000000	105.926704	175.9885
335.000000	105.868591	176.3314
340.000000	105.811386	176.6833
345.000000	105.755341	177.0438
350.000000	105.700745	177.4116
355.000000	105.647614	177.7856
360.000000	105.596092	178.1633
365.000000	105.546242	178.5428
370.000000	105.497551	178.9256
375.000000	105.449524	179.3129
382.000000	105.383499	179.8636
387.000000	105.337425	-179.7361
395.000000	105.266357	-179.0887
400.000000	105.223801	-178.6833
406.000000	105.174263	-178.1950
412.000000	105.126160	-177.7019
418.000000	105.079208	-177.2028
425.000000	105.025452	-176.6132
431.000000	104.980598	-176.1035
437.000000	104.937286	-175.5909
444.000000	104.888535	-174.9894
450.000000	104.847931	-174.4713
455.000000	104.814903	-174.0377
462.000000	104.770012	-173.4262
468.000000	104.732925	-172.8953
475.000000	104.691322	-172.2694
482.000000	104.651245	-171.6452
487.000000	104.623489	-171.2026
494.000000	104.585930	-170.5820
500.000000	104.555000	-170.0458
508.000000	104.515541	-169.3255
515.000000	104.482559	-168.6920
522.000000	104.451050	-168.0558
530.000000	104.416924	-167.3235
538.000000	104.384491	-166.5879
545.000000	104.356964	-165.9455
552.000000	104.330406	-165.3040
560.000000	104.301842	-164.5687
570.000000	104.269073	-163.6452
580.000000	104.239090	-162.7163
590.000000	104.211777	-161.7842
600.000000	104.187088	-160.8512
608.000000	104.169144	-160.1046
615.000000	104.154907	-159.4509
622.000000	104.142067	-158.7961
630.000000	104.128860	-158.0464
640.000000	104.114265	-157.1081
650.000000	104.101952	-156.1697
660.000000	104.092415	-155.2312
670.000000	104.085770	-154.2923
680.000000	104.081459	-153.3535
690.000000	104.079193	-152.4141
700.000000	104.079300	-151.4744
710.000000	104.082047	-150.5368
720.000000	104.087318	-149.6019
730.000000	104.094742	-148.6683
740.000000	104.104309	-147.7363
750.000000	104.116249	-146.8075
762.000000	104.133736	-145.6986
775.000000	104.156479	-144.5040
788.000000	104.183350	-143.3166
800.000000	104.211609	-142.2267
812.000000	104.243118	-141.1415
825.000000	104.281029	-139.9713
838.000000	104.322586	-138.8092
850.000000	104.363770	-137.7474
862.000000	104.408058	-136.6958
875.000000	104.460251	-135.5658
885.000000	104.503265	-134.7042
900.000000	104.571365	-133.4296
912.000000	104.628265	-132.4294
925.000000	104.692696	-131.3640
938.000000	104.760468	-130.3145
950.000000	104.826141	-129.3592
962.000000	104.894844	-128.4193
975.000000	104.972404	-127.4218
988.000000	105.052681	-126.4481
1000.000000	105.128777	-125.5710
1015.000000	105.226158	-124.5035
1030.000000	105.325356	-123.4671
1044.000000	105.419250	-122.5267
1060.000000	105.527939	-121.4814
1075.000000	105.631317	-120.5287
1090.000000	105.736565	-119.6042
1106.000000	105.850677	-118.6528
1120.000000	105.950928	-117.8509
1138.000000	106.078705	-116.8546
1150.000000	106.163078	-116.2056
1172.000000	106.318634	-115.0395
1180.000000	106.376282	-114.6247
1206.000000	106.569168	-113.3319
1220.000000	106.675385	-112.6827
1241.000000	106.833031	-111.7807
1250.000000	106.898727	-111.4185
1265.000000	107.004707	-110.8398
1280.000000	107.106277	-110.2826
1315.000000	107.330017	-109.0216
1320.000000	107.360809	-108.8435
1340.000000	107.481750	-108.1326
1360.000000	107.600052	-107.4237
1380.000000	107.716751	-106.7163
1400.000000	107.832741	-106.0109
1430.000000	108.006371	-104.9579
1450.000000	108.122040	-104.2598
1475.000000	108.267242	-103.3947
1500.000000	108.414093	-102.5408
1525.000000	108.563202	-101.6994
1550.000000	108.714798	-100.8741
1575.000000	108.868965	-100.0691
1600.000000	109.025894	-99.2884
1625.000000	109.185974	-98.5372
1650.000000	109.349365	-97.8200
1675.000000	109.515953	-97.1398
1700.000000	109.685562	-96.5004
1725.000000	109.857979	-95.9072
1750.000000	110.032928	-95.3649
1775.000000	110.210114	-94.8778
1800.000000	110.389053	-94.4500
1825.000000	110.569092	-94.0859
1850.000000	110.749481	-93.7897
1875.000000	110.929428	-93.5650
1900.000000	111.108047	-93.4150
1925.000000	111.284317	-93.3427
1950.000000	111.457062	-93.3501
1975.000000	111.624992	-93.4385
2000.000000	111.786781	-93.6085
2030.000000	111.970932	-93.9192
2060.000000	112.141953	-94.3426
2090.000000	112.297501	-94.8712
2120.000000	112.435303	-95.4946
2140.000000	112.516235	-95.9566
2180.000000	112.649475	-96.9717
2200.000000	112.701004	-97.5144
2240.000000	112.772537	-98.6417
2270.000000	112.798187	-99.4999
2300.000000	112.800026	-100.3459
2330.000000	112.778809	-101.1608
2360.000000	112.735672	-101.9270
2400.000000	112.646576	-102.8470
2430.000000	112.558380	-103.4449
2470.000000	112.415955	-104.1012
2500.000000	112.293121	-104.4792
2540.000000	112.111717	-104.8225
2580.000000	111.914238	-104.9781
2620.000000	111.704796	-104.9460
2650.000000	111.542206	-104.8005
2690.000000	111.320900	-104.4482
2720.000000	111.153214	-104.0693
2760.000000	110.929649	-103.4188
2800.000000	110.708450	-102.6115
2850.000000	110.438690	-101.3977
2900.000000	110.179695	-99.9770
2950.000000	109.934265	-98.3718
3000.000000	109.704376	-96.6029
3040.000000	109.532578	-95.0820
3070.000000	109.411140	-93.8852
3110.000000	109.259453	-92.2212
3150.000000	109.119965	-90.4853
3200.000000	108.963745	-88.2233
3250.000000	108.829422	-85.8713
3300.000000	108.719131	-83.4506
3350.000000	108.634354	-80.9909
3400.000000	108.574707	-78.5266
3450.000000	108.537521	-76.0876
3500.000000	108.518707	-73.6900
3550.000000	108.514343	-71.3356
3600.000000	108.521957	-69.0164
3650.000000	108.540932	-66.7223
3700.000000	108.572037	-64.4481
3750.000000	108.616470	-62.1973
3820.000000	108.701553	-59.1104
3870.000000	108.776558	-56.9667
3950.000000	108.916451	-53.6267
4000.000000	109.019081	-51.5762
4060.000000	109.163376	-49.1752
4120.000000	109.329941	-46.8909
4180.000000	109.513580	-44.7520
4250.000000	109.744827	-42.4445
4310.000000	109.956131	-40.6328
4370.000000	110.178093	-38.9899
4440.000000	110.447052	-37.3102
4500.000000	110.682213	-36.0899
4550.000000	110.878441	-35.2352
4620.000000	111.148697	-34.2944
4680.000000	111.371201	-33.7304
4750.000000	111.612991	-33.3565
4820.000000	111.826965	-33.2784
4870.000000	111.957535	-33.3888
4940.000000	112.102386	-33.7377
5000.000000	112.186844	-34.1692
5080.000000	112.239105	-34.8375
5150.000000	112.229858	-35.4165
5220.000000	112.174927	-35.9151
5300.000000	112.065933	-36.3295
5380.000000	111.918068	-36.5506
5450.000000	111.763046	-36.5794
5520.000000	111.587723	-36.4490
5600.000000	111.366371	-36.0886
5700.000000	111.067001	-35.2863
5800.000000	110.757385	-34.0691
5900.000000	110.455574	-32.4525
6000.000000	110.178200	-30.4923
6080.000000	109.982437	-28.7334
