* Measurement data measured by REW V5.19
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -6.7 dBFS, measurement signal peak level -7.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  Using an acoustic timing reference
* Dated: Mar 19, 2021 8:59:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.089±0.011 ms (-31 mm, -1.20 in) using estimated IR delay relative to Acoustic reference on  L
* Measurement: ER2XR (stock)
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	74.899	-179.627
20.586	74.899	-179.762
20.885	74.898	179.895
21.189	74.895	179.473
21.497	74.891	179.007
21.810	74.883	178.522
22.127	74.874	178.027
22.449	74.861	177.529
22.776	74.847	177.032
23.107	74.832	176.539
23.443	74.816	176.053
23.784	74.799	175.577
24.130	74.781	175.111
24.481	74.762	174.659
24.837	74.741	174.224
25.198	74.717	173.811
25.565	74.690	173.420
25.937	74.660	173.052
26.314	74.627	172.703
26.697	74.589	172.369
27.085	74.548	172.045
27.479	74.502	171.725
27.879	74.453	171.402
28.284	74.399	171.070
28.696	74.342	170.724
29.113	74.282	170.361
29.537	74.219	169.980
29.966	74.156	169.582
30.402	74.093	169.167
30.844	74.031	168.735
31.293	73.972	168.291
31.748	73.914	167.840
32.210	73.860	167.392
32.678	73.808	166.958
33.154	73.759	166.545
33.636	73.713	166.157
34.125	73.668	165.797
34.621	73.623	165.465
35.125	73.577	165.161
35.636	73.529	164.879
36.154	73.478	164.612
36.680	73.422	164.356
37.214	73.361	164.113
37.755	73.295	163.886
38.304	73.228	163.671
38.861	73.162	163.453
39.427	73.099	163.213
40.000	73.037	162.943
40.582	72.977	162.646
41.172	72.917	162.338
41.771	72.857	162.035
42.379	72.798	161.751
42.995	72.739	161.494
43.620	72.682	161.270
44.255	72.624	161.076
44.898	72.566	160.906
45.552	72.507	160.751
46.214	72.444	160.607
46.886	72.379	160.471
47.568	72.311	160.337
48.260	72.242	160.198
48.962	72.174	160.050
49.674	72.107	159.891
50.397	72.041	159.726
51.130	71.977	159.560
51.874	71.915	159.403
52.628	71.856	159.263
53.394	71.797	159.148
54.170	71.739	159.065
54.958	71.680	159.016
55.758	71.618	159.005
56.569	71.553	159.036
57.391	71.487	159.113
58.226	71.424	159.221
59.073	71.368	159.310
59.932	71.319	159.307
60.804	71.265	159.184
61.688	71.201	158.987
62.586	71.126	158.789
63.496	71.050	158.628
64.420	70.978	158.508
65.357	70.912	158.424
66.307	70.850	158.372
67.272	70.791	158.352
68.250	70.733	158.358
69.243	70.673	158.382
70.250	70.612	158.414
71.272	70.551	158.443
72.309	70.488	158.468
73.360	70.427	158.490
74.427	70.366	158.516
75.510	70.308	158.553
76.608	70.250	158.602
77.723	70.192	158.663
78.853	70.135	158.732
80.000	70.076	158.805
81.164	70.017	158.879
82.344	69.959	158.954
83.542	69.902	159.031
84.757	69.846	159.113
85.990	69.791	159.200
87.241	69.736	159.293
88.510	69.682	159.389
89.797	69.627	159.490
91.103	69.573	159.595
92.428	69.518	159.705
93.773	69.465	159.819
95.137	69.413	159.939
96.520	69.361	160.065
97.924	69.309	160.199
99.349	69.256	160.339
100.794	69.204	160.484
102.260	69.151	160.628
103.747	69.099	160.770
105.256	69.048	160.912
106.787	68.998	161.061
108.340	68.949	161.219
109.916	68.901	161.380
111.515	68.854	161.535
113.137	68.812	161.676
114.783	68.777	161.803
116.452	68.751	161.923
118.146	68.724	162.046
119.865	68.688	162.193
121.608	68.635	162.390
123.377	68.571	162.637
125.171	68.506	162.896
126.992	68.447	163.134
128.839	68.395	163.349
130.713	68.348	163.555
132.615	68.304	163.760
134.543	68.261	163.966
136.500	68.218	164.174
138.486	68.176	164.385
140.500	68.135	164.602
142.544	68.094	164.821
144.617	68.053	165.041
146.721	68.012	165.260
148.855	67.972	165.482
151.020	67.933	165.707
153.217	67.895	165.937
155.445	67.857	166.171
157.706	67.818	166.408
160.000	67.780	166.647
162.327	67.742	166.887
164.688	67.704	167.130
167.084	67.667	167.374
169.514	67.629	167.620
171.980	67.592	167.869
174.481	67.555	168.120
177.019	67.518	168.374
179.594	67.482	168.633
182.206	67.447	168.897
184.856	67.413	169.164
187.545	67.380	169.434
190.273	67.346	169.704
193.041	67.313	169.975
195.849	67.279	170.248
198.697	67.247	170.525
201.587	67.214	170.804
204.520	67.181	171.085
207.494	67.149	171.368
210.512	67.117	171.652
213.574	67.085	171.938
216.681	67.054	172.227
219.833	67.023	172.517
223.030	66.992	172.808
226.274	66.962	173.094
229.565	66.932	173.372
232.905	66.904	173.636
236.292	66.877	173.899
239.729	66.848	174.187
243.216	66.819	174.519
246.754	66.788	174.880
250.343	66.757	175.243
253.984	66.727	175.596
257.678	66.698	175.939
261.426	66.670	176.276
265.229	66.641	176.612
269.087	66.614	176.949
273.001	66.586	177.289
276.972	66.559	177.631
281.000	66.531	177.975
285.088	66.504	178.317
289.234	66.478	178.655
293.441	66.451	178.991
297.710	66.424	179.334
302.040	66.398	179.699
306.433	66.373	-179.913
310.890	66.348	-179.517
315.412	66.323	-179.125
320.000	66.298	-178.740
324.655	66.273	-178.357
329.377	66.248	-177.972
334.168	66.223	-177.581
339.028	66.198	-177.185
343.959	66.173	-176.785
348.962	66.148	-176.381
354.038	66.122	-175.974
359.188	66.095	-175.564
364.412	66.067	-175.150
369.713	66.038	-174.727
375.090	66.009	-174.292
380.546	65.980	-173.840
386.081	65.953	-173.374
391.697	65.927	-172.895
397.395	65.903	-172.406
403.175	65.879	-171.908
409.039	65.858	-171.405
414.989	65.837	-170.896
421.025	65.816	-170.382
427.149	65.795	-169.865
433.362	65.774	-169.345
439.665	65.753	-168.822
446.060	65.733	-168.296
452.548	65.713	-167.763
459.131	65.693	-167.221
465.809	65.672	-166.668
472.584	65.652	-166.103
479.458	65.632	-165.531
486.432	65.614	-164.955
493.507	65.596	-164.375
500.686	65.578	-163.787
507.968	65.561	-163.189
515.357	65.544	-162.578
522.853	65.526	-161.954
530.458	65.509	-161.320
538.174	65.492	-160.677
546.002	65.476	-160.029
553.943	65.461	-159.373
562.001	65.447	-158.704
570.175	65.433	-158.020
578.469	65.420	-157.320
586.883	65.408	-156.605
595.419	65.395	-155.877
604.080	65.384	-155.138
612.866	65.373	-154.387
621.780	65.363	-153.622
630.824	65.354	-152.841
640.000	65.346	-152.042
649.309	65.339	-151.225
658.753	65.332	-150.393
668.335	65.327	-149.546
678.056	65.324	-148.685
687.919	65.322	-147.807
697.925	65.322	-146.910
708.076	65.324	-145.992
718.376	65.327	-145.054
728.825	65.333	-144.097
739.426	65.341	-143.120
750.181	65.351	-142.122
761.093	65.364	-141.104
772.163	65.379	-140.064
783.394	65.399	-139.004
794.789	65.422	-137.923
806.349	65.449	-136.821
818.078	65.480	-135.695
829.977	65.515	-134.549
842.050	65.555	-133.386
854.297	65.600	-132.208
866.724	65.650	-131.014
879.330	65.706	-129.803
892.120	65.769	-128.581
905.097	65.840	-127.357
918.262	65.919	-126.134
931.618	66.005	-124.913
945.169	66.098	-123.692
958.917	66.199	-122.471
972.864	66.307	-121.255
987.015	66.423	-120.051
1001.371	66.547	-118.868
1015.937	66.679	-117.713
1030.714	66.818	-116.593
1045.706	66.965	-115.513
1060.916	67.118	-114.476
1076.347	67.276	-113.488
1092.003	67.438	-112.552
1107.887	67.604	-111.671
1124.001	67.771	-110.846
1140.350	67.940	-110.074
1156.937	68.110	-109.352
1173.765	68.279	-108.679
1190.838	68.448	-108.050
1208.159	68.618	-107.463
1225.732	68.790	-106.919
1243.561	68.963	-106.431
1261.649	69.136	-106.021
1280.000	69.304	-105.710
1298.618	69.460	-105.501
1317.507	69.600	-105.367
1336.670	69.720	-105.254
1356.113	69.823	-105.102
1375.838	69.914	-104.877
1395.850	70.001	-104.572
1416.153	70.089	-104.204
1436.751	70.179	-103.796
1457.649	70.272	-103.366
1478.851	70.366	-102.926
1500.362	70.461	-102.479
1522.185	70.557	-102.026
1544.326	70.653	-101.566
1566.789	70.748	-101.097
1589.578	70.844	-100.618
1612.699	70.940	-100.130
1636.156	71.037	-99.633
1659.955	71.136	-99.129
1684.099	71.236	-98.621
1708.595	71.338	-98.109
1733.447	71.442	-97.598
1758.661	71.547	-97.089
1784.241	71.656	-96.584
1810.193	71.766	-96.087
1836.523	71.878	-95.600
1863.236	71.993	-95.126
1890.338	72.110	-94.670
1917.833	72.229	-94.236
1945.729	72.350	-93.825
1974.030	72.472	-93.443
2002.743	72.595	-93.092
2031.873	72.718	-92.775
2061.428	72.841	-92.496
2091.412	72.964	-92.258
2121.832	73.084	-92.064
2152.695	73.201	-91.916
2184.007	73.315	-91.815
2215.774	73.425	-91.762
2248.003	73.528	-91.756
2280.701	73.625	-91.797
2313.874	73.714	-91.880
2347.530	73.794	-92.004
2381.676	73.863	-92.163
2416.318	73.920	-92.352
2451.464	73.965	-92.562
2487.122	73.996	-92.785
2523.298	74.014	-93.011
2560.000	74.017	-93.228
2597.236	74.005	-93.425
2635.014	73.979	-93.591
2673.341	73.938	-93.714
2712.226	73.884	-93.783
2751.676	73.817	-93.787
2791.700	73.738	-93.717
2832.306	73.649	-93.565
2873.503	73.550	-93.324
2915.299	73.443	-92.989
2957.703	73.330	-92.556
3000.724	73.212	-92.024
3044.370	73.092	-91.392
3088.652	72.969	-90.659
3133.577	72.847	-89.829
3179.156	72.726	-88.905
3225.398	72.607	-87.890
3272.312	72.491	-86.791
3319.909	72.381	-85.611
3368.198	72.276	-84.359
3417.190	72.177	-83.042
3466.894	72.085	-81.668
3517.321	72.001	-80.246
3568.482	71.924	-78.784
3620.387	71.855	-77.293
3673.046	71.793	-75.780
3726.472	71.737	-74.253
3780.675	71.686	-72.717
3835.666	71.641	-71.177
3891.457	71.599	-69.635
3948.060	71.559	-68.092
4005.486	71.521	-66.548
4063.747	71.485	-65.003
4122.855	71.449	-63.456
4182.824	71.412	-61.905
4243.664	71.376	-60.348
4305.390	71.339	-58.782
4368.013	71.301	-57.207
4431.547	71.262	-55.622
