* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -5.9 dBFS, measurement signal peak level -6.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 3, 2021 7:13:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1568 ms (-54 mm, -2.12 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: FLC8P (gld / wht / gun)
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.377815	-159.5168
20.600000	101.377281	-159.7283
20.900000	101.374260	-160.2322
21.200001	101.366547	-160.7900
21.400000	101.358643	-161.1581
21.799999	101.340034	-161.8572
22.000000	101.331238	-162.1866
22.400000	101.317490	-162.8197
22.700001	101.311111	-163.2895
23.000000	101.306702	-163.7668
23.299999	101.302170	-164.2551
23.600000	101.295601	-164.7498
24.000000	101.282310	-165.4004
24.299999	101.269928	-165.8675
24.700001	101.253304	-166.4523
25.000000	101.242821	-166.8665
25.400000	101.232430	-167.4002
25.799999	101.224091	-167.9276
26.200001	101.213814	-168.4494
26.500000	101.203003	-168.8287
26.900000	101.184357	-169.3048
27.200001	101.168457	-169.6361
27.600000	101.147484	-170.0518
28.000000	101.128838	-170.4579
28.500000	101.108849	-170.9837
29.000000	101.089256	-171.5400
29.500000	101.066986	-172.1062
30.000000	101.041382	-172.6526
30.400000	101.019142	-173.0659
30.700001	101.001839	-173.3620
31.100000	100.978363	-173.7415
31.500000	100.955070	-174.1080
32.000000	100.927406	-174.5565
32.500000	100.902107	-175.0025
33.000000	100.878204	-175.4469
33.500000	100.853638	-175.8769
34.000000	100.827194	-176.2720
34.500000	100.799728	-176.6223
35.000000	100.773140	-176.9416
35.500000	100.748199	-177.2589
36.000000	100.723495	-177.5976
36.500000	100.696808	-177.9580
37.000000	100.667328	-178.3165
37.500000	100.636536	-178.6468
38.200001	100.595566	-179.0514
38.700001	100.568382	-179.3215
39.500000	100.523376	-179.7665
40.000000	100.493011	179.9490
40.599998	100.457214	179.6159
41.200001	100.424789	179.2962
41.799999	100.394257	178.9919
42.500000	100.356995	178.6672
43.099998	100.323929	178.4133
43.700001	100.292549	178.1606
44.400002	100.259880	177.8479
45.000000	100.234512	177.5724
45.500000	100.213478	177.3476
46.200001	100.179718	177.0439
46.799999	100.143127	176.7949
47.500000	100.092270	176.5267
48.200001	100.039825	176.2977
48.700001	100.006325	176.1635
49.400002	99.969131	176.0060
50.000000	99.945099	175.8673
50.799999	99.913605	175.6295
51.500000	99.875900	175.3872
52.200001	99.827972	175.1670
53.000000	99.770798	174.9623
53.799999	99.719833	174.7734
54.500000	99.681297	174.6198
55.200001	99.646812	174.5019
56.000000	99.606857	174.3874
57.000000	99.547318	174.1129
58.000000	99.500046	173.4796
59.000000	99.483231	172.4943
60.000000	99.446785	171.8134
