* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -12.0 dBFS, measurement signal peak level -12.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 26, 2021 11:26:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0319 ms (-11 mm, -0.43 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: FLC DD31
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.470329	-122.9934
20.600000	99.493797	-123.1920
20.900000	99.557091	-123.6764
21.200001	99.627319	-124.2523
21.400000	99.673790	-124.6693
21.799999	99.760727	-125.5637
22.000000	99.799950	-126.0310
22.400000	99.869934	-126.9737
22.700001	99.917191	-127.6535
23.000000	99.963181	-128.2904
23.299999	100.010612	-128.8819
23.600000	100.060837	-129.4381
24.000000	100.130615	-130.1526
24.299999	100.182121	-130.6815
24.700001	100.246048	-131.3789
25.000000	100.290222	-131.8885
25.400000	100.347023	-132.5448
25.799999	100.405945	-133.1871
26.200001	100.468689	-133.8412
26.500000	100.516510	-134.3492
26.900000	100.576874	-135.0388
27.200001	100.617256	-135.5463
27.600000	100.663994	-136.1757
28.000000	100.705215	-136.7310
28.500000	100.755615	-137.3345
29.000000	100.810135	-137.9053
29.500000	100.869171	-138.5143
30.000000	100.929985	-139.1979
30.400000	100.978050	-139.7937
30.700001	101.013023	-140.2570
31.100000	101.057663	-140.8760
31.500000	101.099930	-141.4716
32.000000	101.150398	-142.1533
32.500000	101.199707	-142.7570
33.000000	101.247765	-143.3044
33.500000	101.292473	-143.8253
34.000000	101.332008	-144.3412
34.500000	101.367142	-144.8657
35.000000	101.400383	-145.4162
35.500000	101.432922	-146.0099
36.000000	101.463493	-146.6450
36.500000	101.490768	-147.2932
37.000000	101.515953	-147.9152
37.500000	101.542244	-148.4872
38.200001	101.584717	-149.2132
38.700001	101.617859	-149.7004
39.500000	101.669449	-150.4484
40.000000	101.699135	-150.8958
40.599998	101.732361	-151.4128
41.200001	101.763611	-151.9131
41.799999	101.793396	-152.4058
42.500000	101.826263	-152.9888
43.099998	101.851562	-153.5085
43.700001	101.872963	-154.0438
44.400002	101.894325	-154.6658
45.000000	101.913284	-155.1836
45.500000	101.931618	-155.6089
46.200001	101.960335	-156.2132
46.799999	101.983910	-156.7485
47.500000	102.006050	-157.3817
48.200001	102.022728	-157.9995
48.700001	102.033142	-158.4162
49.400002	102.047562	-158.9382
50.000000	102.060242	-159.3032
50.799999	102.078186	-159.6657
51.500000	102.095581	-159.9344
52.200001	102.113174	-160.2671
53.000000	102.129692	-160.7899
53.799999	102.142952	-161.3936
54.500000	102.155350	-161.9031
55.200001	102.168480	-162.3710
56.000000	102.185318	-162.8654
57.000000	102.227264	-163.4147
58.000000	102.313782	-163.7765
59.000000	102.429459	-163.9474
60.000000	102.501831	-164.3076
60.799999	102.484840	-164.8762
61.500000	102.431763	-165.4717
62.200001	102.379440	-166.0624
63.000000	102.346405	-166.6853
64.000000	102.337868	-167.3586
65.000000	102.340134	-167.9398
66.000000	102.343323	-168.4875
67.000000	102.349220	-169.0116
68.000000	102.355774	-169.5103
69.000000	102.359070	-169.9983
70.000000	102.360603	-170.4903
71.000000	102.362549	-170.9930
72.000000	102.362991	-171.5090
73.000000	102.360107	-172.0257
74.000000	102.356277	-172.5195
75.000000	102.352921	-172.9753
76.199997	102.347183	-173.4599
77.500000	102.339828	-173.9338
78.800003	102.335350	-174.4171
80.000000	102.333878	-174.8717
81.199997	102.331863	-175.3036
82.500000	102.325836	-175.7594
83.800003	102.316376	-176.2337
85.000000	102.306763	-176.6760
86.199997	102.297501	-177.0981
87.500000	102.288872	-177.5334
88.500000	102.283722	-177.8629
90.000000	102.278152	-178.3594
91.199997	102.274117	-178.7585
92.500000	102.268265	-179.1858
93.800003	102.260437	-179.6070
95.000000	102.252396	-179.9972
96.199997	102.244225	179.6082
97.500000	102.234787	179.1801
98.800003	102.224556	178.7581
100.000000	102.214798	178.3768
101.500000	102.201981	177.9114
103.000000	102.188087	177.4526
104.400002	102.174217	177.0284
106.000000	102.156891	176.5539
107.500000	102.139313	176.1176
109.000000	102.121124	175.6822
110.599998	102.101562	175.2183
112.000000	102.085182	174.8173
113.800003	102.066460	174.2910
115.000000	102.057144	173.9072
117.199997	102.051834	173.0680
118.000000	102.052711	172.7298
120.599998	102.031967	171.8853
122.000000	101.996292	171.6988
124.099998	101.937134	171.4806
125.000000	101.915604	171.3489
126.500000	101.884827	171.0787
128.000000	101.857872	170.7684
131.500000	101.799286	169.9907
132.000000	101.790985	169.8787
134.000000	101.757538	169.4349
136.000000	101.723373	169.0020
138.000000	101.688515	168.5832
140.000000	101.652191	168.1730
143.000000	101.595871	167.5623
145.000000	101.559456	167.1648
147.500000	101.515259	166.6850
150.000000	101.469688	166.2190
152.500000	101.422539	165.7597
155.000000	101.376205	165.3038
157.500000	101.332397	164.8431
160.000000	101.292007	164.3765
162.500000	101.249321	163.9304
165.000000	101.196411	163.5380
167.500000	101.137970	163.1787
170.000000	101.081085	162.8227
172.500000	101.026436	162.4585
175.000000	100.972137	162.0905
177.500000	100.917641	161.7315
180.000000	100.863434	161.3848
182.500000	100.808807	161.0449
185.000000	100.752823	160.7125
187.500000	100.695389	160.3881
190.000000	100.636429	160.0699
192.500000	100.576096	159.7605
195.000000	100.514832	159.4652
197.500000	100.452110	159.1910
200.000000	100.386894	158.9443
203.000000	100.305046	158.6949
206.000000	100.221237	158.5123
209.000000	100.140823	158.4107
212.000000	100.070580	158.3884
214.000000	100.032402	158.4027
218.000000	99.979668	158.4218
220.000000	99.962875	158.3900
224.000000	99.936134	158.1901
227.000000	99.912682	157.9208
230.000000	99.880142	157.5725
233.000000	99.835045	157.1655
236.000000	99.778122	156.7270
240.000000	99.699493	156.2169
243.000000	99.650055	155.9700
247.000000	99.588562	155.7350
250.000000	99.538124	155.5526
254.000000	99.465408	155.2859
258.000000	99.389977	155.0118
262.000000	99.314148	154.7482
265.000000	99.257202	154.5613
269.000000	99.181244	154.3220
272.000000	99.124382	154.1456
276.000000	99.048439	153.9137
280.000000	98.971771	153.6876
285.000000	98.874443	153.4146
290.000000	98.773018	153.1523
295.000000	98.664505	152.8984
300.000000	98.558105	152.6643
304.000000	98.484268	152.5103
307.000000	98.433029	152.4114
311.000000	98.363579	152.2893
315.000000	98.290123	152.1734
320.000000	98.193771	152.0373
325.000000	98.095749	151.9105
330.000000	97.999397	151.7971
335.000000	97.904678	151.6975
340.000000	97.809921	151.6073
345.000000	97.714958	151.5255
350.000000	97.621132	151.4574
355.000000	97.528786	151.4112
360.000000	97.435738	151.3958
365.000000	97.340965	151.4142
370.000000	97.247818	151.4518
375.000000	97.159187	151.4934
382.000000	97.041595	151.5455
387.000000	96.960724	151.5751
395.000000	96.833633	151.6075
400.000000	96.753654	151.6172
406.000000	96.656425	151.6231
412.000000	96.557434	151.6332
418.000000	96.456818	151.6624
