* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -7.4 dBFS, measurement signal peak level -7.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 3, 2021 5:48:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.1011 ms (-35 mm, -1.37 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: Final E500
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.927986	-112.5509
20.600000	103.954720	-112.6664
20.900000	104.028725	-112.9544
21.200001	104.117065	-113.3179
21.400000	104.181053	-113.6010
21.799999	104.317169	-114.2773
22.000000	104.387337	-114.6730
22.400000	104.527008	-115.5678
22.700001	104.626038	-116.3012
23.000000	104.716637	-117.0540
23.299999	104.796928	-117.7945
23.600000	104.866592	-118.4967
24.000000	104.944992	-119.3463
24.299999	104.995659	-119.9151
24.700001	105.056870	-120.5939
25.000000	105.101044	-121.0588
25.400000	105.161362	-121.6421
25.799999	105.226501	-122.2074
26.200001	105.298119	-122.7754
26.500000	105.355698	-123.2123
26.900000	105.435219	-123.8146
27.200001	105.494774	-124.2798
27.600000	105.571083	-124.9082
28.000000	105.642113	-125.5330
28.500000	105.723587	-126.2943
29.000000	105.799301	-127.0347
29.500000	105.871109	-127.7636
30.000000	105.940071	-128.4803
30.400000	105.994225	-129.0378
30.700001	106.034912	-129.4456
31.100000	106.089455	-129.9799
31.500000	106.142960	-130.5126
32.000000	106.204048	-131.1807
32.500000	106.255035	-131.8355
33.000000	106.297592	-132.4530
33.500000	106.337433	-133.0385
34.000000	106.377594	-133.6289
34.500000	106.414948	-134.2451
35.000000	106.445557	-134.8514
35.500000	106.472763	-135.3819
36.000000	106.507744	-135.8074
36.500000	106.559998	-136.1707
37.000000	106.628220	-136.5516
37.500000	106.701927	-136.9992
38.200001	106.794891	-137.7125
38.700001	106.849068	-138.2349
39.500000	106.918289	-139.0541
40.000000	106.952744	-139.5662
40.599998	106.986176	-140.1844
41.200001	107.012993	-140.7862
41.799999	107.037186	-141.3389
42.500000	107.068687	-141.9001
43.099998	107.101006	-142.3429
43.700001	107.134003	-142.8076
44.400002	107.165092	-143.4002
45.000000	107.186577	-143.9119
45.500000	107.207321	-144.3141
46.200001	107.247528	-144.8466
46.799999	107.288620	-145.3102
47.500000	107.330399	-145.8994
48.200001	107.353363	-146.5441
48.700001	107.357376	-147.0094
49.400002	107.355553	-147.5885
50.000000	107.360886	-147.9675
50.799999	107.392403	-148.3277
51.500000	107.437943	-148.6024
52.200001	107.485954	-148.9150
53.000000	107.532166	-149.3394
53.799999	107.566223	-149.8009
54.500000	107.588997	-150.1925
55.200001	107.611137	-150.5527
56.000000	107.642029	-150.9278
57.000000	107.686234	-151.3294
58.000000	107.714508	-151.6194
59.000000	107.716255	-151.8575
60.000000	107.717873	-152.3004
60.799999	107.731598	-152.9069
61.500000	107.749313	-153.5098
62.200001	107.769699	-154.0435
63.000000	107.794502	-154.5154
64.000000	107.822540	-154.9876
65.000000	107.844910	-155.4375
66.000000	107.864487	-155.8825
67.000000	107.881493	-156.3152
68.000000	107.894653	-156.7605
69.000000	107.903992	-157.2332
70.000000	107.910774	-157.6982
71.000000	107.917938	-158.1088
72.000000	107.928574	-158.4732
73.000000	107.940933	-158.8364
74.000000	107.951767	-159.2090
75.000000	107.961662	-159.5690
76.199997	107.973724	-159.9623
77.500000	107.985214	-160.3421
78.800003	107.994102	-160.7072
80.000000	108.001282	-161.0604
81.199997	108.009979	-161.4317
82.500000	108.020515	-161.8392
83.800003	108.029335	-162.2350
85.000000	108.034943	-162.5888
86.199997	108.038452	-162.9266
87.500000	108.039803	-163.2731
88.500000	108.039032	-163.5314
90.000000	108.036774	-163.9202
91.199997	108.035294	-164.2336
92.500000	108.035736	-164.5583
93.800003	108.039658	-164.8706
95.000000	108.043961	-165.1645
96.199997	108.046455	-165.4624
97.500000	108.046669	-165.7767
98.800003	108.044815	-166.0753
100.000000	108.042244	-166.3375
101.500000	108.038971	-166.6507
103.000000	108.035637	-166.9535
104.400002	108.032135	-167.2302
106.000000	108.027603	-167.5400
107.500000	108.022537	-167.8260
109.000000	108.017143	-168.1088
