* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -4.8 dBFS, measurement signal peak level -4.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 27, 2021 12:23:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0872 ms (-30 mm, -1.18 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: KBEar KS2
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.165024	-165.2373
20.600000	107.164780	-165.3918
20.900000	107.164909	-165.7693
21.200001	107.167038	-166.2186
21.400000	107.169151	-166.5419
21.799999	107.171646	-167.2216
22.000000	107.171028	-167.5688
22.400000	107.166115	-168.2639
22.700001	107.160904	-168.7827
23.000000	107.155922	-169.3056
23.299999	107.151825	-169.8394
23.600000	107.148727	-170.3842
24.000000	107.146835	-171.1093
24.299999	107.149185	-171.6340
24.700001	107.161377	-172.2978
25.000000	107.178101	-172.7832
25.400000	107.205933	-173.4497
25.799999	107.227478	-174.1638
26.200001	107.229179	-174.9018
26.500000	107.214310	-175.4328
26.900000	107.179276	-176.0672
27.200001	107.149979	-176.4838
27.600000	107.119865	-177.0075
28.000000	107.105965	-177.5698
28.500000	107.102989	-178.4017
29.000000	107.092155	-179.2961
29.500000	107.058929	179.9625
30.000000	107.012802	179.5700
30.400000	106.982864	179.5114
30.700001	106.972023	179.5518
31.100000	106.975433	179.5984
31.500000	106.992126	179.5059
32.000000	107.009453	179.0949
32.500000	107.000961	178.4284
33.000000	106.964798	177.7250
33.500000	106.920242	177.1469
34.000000	106.887650	176.6812
34.500000	106.866104	176.2035
35.000000	106.835495	175.6342
35.500000	106.781219	175.0161
36.000000	106.712021	174.4360
36.500000	106.651733	173.9035
37.000000	106.615608	173.3422
37.500000	106.597443	172.6995
38.200001	106.569977	171.7976
38.700001	106.541504	171.3207
39.500000	106.508301	170.9101
40.000000	106.505363	170.7077
40.599998	106.507431	170.3518
41.200001	106.498795	169.8813
41.799999	106.476913	169.3830
42.500000	106.445290	168.8123
43.099998	106.417282	168.3077
43.700001	106.387581	167.7942
44.400002	106.354584	167.2370
45.000000	106.331947	166.8189
45.500000	106.315224	166.5111
46.200001	106.287750	166.1404
46.799999	106.256721	165.8654
47.500000	106.212830	165.5331
48.200001	106.162697	165.1140
48.700001	106.124840	164.7510
49.400002	106.074013	164.1839
50.000000	106.034622	163.6795
50.799999	105.980682	163.0669
51.500000	105.924599	162.7011
52.200001	105.867790	162.5374
53.000000	105.819626	162.4209
53.799999	105.784744	162.0944
54.500000	105.747978	161.5954
55.200001	105.703743	161.0348
56.000000	105.657257	160.4613
57.000000	105.604767	159.8822
58.000000	105.525879	159.4129
59.000000	105.412430	159.0181
60.000000	105.312469	158.6343
60.799999	105.271744	158.2628
61.500000	105.257072	157.8912
62.200001	105.245377	157.5258
63.000000	105.223717	157.1490
64.000000	105.181328	156.7013
