* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -2.7 dBFS, measurement signal peak level -2.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 27, 2021 9:45:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0576 ms (-20 mm, -0.78 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: KZ ZSN Pro
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	109.001816	-136.5401
20.600000	109.015907	-136.7642
20.900000	109.054184	-137.3025
21.200001	109.097542	-137.9154
21.400000	109.127335	-138.3379
21.799999	109.187363	-139.2012
22.000000	109.217010	-139.6413
22.400000	109.274078	-140.5375
22.700001	109.313095	-141.2160
23.000000	109.347641	-141.8876
23.299999	109.377396	-142.5393
23.600000	109.403038	-143.1597
24.000000	109.433701	-143.9264
24.299999	109.456841	-144.4590
24.700001	109.491135	-145.1312
25.000000	109.520004	-145.6268
25.400000	109.560959	-146.3006
25.799999	109.600395	-146.9997
26.200001	109.634125	-147.7116
26.500000	109.654739	-148.2377
26.900000	109.677490	-148.9103
27.200001	109.692871	-149.3884
27.600000	109.713829	-149.9987
28.000000	109.736412	-150.5952
28.500000	109.765442	-151.3445
29.000000	109.791870	-152.0995
29.500000	109.814209	-152.8430
30.000000	109.833702	-153.5615
30.400000	109.848312	-154.1194
30.700001	109.858841	-154.5303
31.100000	109.872292	-155.0698
31.500000	109.885193	-155.5991
32.000000	109.901413	-156.2456
32.500000	109.918663	-156.8781
33.000000	109.936783	-157.5008
33.500000	109.954597	-158.1115
34.000000	109.971031	-158.7026
34.500000	109.985649	-159.2701
35.000000	109.998001	-159.8178
35.500000	110.007355	-160.3522
36.000000	110.013496	-160.8775
36.500000	110.017532	-161.3964
37.000000	110.021263	-161.9131
37.500000	110.025955	-162.4308
38.200001	110.034424	-163.1520
38.700001	110.041252	-163.6550
39.500000	110.051559	-164.4271
40.000000	110.056244	-164.8912
40.599998	110.059311	-165.4332
41.200001	110.060501	-165.9641
41.799999	110.061172	-166.4909
42.500000	110.062592	-167.1056
43.099998	110.065483	-167.6336
43.700001	110.070625	-168.1658
44.400002	110.077713	-168.7907
45.000000	110.081787	-169.3107
45.500000	110.082642	-169.7160
46.200001	110.080193	-170.2378
46.799999	110.075058	-170.6652
47.500000	110.065971	-171.1704
48.200001	110.056824	-171.6832
48.700001	110.053528	-172.0434
49.400002	110.055573	-172.5317
50.000000	110.060196	-172.9399
50.799999	110.060257	-173.4776
51.500000	110.049690	-173.9435
52.200001	110.032768	-174.4138
53.000000	110.012344	-174.9746
53.799999	109.992111	-175.5430
54.500000	109.974068	-175.9991
55.200001	109.957565	-176.3927
56.000000	109.941505	-176.7970
57.000000	109.920090	-177.3344
58.000000	109.890808	-178.0040
59.000000	109.852310	-178.7702
60.000000	109.816742	-179.4104
60.799999	109.802628	-179.7562
61.500000	109.797531	-179.9988
62.200001	109.790329	179.7538
63.000000	109.775719	179.4375
64.000000	109.755630	179.0022
65.000000	109.740898	178.5676
66.000000	109.727943	178.1620
67.000000	109.710297	177.7595
68.000000	109.687279	177.3369
69.000000	109.661697	176.9037
70.000000	109.634132	176.4831
71.000000	109.606705	176.0899
72.000000	109.583511	175.7153
73.000000	109.564194	175.3484
74.000000	109.545044	174.9825
75.000000	109.523781	174.6041
76.199997	109.497269	174.1271
77.500000	109.469978	173.6038
78.800003	109.441795	173.0977
80.000000	109.413742	172.6434
81.199997	109.383728	172.1985
82.500000	109.347610	171.7367
83.800003	109.307915	171.2952
85.000000	109.271385	170.8994
86.199997	109.237808	170.5173
87.500000	109.203773	170.1151
88.500000	109.176743	169.8074
90.000000	109.133179	169.3503
91.199997	109.097374	168.9976
92.500000	109.058708	168.6320
93.800003	109.020660	168.2774
95.000000	108.986214	167.9512
96.199997	108.951416	167.6235
97.500000	108.912018	167.2713
98.800003	108.870926	166.9301
100.000000	108.832413	166.6283
101.500000	108.784706	166.2632
103.000000	108.738518	165.9029
104.400002	108.696510	165.5715
106.000000	108.648010	165.2007
107.500000	108.601166	164.8598
109.000000	108.553444	164.5301
110.599998	108.502296	164.1958
112.000000	108.457550	163.9145
113.800003	108.401260	163.5594
115.000000	108.366180	163.3227
117.199997	108.308800	162.8664
118.000000	108.288925	162.6941
120.599998	108.210373	162.2112
122.000000	108.156982	162.0199
