* Measurement data measured by REW V5.19
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -8.4 dBFS, measurement signal peak level -7.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  Using an acoustic timing reference
* Dated: Mar 24, 2021 9:50:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.082±0.011 ms (-28 mm, -1.11 in) using estimated IR delay relative to Acoustic reference on  L
* Measurement: Illum (Spiral Dots)
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	70.988976	-141.0671
20.600000	70.998077	-141.1998
20.900000	71.021446	-141.5171
21.200001	71.045670	-141.8978
21.400000	71.059875	-142.1695
21.799999	71.080925	-142.7259
22.000000	71.087669	-143.0033
22.400000	71.095688	-143.5527
22.700001	71.099724	-143.9635
23.000000	71.104355	-144.3806
23.299999	71.111053	-144.8128
23.600000	71.120422	-145.2688
24.000000	71.136459	-145.9236
24.299999	71.149910	-146.4487
24.700001	71.167786	-147.1806
25.000000	71.180397	-147.7361
25.400000	71.196465	-148.4581
25.799999	71.213760	-149.1314
26.200001	71.235283	-149.7410
26.500000	71.255508	-150.1565
26.900000	71.288040	-150.6627
27.200001	71.315811	-151.0121
27.600000	71.355270	-151.4422
28.000000	71.395294	-151.8335
28.500000	71.442963	-152.2736
29.000000	71.483559	-152.6719
29.500000	71.511772	-153.0354
30.000000	71.524292	-153.3547
30.400000	71.524071	-153.5748
30.700001	71.519333	-153.7271
31.100000	71.507828	-153.9333
31.500000	71.489365	-154.1651
32.000000	71.453804	-154.5002
32.500000	71.406067	-154.8711
33.000000	71.355194	-155.2962
33.500000	71.305527	-155.8585
34.000000	71.242645	-156.6150
34.500000	71.142723	-157.4456
35.000000	71.003159	-158.0274
35.500000	70.865997	-158.0732
36.000000	70.806221	-157.6249
36.500000	70.873367	-157.0898
37.000000	71.042572	-156.9741
37.500000	71.237167	-157.5261
38.200001	71.431580	-159.0654
38.700001	71.494598	-160.1956
39.500000	71.532852	-161.3966
40.000000	71.559196	-161.7854
40.599998	71.605957	-162.0788
41.200001	71.658363	-162.3154
41.799999	71.704590	-162.5468
42.500000	71.742943	-162.8295
43.099998	71.759987	-163.0902
43.700001	71.762749	-163.3626
44.400002	71.753136	-163.6834
45.000000	71.739960	-163.9650
45.500000	71.728035	-164.2128
46.200001	71.710533	-164.5777
46.799999	71.695297	-164.8830
47.500000	71.681137	-165.1931
48.200001	71.676880	-165.4433
48.700001	71.681664	-165.5988
49.400002	71.697227	-165.8130
50.000000	71.714325	-166.0101
50.799999	71.734543	-166.2981
