* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -11.9 dBFS, measurement signal peak level -10.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 27, 2021 10:00:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0426 ms (-15 mm, -0.57 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: Moondrop SSR (Final E)
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.275032	-111.0309
20.600000	94.298477	-111.3826
20.900000	94.355019	-112.1856
21.200001	94.400177	-112.9527
21.400000	94.421104	-113.3475
21.799999	94.462669	-113.8028
22.000000	94.494217	-113.8963
22.400000	94.591202	-113.9913
22.700001	94.688629	-114.1658
23.000000	94.790421	-114.5248
23.299999	94.879700	-115.0670
23.600000	94.946320	-115.7137
24.000000	95.003761	-116.5346
24.299999	95.040955	-117.0110
24.700001	95.114227	-117.4379
25.000000	95.200394	-117.6900
25.400000	95.353928	-118.1076
25.799999	95.522545	-118.7639
26.200001	95.668434	-119.6617
26.500000	95.747566	-120.4137
26.900000	95.809608	-121.3682
27.200001	95.830452	-121.9628
27.600000	95.844063	-122.5374
28.000000	95.863434	-122.8917
28.500000	95.918839	-123.1835
29.000000	96.008957	-123.5289
29.500000	96.114517	-124.0552
30.000000	96.214424	-124.7611
30.400000	96.283890	-125.4065
30.700001	96.329544	-125.9074
31.100000	96.382782	-126.5652
31.500000	96.428490	-127.1757
32.000000	96.477684	-127.8182
32.500000	96.524063	-128.2945
33.000000	96.577499	-128.6560
33.500000	96.643982	-129.0487
34.000000	96.717155	-129.6524
34.500000	96.780457	-130.5437
35.000000	96.819313	-131.6113
35.500000	96.835396	-132.6166
36.000000	96.849220	-133.3454
36.500000	96.884949	-133.7463
37.000000	96.951241	-133.9415
37.500000	97.037430	-134.1035
38.200001	97.161484	-134.4582
38.700001	97.244682	-134.8315
39.500000	97.369591	-135.6353
40.000000	97.433029	-136.2319
40.599998	97.481583	-136.9183
41.200001	97.508598	-137.4662
41.799999	97.537628	-137.9131
42.500000	97.591873	-138.4676
43.099998	97.651573	-138.9780
43.700001	97.718010	-139.4052
44.400002	97.796997	-139.7534
45.000000	97.847229	-140.0189
45.500000	97.863556	-140.2694
46.200001	97.855087	-140.6658
46.799999	97.851456	-141.0745
47.500000	97.884933	-141.7515
48.200001	97.947144	-142.6864
48.700001	97.988258	-143.4155
49.400002	98.026535	-144.3059
50.000000	98.050591	-144.8529
50.799999	98.097359	-145.3468
51.500000	98.160629	-145.7263
52.200001	98.228676	-146.1580
53.000000	98.281219	-146.7126
53.799999	98.294586	-147.2681
54.500000	98.296555	-147.7275
55.200001	98.319992	-148.1894
56.000000	98.377899	-148.7398
57.000000	98.438995	-149.3838
58.000000	98.417809	-150.0613
59.000000	98.316422	-150.9111
60.000000	98.257668	-151.5953
60.799999	98.320686	-151.8980
61.500000	98.427505	-152.0977
62.200001	98.528381	-152.3096
63.000000	98.606491	-152.6008
64.000000	98.664322	-153.0952
65.000000	98.707146	-153.7057
66.000000	98.739311	-154.3064
67.000000	98.757538	-154.8510
68.000000	98.773315	-155.3538
69.000000	98.800117	-155.8165
70.000000	98.832458	-156.2262
71.000000	98.856148	-156.5839
72.000000	98.868103	-156.9272
73.000000	98.877907	-157.3023
74.000000	98.896561	-157.7317
75.000000	98.925095	-158.2167
76.199997	98.958557	-158.8522
77.500000	98.976936	-159.5501
78.800003	98.977676	-160.2177
80.000000	98.973503	-160.8038
81.199997	98.974701	-161.3271
82.500000	98.985710	-161.7899
83.800003	99.000862	-162.1884
85.000000	99.014198	-162.5600
86.199997	99.026573	-162.9542
87.500000	99.037323	-163.3931
88.500000	99.042938	-163.7285
90.000000	99.049255	-164.2326
91.199997	99.053970	-164.6462
92.500000	99.058571	-165.0958
93.800003	99.062828	-165.5300
95.000000	99.067093	-165.9173
96.199997	99.071022	-166.3027
97.500000	99.073456	-166.7236
98.800003	99.073715	-167.1442
100.000000	99.073029	-167.5236
101.500000	99.072891	-167.9793
103.000000	99.074303	-168.4241
104.400002	99.075027	-168.8293
106.000000	99.072464	-169.2599
107.500000	99.067482	-169.6259
109.000000	99.062477	-169.9811
110.599998	99.057167	-170.3852
112.000000	99.052391	-170.7667
113.800003	99.047615	-171.2883
115.000000	99.046776	-171.6706
117.199997	99.051025	-172.5201
118.000000	99.053497	-172.8674
120.599998	99.044495	-173.6996
122.000000	99.023911	-173.8301
124.099998	98.989777	-173.9439
125.000000	98.977478	-174.0369
126.500000	98.960289	-174.2567
128.000000	98.945839	-174.5298
131.500000	98.914314	-175.2181
132.000000	98.909790	-175.3156
134.000000	98.891609	-175.7002
136.000000	98.872200	-176.0761
138.000000	98.850891	-176.4399
140.000000	98.827652	-176.7903
143.000000	98.788918	-177.3008
145.000000	98.762527	-177.6444
147.500000	98.732239	-178.0696
150.000000	98.703484	-178.4666
152.500000	98.673836	-178.8382
155.000000	98.642548	-179.2121
157.500000	98.607788	-179.6030
160.000000	98.567169	-179.9936
162.500000	98.521286	179.6647
165.000000	98.475174	179.4228
167.500000	98.432549	179.2501
170.000000	98.393616	179.1056
172.500000	98.359024	178.9810
175.000000	98.330269	178.8690
177.500000	98.308762	178.7605
180.000000	98.293221	178.6441
182.500000	98.280876	178.5021
185.000000	98.270447	178.3176
187.500000	98.260254	178.0889
190.000000	98.248329	177.8311
192.500000	98.233643	177.5596
195.000000	98.215263	177.2804
197.500000	98.192421	177.0011
200.000000	98.165222	176.7328
203.000000	98.128494	176.4263
206.000000	98.089401	176.1277
209.000000	98.049026	175.8372
212.000000	98.007339	175.5613
214.000000	97.978821	175.3878
218.000000	97.920578	175.0683
220.000000	97.890701	174.9218
224.000000	97.829056	174.6490
227.000000	97.780983	174.4534
230.000000	97.731239	174.2580
233.000000	97.679680	174.0594
236.000000	97.626923	173.8627
240.000000	97.562065	173.6786
243.000000	97.523788	173.6466
247.000000	97.481422	173.6430
250.000000	97.449837	173.5995
254.000000	97.405632	173.4883
258.000000	97.359863	173.3477
262.000000	97.312675	173.2050
265.000000	97.275574	173.1098
269.000000	97.223602	172.9951
272.000000	97.184067	172.9142
276.000000	97.131523	172.8175
280.000000	97.078751	172.7323
285.000000	97.012665	172.6387
290.000000	96.948631	172.5681
295.000000	96.889435	172.5228
300.000000	96.827438	172.4826
304.000000	96.768700	172.4345
307.000000	96.722237	172.3968
311.000000	96.662735	172.3613
315.000000	96.607727	172.3465
320.000000	96.543915	172.3490
325.000000	96.482605	172.3646
330.000000	96.420578	172.3898
335.000000	96.356857	172.4275
340.000000	96.292526	172.4747
345.000000	96.229095	172.5264
350.000000	96.167580	172.5783
355.000000	96.107109	172.6289
360.000000	96.046364	172.6953
365.000000	95.985107	172.7955
370.000000	95.924332	172.9192
375.000000	95.864670	173.0493
382.000000	95.782845	173.2322
387.000000	95.725113	173.3639
395.000000	95.632431	173.5784
400.000000	95.574928	173.7244
406.000000	95.507782	173.9242
412.000000	95.442535	174.1475
418.000000	95.377998	174.3785
425.000000	95.302818	174.6360
431.000000	95.239052	174.8542
437.000000	95.175911	175.0868
444.000000	95.102753	175.3776
450.000000	95.041397	175.6407
455.000000	94.991974	175.8710
462.000000	94.925385	176.2098
468.000000	94.869888	176.5099
475.000000	94.806335	176.8617
482.000000	94.742989	177.2053
487.000000	94.697365	177.4459
494.000000	94.634125	177.7876
500.000000	94.581375	178.0908
508.000000	94.513168	178.5101
515.000000	94.455185	178.8901
522.000000	94.398224	179.2794
530.000000	94.333305	179.7263
538.000000	94.268250	-179.8321
545.000000	94.212173	-179.4372
552.000000	94.157333	-179.0271
560.000000	94.096817	-178.5425
570.000000	94.025177	-177.9101
580.000000	93.956604	-177.2550
590.000000	93.890091	-176.5891
600.000000	93.823990	-175.9210
608.000000	93.770653	-175.3871
615.000000	93.724503	-174.9140
622.000000	93.679688	-174.4314
630.000000	93.630714	-173.8679
640.000000	93.572426	-173.1450
650.000000	93.516174	-172.4055
660.000000	93.462784	-171.6638
670.000000	93.412865	-170.9321
680.000000	93.365227	-170.1973
690.000000	93.318771	-169.4451
700.000000	93.273148	-168.6697
710.000000	93.229729	-167.8748
720.000000	93.190018	-167.0702
730.000000	93.154015	-166.2608
740.000000	93.120636	-165.4415
750.000000	93.089622	-164.6103
762.000000	93.056274	-163.6017
775.000000	93.024734	-162.4985
788.000000	92.997894	-161.3939
800.000000	92.978073	-160.3766
812.000000	92.962875	-159.3514
825.000000	92.951019	-158.2279
838.000000	92.944252	-157.0892
850.000000	92.943748	-156.0174
862.000000	92.949318	-154.9326
875.000000	92.961624	-153.7482
885.000000	92.974823	-152.8320
900.000000	93.000572	-151.4760
912.000000	93.027374	-150.4272
925.000000	93.063225	-149.3083
938.000000	93.105774	-148.1892
950.000000	93.150436	-147.1595
962.000000	93.199944	-146.1432
975.000000	93.259247	-145.0678
988.000000	93.325043	-144.0190
1000.000000	93.391533	-143.0731
1015.000000	93.480606	-141.9244
1030.000000	93.573875	-140.8162
1044.000000	93.664230	-139.8185
1060.000000	93.772430	-138.7247
1075.000000	93.879570	-137.7535
1090.000000	93.991859	-136.8442
1106.000000	94.114609	-135.9408
1120.000000	94.222275	-135.2026
1138.000000	94.360466	-134.3183
1150.000000	94.452904	-133.7653
1172.000000	94.621605	-132.8354
1180.000000	94.681961	-132.5251
1206.000000	94.872429	-131.5906
1220.000000	94.970848	-131.1221
1241.000000	95.112534	-130.4703
1250.000000	95.170906	-130.2080
1265.000000	95.264771	-129.7838
1280.000000	95.354225	-129.3698
1315.000000	95.547379	-128.4611
1320.000000	95.573303	-128.3376
1340.000000	95.672852	-127.8506
1360.000000	95.766434	-127.3640
1380.000000	95.856003	-126.8734
1400.000000	95.943283	-126.3802
1430.000000	96.069321	-125.6320
1450.000000	96.150986	-125.1270
1475.000000	96.251427	-124.4899
1500.000000	96.348587	-123.8448
1525.000000	96.442047	-123.1847
1550.000000	96.533638	-122.5124
1575.000000	96.625168	-121.8286
1600.000000	96.716797	-121.1326
1625.000000	96.808533	-120.4221
1650.000000	96.901245	-119.6943
1675.000000	96.995636	-118.9540
1700.000000	97.091904	-118.2068
1725.000000	97.190201	-117.4543
1750.000000	97.290413	-116.6954
1775.000000	97.392693	-115.9324
1800.000000	97.497444	-115.1718
1825.000000	97.604507	-114.4188
1850.000000	97.714279	-113.6694
1875.000000	97.827286	-112.9183
1900.000000	97.943253	-112.1682
1925.000000	98.061981	-111.4244
1950.000000	98.184006	-110.6894
1975.000000	98.309753	-109.9651
2000.000000	98.438995	-109.2523
2030.000000	98.597916	-108.4127
2060.000000	98.760506	-107.5923
2090.000000	98.927094	-106.7933
2120.000000	99.098167	-106.0156
2140.000000	99.214783	-105.5098
2180.000000	99.454086	-104.5331
2200.000000	99.576538	-104.0642
2240.000000	99.826630	-103.1691
2270.000000	100.018951	-102.5386
2300.000000	100.215439	-101.9459
2330.000000	100.415726	-101.3917
2360.000000	100.619339	-100.8771
2400.000000	100.895187	-100.2576
2430.000000	101.104973	-99.8460
2470.000000	101.388504	-99.3705
2500.000000	101.603653	-99.0710
2540.000000	101.892487	-98.7509
2580.000000	102.182457	-98.5237
2620.000000	102.472885	-98.3881
2650.000000	102.690437	-98.3451
2690.000000	102.979698	-98.3619
2720.000000	103.196480	-98.4264
2760.000000	103.487030	-98.5798
2800.000000	103.781693	-98.8216
2850.000000	104.157059	-99.3003
2900.000000	104.532745	-100.0591
2950.000000	104.890228	-101.1504
3000.000000	105.209625	-102.5300
3040.000000	105.430748	-103.7599
3070.000000	105.577148	-104.7117
3110.000000	105.750565	-105.9806
3150.000000	105.904953	-107.2279
3200.000000	106.079086	-108.7629
3250.000000	106.235687	-110.3106
3300.000000	106.371002	-111.9068
3350.000000	106.477684	-113.5453
3400.000000	106.550835	-115.1757
3450.000000	106.591606	-116.7286
3500.000000	106.606995	-118.1479
3550.000000	106.606956	-119.4121
3600.000000	106.600800	-120.5366
3650.000000	106.594360	-121.5627
3700.000000	106.588860	-122.5356
3750.000000	106.581848	-123.4865
3820.000000	106.562836	-124.7978
3870.000000	106.539467	-125.7121
3950.000000	106.482933	-127.1041
4000.000000	106.436340	-127.9139
4060.000000	106.370819	-128.8137
4120.000000	106.296661	-129.6317
4180.000000	106.215248	-130.3691
4250.000000	106.111954	-131.1267
4310.000000	106.016922	-131.6786
4370.000000	105.917633	-132.1255
4440.000000	105.801308	-132.4999
4500.000000	105.707199	-132.6996
4550.000000	105.636505	-132.7976
4620.000000	105.552521	-132.8712
4680.000000	105.494461	-132.9142
4750.000000	105.439934	-132.9790
4820.000000	105.395020	-133.0822
4870.000000	105.366333	-133.1845
4940.000000	105.328209	-133.3679
5000.000000	105.295639	-133.5593
5080.000000	105.250389	-133.8566
5150.000000	105.207611	-134.1498
5220.000000	105.160599	-134.4686
5300.000000	105.100433	-134.8565
5380.000000	105.032433	-135.2582
5450.000000	104.966156	-135.6114
5520.000000	104.893623	-135.9579
5600.000000	104.803513	-136.3363
5700.000000	104.681175	-136.7678
5800.000000	104.549698	-137.1364
5900.000000	104.411575	-137.4283
6000.000000	104.270096	-137.6317
6080.000000	104.157173	-137.7248
6150.000000	104.060440	-137.7552
6220.000000	103.967300	-137.7401
6300.000000	103.867416	-137.6722
6400.000000	103.755959	-137.5239
6500.000000	103.663071	-137.3263
6600.000000	103.592072	-137.1044
6700.000000	103.545929	-136.8828
6800.000000	103.527611	-136.6906
6900.000000	103.540085	-136.5620
7000.000000	103.586304	-136.5395
7100.000000	103.668861	-136.6821
7200.000000	103.787994	-137.0677
7300.000000	103.939316	-137.7827
7400.000000	104.113991	-138.9061
7500.000000	104.300270	-140.5068
7620.000000	104.518463	-143.1403
7750.000000	104.713165	-146.9396
7880.000000	104.818665	-151.7065
8000.000000	104.797302	-156.8239
8120.000000	104.634590	-162.3775
8250.000000	104.285675	-168.5286
8380.000000	103.761543	-174.4514
8500.000000	103.136795	-179.4456
8620.000000	102.396149	176.2115
8750.000000	101.490959	172.4004
8850.000000	100.744278	170.1546
9000.000000	99.584641	167.8851
9120.000000	98.655823	166.9294
9250.000000	97.676849	166.6210
9380.000000	96.744629	166.9269
9500.000000	95.935112	167.6409
