* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -9.9 dBFS, measurement signal peak level -5.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 31, 2021 11:24:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.2580 ms (-88 mm, -3.48 in) using estimated IR delay relative to Acoustic reference on Galaxy Buds+ (FEC8) L with no timing offset
* Measurement: Galaxy Buds Plus
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	109.575073	42.8694
20.600000	109.603439	42.6852
20.900000	109.681816	42.2346
21.200001	109.774269	41.6928
21.400000	109.838928	41.2914
21.799999	109.963341	40.3867
22.000000	110.017914	39.8855
22.400000	110.103806	38.8127
22.700001	110.144569	37.9906
23.000000	110.167480	37.1914
23.299999	110.178375	36.4352
23.600000	110.184669	35.7222
24.000000	110.197159	34.8078
24.299999	110.213860	34.1207
24.700001	110.246307	33.1820
25.000000	110.276077	32.4716
25.400000	110.320236	31.5519
25.799999	110.368317	30.7033
26.200001	110.419464	29.9343
26.500000	110.457993	29.3953
26.900000	110.504654	28.6995
27.200001	110.532715	28.1833
27.600000	110.558434	27.5004
28.000000	110.572792	26.8271
28.500000	110.583870	25.9880
29.000000	110.598099	25.1094
29.500000	110.618851	24.1604
30.000000	110.643745	23.1615
30.400000	110.665268	22.3617
30.700001	110.682220	21.7777
31.100000	110.705536	21.0290
31.500000	110.728394	20.3163
32.000000	110.753716	19.4735
32.500000	110.774124	18.6767
33.000000	110.790230	17.9025
33.500000	110.802002	17.1209
34.000000	110.807732	16.3236
34.500000	110.807671	15.5353
35.000000	110.806442	14.7865
35.500000	110.809021	14.0788
36.000000	110.815109	13.3934
36.500000	110.819824	12.7287
37.000000	110.820961	12.1098
37.500000	110.822990	11.5471
38.200001	110.838104	10.7614
38.700001	110.854309	10.1046
39.500000	110.862015	8.8590
40.000000	110.847176	8.0628
40.599998	110.817307	7.2027
41.200001	110.787338	6.4581
41.799999	110.763168	5.7764
42.500000	110.739227	4.9941
43.099998	110.718872	4.3143
43.700001	110.698250	3.6266
44.400002	110.674362	2.8250
45.000000	110.653206	2.1554
45.500000	110.634125	1.6219
46.200001	110.604546	0.9166
46.799999	110.576927	0.3369
47.500000	110.543076	-0.3342
48.200001	110.508675	-1.0024
48.700001	110.484482	-1.4672
49.400002	110.450890	-2.0912
50.000000	110.419762	-2.6122
50.799999	110.368752	-3.3092
51.500000	110.314590	-3.9061
52.200001	110.259895	-4.4441
53.000000	110.209702	-4.9529
53.799999	110.175026	-5.3827
54.500000	110.150513	-5.7568
55.200001	110.126389	-6.1774
56.000000	110.098557	-6.7239
57.000000	110.063309	-7.4384
58.000000	110.014351	-8.1555
59.000000	109.932968	-8.9181
60.000000	109.839569	-9.7231
60.799999	109.781792	-10.3908
61.500000	109.743301	-10.9650
62.200001	109.706902	-11.4883
63.000000	109.660706	-12.0109
