* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -9.0 dBFS, measurement signal peak level -8.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 27, 2021 12:32:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.2673 ms (-92 mm, -3.61 in) using estimated IR delay relative to Acoustic reference on MOMENTUM TW 2 L with no timing offset
* Measurement: Sennheiser MTW2 (HE)
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.507332	-117.2081
20.600000	104.536842	-117.3816
20.900000	104.616158	-117.8113
21.200001	104.703407	-118.3416
21.400000	104.760239	-118.7383
21.799999	104.864273	-119.6069
22.000000	104.910873	-120.0626
22.400000	104.997070	-120.9795
22.700001	105.061546	-121.6448
23.000000	105.130478	-122.2865
23.299999	105.205276	-122.9141
23.600000	105.283745	-123.5409
24.000000	105.384933	-124.3834
24.299999	105.451378	-125.0057
24.700001	105.522308	-125.7861
25.000000	105.564270	-126.3167
25.400000	105.613152	-126.9557
25.799999	105.664902	-127.5611
26.200001	105.727364	-128.1910
26.500000	105.782707	-128.7004
26.900000	105.866844	-129.4279
27.200001	105.936378	-129.9998
27.600000	106.034813	-130.7853
28.000000	106.135231	-131.6002
28.500000	106.253006	-132.6808
29.000000	106.349548	-133.8235
29.500000	106.420425	-134.9485
30.000000	106.474609	-135.9095
30.400000	106.516754	-136.4764
30.700001	106.552803	-136.7655
31.100000	106.609550	-136.9876
31.500000	106.674118	-137.0881
32.000000	106.755058	-137.1971
32.500000	106.822021	-137.4620
33.000000	106.867317	-138.0043
33.500000	106.896950	-138.8349
34.000000	106.927635	-139.8600
34.500000	106.975952	-140.9337
35.000000	107.049072	-141.9143
35.500000	107.140381	-142.7328
36.000000	107.229416	-143.4159
36.500000	107.289490	-144.0367
37.000000	107.300209	-144.6360
37.500000	107.260025	-145.1927
38.200001	107.164780	-145.8512
38.700001	107.115570	-146.3018
39.500000	107.113831	-147.2663
40.000000	107.145111	-148.0600
40.599998	107.189995	-149.0624
41.200001	107.236252	-149.9626
41.799999	107.285370	-150.7209
42.500000	107.340454	-151.4946
43.099998	107.376534	-152.1117
43.700001	107.399956	-152.7080
44.400002	107.415588	-153.4115
45.000000	107.423050	-154.0332
45.500000	107.428566	-154.5488
46.200001	107.441727	-155.2427
46.799999	107.461037	-155.8185
47.500000	107.490555	-156.4966
48.200001	107.525330	-157.1988
48.700001	107.553879	-157.7188
49.400002	107.595245	-158.4625
50.000000	107.621674	-159.0716
50.799999	107.625404	-159.7349
51.500000	107.596451	-160.1297
52.200001	107.555046	-160.4294
53.000000	107.524261	-160.8589
53.799999	107.524956	-161.5321
54.500000	107.538795	-162.2629
55.200001	107.552544	-162.9742
56.000000	107.570480	-163.6556
57.000000	107.606689	-164.3455
58.000000	107.641113	-164.8386
59.000000	107.658401	-165.0846
60.000000	107.667488	-165.4858
60.799999	107.664604	-166.1959
61.500000	107.653015	-167.0021
62.200001	107.640327	-167.7939
63.000000	107.630928	-168.5619
64.000000	107.622253	-169.3390
65.000000	107.612381	-170.0194
66.000000	107.604279	-170.6700
67.000000	107.595924	-171.3073
68.000000	107.584511	-171.9358
69.000000	107.571709	-172.5532
70.000000	107.556984	-173.1442
71.000000	107.537704	-173.6953
72.000000	107.516800	-174.2172
73.000000	107.498886	-174.7358
74.000000	107.482819	-175.2667
75.000000	107.463989	-175.8075
76.199997	107.435394	-176.4369
77.500000	107.399498	-177.0457
78.800003	107.359512	-177.6010
80.000000	107.319252	-178.1429
81.199997	107.276428	-178.7463
82.500000	107.229828	-179.4234
83.800003	107.187370	179.9374
85.000000	107.147736	179.4092
86.199997	107.098999	178.9411
87.500000	107.036591	178.4612
88.500000	106.987984	178.0746
90.000000	106.919495	177.4808
91.199997	106.868439	177.0692
92.500000	106.818207	176.7240
93.800003	106.775146	176.4487
95.000000	106.743217	176.2278
96.199997	106.719574	176.0195
97.500000	106.702118	175.7831
98.800003	106.690369	175.5194
100.000000	106.679825	175.2438
101.500000	106.657753	174.8454
103.000000	106.619209	174.3728
104.400002	106.569420	173.8409
106.000000	106.502541	173.1248
107.500000	106.437317	172.4261
109.000000	106.374161	171.7918
110.599998	106.307388	171.2202
112.000000	106.245232	170.7894
113.800003	106.157883	170.2837
115.000000	106.095779	169.9739
117.199997	105.971313	169.5163
118.000000	105.921837	169.3798
120.599998	105.759445	168.8408
122.000000	105.675568	168.4605
124.099998	105.542625	167.9219
125.000000	105.481262	167.7204
126.500000	105.374519	167.4261
128.000000	105.262756	167.1977
131.500000	104.977982	167.0032
132.000000	104.935219	167.0241
134.000000	104.764847	167.2697
136.000000	104.609436	167.7979
138.000000	104.494812	168.5770
140.000000	104.447380	169.4528
143.000000	104.505363	170.3912
145.000000	104.576302	170.4798
147.500000	104.623734	169.9822
150.000000	104.595055	169.1230
152.500000	104.504204	168.2677
155.000000	104.376434	167.6122
157.500000	104.228813	167.1909
160.000000	104.071457	166.9500
162.500000	103.911293	166.8290
165.000000	103.751846	166.8043
167.500000	103.592262	166.8802
170.000000	103.432777	167.0616
172.500000	103.275024	167.3404
175.000000	103.121788	167.7098
177.500000	102.975616	168.1615
180.000000	102.836853	168.6761
182.500000	102.704926	169.2397
185.000000	102.580727	169.8589
187.500000	102.465706	170.5344
190.000000	102.360367	171.2522
192.500000	102.264534	171.9980
195.000000	102.178268	172.7665
197.500000	102.102051	173.5607
200.000000	102.036430	174.3770
203.000000	101.972038	175.3655
206.000000	101.922348	176.3420
209.000000	101.885094	177.2916
212.000000	101.858589	178.2035
214.000000	101.846436	178.7880
218.000000	101.833939	179.8973
220.000000	101.832817	-179.5787
224.000000	101.838799	-178.5934
227.000000	101.847977	-177.9130
230.000000	101.857910	-177.2833
233.000000	101.865967	-176.7035
236.000000	101.871490	-176.1714
240.000000	101.883110	-175.5015
243.000000	101.901718	-174.9983
247.000000	101.932381	-174.3466
250.000000	101.953690	-173.8940
254.000000	101.978958	-173.3348
258.000000	102.002281	-172.8045
262.000000	102.026169	-172.2838
265.000000	102.046425	-171.9008
269.000000	102.077682	-171.4255
272.000000	102.103500	-171.1153
276.000000	102.138550	-170.7794
280.000000	102.169312	-170.5316
285.000000	102.194336	-170.3119
290.000000	102.202644	-170.1371
295.000000	102.197166	-169.9680
300.000000	102.183472	-169.7617
304.000000	102.170517	-169.5498
307.000000	102.159805	-169.3743
311.000000	102.143417	-169.1349
315.000000	102.124634	-168.8936
320.000000	102.098610	-168.5838
325.000000	102.070580	-168.2610
330.000000	102.041313	-167.9275
335.000000	102.011192	-167.5862
340.000000	101.980011	-167.2390
345.000000	101.947189	-166.8845
350.000000	101.912643	-166.5179
355.000000	101.877281	-166.1366
360.000000	101.842102	-165.7436
365.000000	101.807541	-165.3458
370.000000	101.773468	-164.9449
375.000000	101.739738	-164.5396
382.000000	101.692108	-163.9613
387.000000	101.657219	-163.5372
395.000000	101.600494	-162.8384
400.000000	101.564651	-162.3918
406.000000	101.521431	-161.8462
412.000000	101.478088	-161.2834
418.000000	101.435059	-160.7038
425.000000	101.385979	-160.0204
431.000000	101.344559	-159.4308
437.000000	101.303474	-158.8349
444.000000	101.256035	-158.1311
450.000000	101.215683	-157.5214
455.000000	101.182335	-157.0082
462.000000	101.136574	-156.2829
468.000000	101.098373	-155.6587
475.000000	101.054482	-154.9265
482.000000	101.010193	-154.1790
487.000000	100.978134	-153.6333
494.000000	100.933800	-152.8596
500.000000	100.897148	-152.1914
508.000000	100.850304	-151.2938
515.000000	100.810608	-150.5033
522.000000	100.771828	-149.7084
530.000000	100.728981	-148.7931
538.000000	100.687637	-147.8699
545.000000	100.651543	-147.0586
552.000000	100.615395	-146.2439
560.000000	100.575134	-145.3052
570.000000	100.526711	-144.1191
580.000000	100.479813	-142.9181
590.000000	100.435074	-141.7019
600.000000	100.393044	-140.4760
608.000000	100.361404	-139.4923
615.000000	100.334641	-138.6276
622.000000	100.308243	-137.7563
630.000000	100.278542	-136.7517
640.000000	100.242973	-135.4843
650.000000	100.209946	-134.2068
660.000000	100.179565	-132.9250
670.000000	100.151535	-131.6439
680.000000	100.125420	-130.3587
690.000000	100.101128	-129.0644
700.000000	100.078819	-127.7606
710.000000	100.058754	-126.4504
720.000000	100.041061	-125.1358
730.000000	100.025833	-123.8161
740.000000	100.013046	-122.4895
750.000000	100.002518	-121.1571
762.000000	99.992653	-119.5554
775.000000	99.986176	-117.8181
788.000000	99.985718	-116.0746
800.000000	99.990082	-114.4602
812.000000	99.998474	-112.8456
825.000000	100.012558	-111.0993
838.000000	100.031250	-109.3595
850.000000	100.052307	-107.7595
862.000000	100.077873	-106.1645
875.000000	100.111877	-104.4463
885.000000	100.142632	-103.1358
900.000000	100.194443	-101.1949
912.000000	100.239014	-99.6696
925.000000	100.290375	-98.0530
938.000000	100.345528	-96.4807
950.000000	100.399887	-95.0705
962.000000	100.457207	-93.7013
975.000000	100.520882	-92.2691
988.000000	100.583099	-90.8977
1000.000000	100.636543	-89.6892
1015.000000	100.694046	-88.2494
1030.000000	100.736237	-86.8615
1044.000000	100.757774	-85.5653
1060.000000	100.761612	-84.0079
1075.000000	100.753563	-82.4139
1090.000000	100.748123	-80.6660
1106.000000	100.758080	-78.6588
1120.000000	100.785362	-76.8367
1138.000000	100.846298	-74.4909
1150.000000	100.900436	-72.9606
1172.000000	101.018509	-70.2666
1180.000000	101.065498	-69.3269
1206.000000	101.225967	-66.4228
1220.000000	101.314240	-64.9491
1241.000000	101.445816	-62.8420
1250.000000	101.501099	-61.9719
1265.000000	101.590553	-60.5566
1280.000000	101.675705	-59.1779
1315.000000	101.855530	-56.0805
1320.000000	101.879158	-55.6491
1340.000000	101.968903	-53.9417
1360.000000	102.051399	-52.2495
1380.000000	102.127304	-50.5574
1400.000000	102.198265	-48.8574
