* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -11.5 dBFS, measurement signal peak level -6.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 27, 2021 10:55:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0293 ms (-10 mm, -0.4 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: Shuoer Singer
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	110.367310	20.2085
20.600000	110.369629	19.9964
20.900000	110.376213	19.4784
21.200001	110.384514	18.8628
21.400000	110.390396	18.4201
21.799999	110.400925	17.4889
22.000000	110.404877	17.0144
22.400000	110.409958	16.0783
22.700001	110.412140	15.4151
23.000000	110.414070	14.7974
23.299999	110.416397	14.2235
23.600000	110.418945	13.6815
24.000000	110.420692	12.9770
24.299999	110.418732	12.4397
24.700001	110.409393	11.6887
25.000000	110.396904	11.0949
25.400000	110.374374	10.2705
25.799999	110.348946	9.4344
26.200001	110.325974	8.6232
26.500000	110.313370	8.0515
26.900000	110.305183	7.3531
27.200001	110.305740	6.8772
27.600000	110.312813	6.2890
28.000000	110.321785	5.7247
28.500000	110.325195	5.0085
29.000000	110.311592	4.2590
29.500000	110.282463	3.4908
30.000000	110.249313	2.7305
30.400000	110.228027	2.1349
30.700001	110.217308	1.6946
31.100000	110.209351	1.1141
31.500000	110.205200	0.5433
32.000000	110.198997	-0.1526
32.500000	110.186951	-0.8348
33.000000	110.167313	-1.5246
33.500000	110.140976	-2.2338
34.000000	110.111923	-2.9454
34.500000	110.086655	-3.6319
35.000000	110.069756	-4.2898
35.500000	110.057587	-4.9409
36.000000	110.038475	-5.5915
36.500000	110.002571	-6.2043
37.000000	109.951500	-6.7264
37.500000	109.897354	-7.1471
38.200001	109.837677	-7.6686
38.700001	109.807999	-8.0771
39.500000	109.765778	-8.8248
40.000000	109.736511	-9.3178
40.599998	109.698051	-9.9158
41.200001	109.656914	-10.5120
41.799999	109.615540	-11.0837
42.500000	109.572441	-11.7084
43.099998	109.539658	-12.2403
43.700001	109.503258	-12.7927
44.400002	109.450569	-13.4196
45.000000	109.404106	-13.8913
45.500000	109.372063	-14.2431
46.200001	109.337173	-14.7289
46.799999	109.305420	-15.1693
47.500000	109.255310	-15.6912
48.200001	109.195381	-16.2054
48.700001	109.151733	-16.5780
49.400002	109.091682	-17.1005
50.000000	109.041458	-17.5172
50.799999	108.979065	-18.0211
51.500000	108.928741	-18.4720
52.200001	108.879227	-18.9583
53.000000	108.823891	-19.4930
53.799999	108.771988	-19.9269
54.500000	108.726738	-20.2205
55.200001	108.678955	-20.4736
56.000000	108.623489	-20.7496
57.000000	108.562195	-21.0334
58.000000	108.512466	-21.1937
59.000000	108.468063	-21.3902
60.000000	108.427094	-21.9338
60.799999	108.389290	-22.6446
61.500000	108.345947	-23.2988
62.200001	108.294319	-23.8470
63.000000	108.232224	-24.3340
64.000000	108.160126	-24.8908
65.000000	108.101395	-25.5003
66.000000	108.052711	-26.0956
67.000000	107.999496	-26.5840
68.000000	107.932137	-26.9796
69.000000	107.853249	-27.3565
70.000000	107.771996	-27.7516
71.000000	107.696556	-28.1584
72.000000	107.629089	-28.5565
73.000000	107.567322	-28.9301
74.000000	107.507324	-29.2885
75.000000	107.444931	-29.6494
76.199997	107.364471	-30.0810
77.500000	107.272614	-30.5206
78.800003	107.180077	-30.9329
80.000000	107.097229	-31.2993
81.199997	107.019722	-31.6429
82.500000	106.941086	-31.9899
83.800003	106.863518	-32.3272
85.000000	106.790695	-32.6449
86.199997	106.715118	-32.9695
87.500000	106.629158	-33.3168
88.500000	106.561317	-33.5740
90.000000	106.460693	-33.9302
91.199997	106.383522	-34.1861
92.500000	106.303001	-34.4458
93.800003	106.224136	-34.6994
95.000000	106.151978	-34.9308
96.199997	106.080093	-35.1589
97.500000	106.002129	-35.3996
98.800003	105.924088	-35.6326
100.000000	105.852531	-35.8427
101.500000	105.764671	-36.0981
103.000000	105.678276	-36.3423
104.400002	105.598282	-36.5592
106.000000	105.507645	-36.7948
107.500000	105.423103	-37.0067
109.000000	105.338524	-37.2089
110.599998	105.249146	-37.4110
112.000000	105.172836	-37.5796
113.800003	105.075539	-37.7953
115.000000	105.008499	-37.9516
117.199997	104.876022	-38.3017
118.000000	104.825615	-38.4439
120.599998	104.676376	-38.7798
122.000000	104.612183	-38.8297
124.099998	104.521599	-38.8679
125.000000	104.481110	-38.9014
126.500000	104.410751	-38.9802
128.000000	104.337959	-39.0738
131.500000	104.166435	-39.2975
132.000000	104.142120	-39.3282
134.000000	104.045563	-39.4454
136.000000	103.949951	-39.5531
138.000000	103.855057	-39.6523
140.000000	103.760750	-39.7438
143.000000	103.620987	-39.8628
145.000000	103.530075	-39.9271
147.500000	103.419083	-39.9955
150.000000	103.309830	-40.0561
152.500000	103.202156	-40.1111
155.000000	103.096054	-40.1619
157.500000	102.992157	-40.2023
160.000000	102.890213	-40.2302
162.500000	102.788231	-40.2530
165.000000	102.685501	-40.2731
167.500000	102.583893	-40.2791
170.000000	102.484566	-40.2673
172.500000	102.387405	-40.2439
175.000000	102.292038	-40.2133
177.500000	102.198029	-40.1784
180.000000	102.104668	-40.1388
182.500000	102.011055	-40.0927
185.000000	101.917717	-40.0420
187.500000	101.825706	-39.9874
190.000000	101.735558	-39.9276
192.500000	101.647728	-39.8648
195.000000	101.561905	-39.8007
197.500000	101.476959	-39.7319
200.000000	101.392319	-39.6552
203.000000	101.291321	-39.5544
206.000000	101.191292	-39.4463
209.000000	101.092499	-39.3315
212.000000	100.995239	-39.2091
214.000000	100.931198	-39.1230
218.000000	100.804756	-38.9423
220.000000	100.742371	-38.8487
224.000000	100.619003	-38.6566
227.000000	100.527077	-38.5103
230.000000	100.435486	-38.3671
233.000000	100.343666	-38.2355
236.000000	100.251541	-38.1140
240.000000	100.133354	-37.9062
243.000000	100.052269	-37.6701
247.000000	99.950432	-37.3054
250.000000	99.875305	-37.0432
254.000000	99.776718	-36.7175
258.000000	99.681381	-36.4082
262.000000	99.590324	-36.1115
265.000000	99.524200	-35.8998
269.000000	99.437119	-35.6348
272.000000	99.371979	-35.4479
276.000000	99.284637	-35.2099
280.000000	99.196327	-34.9745
285.000000	99.085609	-34.6672
290.000000	98.977058	-34.3331
295.000000	98.871994	-33.9632
300.000000	98.767059	-33.5896
304.000000	98.680740	-33.3215
307.000000	98.615555	-33.1297
311.000000	98.529831	-32.8652
315.000000	98.446228	-32.5828
320.000000	98.344681	-32.2108
325.000000	98.245499	-31.8301
330.000000	98.148392	-31.4476
335.000000	98.054070	-31.0597
340.000000	97.962387	-30.6583
345.000000	97.872276	-30.2483
350.000000	97.783295	-29.8421
