* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -4.4 dBFS, measurement signal peak level -4.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 27, 2021 10:50:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0951 ms (-33 mm, -1.28 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: Simgot EN700 Pro
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	109.637451	-158.1689
20.600000	109.640839	-158.2919
20.900000	109.651306	-158.5932
21.200001	109.666801	-158.9550
21.400000	109.679565	-159.2195
21.799999	109.707214	-159.7898
22.000000	109.720352	-160.0879
22.400000	109.742752	-160.6884
22.700001	109.755432	-161.1217
23.000000	109.765274	-161.5308
23.299999	109.773331	-161.9164
23.600000	109.780380	-162.2874
24.000000	109.788361	-162.7806
24.299999	109.792549	-163.1617
24.700001	109.794632	-163.6910
25.000000	109.793472	-164.0986
25.400000	109.789474	-164.6424
25.799999	109.785294	-165.1698
26.200001	109.783463	-165.6688
26.500000	109.784264	-166.0204
26.900000	109.787842	-166.4558
27.200001	109.791916	-166.7560
27.600000	109.798874	-167.1250
28.000000	109.807915	-167.4737
28.500000	109.822517	-167.9262
29.000000	109.837891	-168.4520
29.500000	109.848175	-169.0579
30.000000	109.849472	-169.6738
30.400000	109.845963	-170.1082
30.700001	109.843575	-170.3761
31.100000	109.844322	-170.6541
31.500000	109.851494	-170.8711
32.000000	109.866592	-171.1349
32.500000	109.879608	-171.4692
33.000000	109.880333	-171.9017
33.500000	109.865128	-172.3919
34.000000	109.839821	-172.8607
34.500000	109.815971	-173.2500
35.000000	109.803734	-173.5615
35.500000	109.804398	-173.8464
36.000000	109.809479	-174.1590
36.500000	109.808395	-174.5135
37.000000	109.796852	-174.8837
37.500000	109.778839	-175.2392
38.200001	109.756882	-175.7058
38.700001	109.749100	-176.0373
39.500000	109.747437	-176.5893
40.000000	109.748833	-176.9398
40.599998	109.749405	-177.3506
41.200001	109.746704	-177.7369
41.799999	109.739723	-178.0894
42.500000	109.726074	-178.4633
43.099998	109.710007	-178.7698
43.700001	109.690674	-179.0783
44.400002	109.666504	-179.4428
45.000000	109.647263	-179.7512
45.500000	109.634071	179.9974
46.200001	109.621361	179.6406
46.799999	109.614525	179.3076
47.500000	109.606544	178.8870
48.200001	109.596214	178.4950
48.700001	109.590118	178.2745
49.400002	109.588539	178.0489
50.000000	109.592117	177.8777
50.799999	109.591919	177.5952
51.500000	109.579468	177.2882
52.200001	109.558792	176.9597
53.000000	109.534119	176.5808
53.799999	109.512169	176.1892
54.500000	109.494789	175.8297
55.200001	109.479752	175.4636
56.000000	109.466110	175.0570
57.000000	109.447861	174.5723
58.000000	109.415695	174.0579
59.000000	109.369034	173.4924
60.000000	109.329361	173.0242
60.799999	109.317276	172.8025
61.500000	109.316216	172.6786
62.200001	109.312553	172.5549
63.000000	109.298096	172.3634
64.000000	109.270882	172.0376
65.000000	109.243736	171.6709
66.000000	109.217346	171.3256
67.000000	109.190010	170.9964
68.000000	109.163864	170.6580
69.000000	109.141357	170.3184
70.000000	109.120110	169.9951
71.000000	109.096130	169.6983
72.000000	109.068840	169.4313
73.000000	109.037415	169.1763
74.000000	108.999229	168.9027
75.000000	108.957283	168.5970
76.199997	108.914604	168.2125
77.500000	108.883293	167.8359
78.800003	108.854767	167.5117
80.000000	108.823059	167.2175
81.199997	108.789963	166.9131
82.500000	108.756332	166.5840
83.800003	108.723869	166.2484
85.000000	108.691795	165.9348
86.199997	108.656853	165.6356
87.500000	108.615967	165.3286
88.500000	108.582764	165.0988
90.000000	108.531372	164.7585
91.199997	108.490616	164.4928
92.500000	108.448624	164.2194
93.800003	108.408272	163.9622
95.000000	108.371017	163.7329
96.199997	108.333893	163.5040
97.500000	108.294495	163.2527
98.800003	108.255783	162.9986
100.000000	108.220016	162.7649
101.500000	108.174629	162.4823
103.000000	108.127983	162.2185
104.400002	108.083275	161.9888
106.000000	108.031639	161.7362
107.500000	107.983261	161.5015
109.000000	107.935173	161.2607
110.599998	107.884209	160.9958
112.000000	107.839905	160.7676
113.800003	107.783691	160.4893
115.000000	107.748238	160.3165
117.199997	107.692566	160.0078
118.000000	107.674782	159.8910
120.599998	107.603455	159.5172
122.000000	107.548660	159.3427
124.099998	107.461563	159.1010
125.000000	107.426895	158.9973
126.500000	107.373116	158.8248
128.000000	107.322174	158.6589
131.500000	107.205521	158.3171
132.000000	107.189117	158.2728
134.000000	107.123466	158.1011
136.000000	107.055939	157.9333
138.000000	106.986305	157.7758
140.000000	106.916702	157.6389
143.000000	106.816628	157.4665
145.000000	106.751457	157.3599
147.500000	106.667938	157.2339
150.000000	106.584015	157.1456
152.500000	106.505096	157.1072
155.000000	106.434647	157.0982
157.500000	106.373199	157.0890
160.000000	106.318016	157.0448
162.500000	106.265511	156.9542
165.000000	106.212402	156.8337
167.500000	106.156296	156.6935
170.000000	106.096512	156.5445
172.500000	106.033531	156.4056
175.000000	105.967590	156.2896
177.500000	105.898514	156.1873
