* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -5.6 dBFS, measurement signal peak level -4.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 1, 2021 5:38:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0972 ms (-33 mm, -1.31 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: Softears RSV
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	110.208397	-133.7600
20.600000	110.224258	-134.0394
20.900000	110.266335	-134.7087
21.200001	110.311089	-135.4618
21.400000	110.339523	-135.9682
21.799999	110.391975	-136.9456
22.000000	110.416504	-137.4066
22.400000	110.464355	-138.2717
22.700001	110.500931	-138.8807
23.000000	110.538574	-139.4731
23.299999	110.576698	-140.0675
23.600000	110.613930	-140.6779
24.000000	110.659607	-141.5238
24.299999	110.690132	-142.1733
24.700001	110.726990	-143.0381
25.000000	110.753677	-143.6736
25.400000	110.790413	-144.4986
25.799999	110.828735	-145.3041
26.200001	110.866249	-146.0973
26.500000	110.891998	-146.6831
26.900000	110.922081	-147.4456
27.200001	110.942017	-148.0002
27.600000	110.967255	-148.7195
28.000000	110.993088	-149.4264
28.500000	111.027260	-150.3102
29.000000	111.061607	-151.1962
29.500000	111.093704	-152.0686
30.000000	111.122299	-152.9138
30.400000	111.142212	-153.5717
30.700001	111.155128	-154.0571
31.100000	111.169518	-154.6950
31.500000	111.181259	-155.3193
32.000000	111.194466	-156.0741
32.500000	111.208862	-156.8009
33.000000	111.224991	-157.5117
33.500000	111.240204	-158.2194
34.000000	111.250679	-158.9254
34.500000	111.255234	-159.6191
35.000000	111.256950	-160.2896
35.500000	111.260948	-160.9392
36.000000	111.270294	-161.5837
36.500000	111.283524	-162.2365
37.000000	111.295815	-162.8931
37.500000	111.303177	-163.5345
38.200001	111.304794	-164.3793
38.700001	111.302734	-164.9501
39.500000	111.298141	-165.8440
40.000000	111.294502	-166.3983
40.599998	111.288994	-167.0561
41.200001	111.282318	-167.7113
41.799999	111.274353	-168.3749
42.500000	111.263275	-169.1554
43.099998	111.252769	-169.8016
43.700001	111.241524	-170.3999
44.400002	111.224594	-171.0360
45.000000	111.202728	-171.5501
45.500000	111.178825	-171.9697
46.200001	111.143867	-172.5518
46.799999	111.123276	-173.0575
47.500000	111.116592	-173.6792
48.200001	111.119621	-174.3371
48.700001	111.119087	-174.8082
49.400002	111.108353	-175.4379
50.000000	111.091614	-175.9492
50.799999	111.065826	-176.6203
51.500000	111.044792	-177.2151
52.200001	111.025391	-177.8081
53.000000	111.000702	-178.4560
53.799999	110.968712	-179.0485
54.500000	110.935432	-179.5310
55.200001	110.901047	179.9888
56.000000	110.865768	179.4194
57.000000	110.830032	178.6945
58.000000	110.781967	178.0409
59.000000	110.704071	177.5981
60.000000	110.633247	177.2520
60.799999	110.601517	176.8207
61.500000	110.583061	176.3200
62.200001	110.563812	175.8043
63.000000	110.535973	175.2805
64.000000	110.490143	174.7178
65.000000	110.436172	174.1974
66.000000	110.381889	173.6880
67.000000	110.328812	173.1861
68.000000	110.275108	172.7012
69.000000	110.220520	172.2495
70.000000	110.164375	171.8363
71.000000	110.105492	171.4485
72.000000	110.045349	171.0677
73.000000	109.985825	170.6872
74.000000	109.926102	170.3153
75.000000	109.865677	169.9625
76.199997	109.795944	169.5724
77.500000	109.726532	169.1977
78.800003	109.657761	168.8708
80.000000	109.593094	168.5816
81.199997	109.532242	168.2758
82.500000	109.471268	167.9344
83.800003	109.409302	167.5999
85.000000	109.349121	167.2922
86.199997	109.288200	166.9816
87.500000	109.221695	166.6483
88.500000	109.170364	166.3983
90.000000	109.094482	166.0425
91.199997	109.032448	165.7898
92.500000	108.960762	165.5422
93.800003	108.886696	165.2879
95.000000	108.820198	165.0390
96.199997	108.755791	164.7993
97.500000	108.685417	164.5695
98.800003	108.611923	164.3646
100.000000	108.541534	164.1895
101.500000	108.452820	163.9910
103.000000	108.364906	163.8158
