* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -11.2 dBFS, measurement signal peak level -7.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 27, 2021 11:15:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0929 ms (-32 mm, -1.25 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: Sony MH755
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	109.535774	-3.7716
20.600000	109.528435	-4.0062
20.900000	109.508232	-4.5687
21.200001	109.484894	-5.2010
21.400000	109.468704	-5.6250
21.799999	109.435875	-6.4359
22.000000	109.419250	-6.8128
22.400000	109.385117	-7.5063
22.700001	109.358078	-7.9814
23.000000	109.329094	-8.4342
23.299999	109.297363	-8.8823
23.600000	109.262093	-9.3394
24.000000	109.209404	-9.9671
24.299999	109.167648	-10.4386
24.700001	109.115158	-11.0438
25.000000	109.083565	-11.4747
25.400000	109.056244	-12.0387
25.799999	109.041763	-12.6353
26.200001	109.026276	-13.2879
26.500000	109.004707	-13.7949
26.900000	108.957603	-14.4321
27.200001	108.911583	-14.8448
27.600000	108.848648	-15.3068
28.000000	108.796051	-15.7357
28.500000	108.746002	-16.3731
29.000000	108.688210	-17.1516
29.500000	108.601707	-17.8737
30.000000	108.500923	-18.2960
30.400000	108.434456	-18.4110
30.700001	108.401749	-18.4424
31.100000	108.379677	-18.5215
31.500000	108.370438	-18.7122
32.000000	108.360497	-19.0875
32.500000	108.350372	-19.5448
33.000000	108.343109	-20.1090
33.500000	108.323250	-20.8601
34.000000	108.260498	-21.7390
34.500000	108.144722	-22.5189
35.000000	108.007179	-23.0030
35.500000	107.896446	-23.2359
36.000000	107.834541	-23.4576
36.500000	107.800781	-23.8444
37.000000	107.759422	-24.3486
37.500000	107.694862	-24.8017
38.200001	107.588547	-25.2080
38.700001	107.522392	-25.4318
39.500000	107.437935	-25.9105
40.000000	107.390419	-26.2685
40.599998	107.335548	-26.6726
41.200001	107.280731	-27.0301
41.799999	107.218803	-27.3776
42.500000	107.130646	-27.8202
43.099998	107.045204	-28.2445
43.700001	106.959137	-28.6922
44.400002	106.865570	-29.1802
45.000000	106.793076	-29.5133
45.500000	106.737259	-29.7199
46.200001	106.663193	-29.9360
46.799999	106.600616	-30.1037
47.500000	106.526505	-30.3222
48.200001	106.449654	-30.5683
48.700001	106.392166	-30.7471
49.400002	106.307854	-30.9875
50.000000	106.233719	-31.1950
50.799999	106.135384	-31.5064
51.500000	106.051064	-31.7955
52.200001	105.969444	-32.0292
53.000000	105.881195	-32.1662
53.799999	105.798248	-32.2016
54.500000	105.732002	-32.2293
55.200001	105.677605	-32.3171
56.000000	105.631943	-32.5255
57.000000	105.578659	-32.9214
58.000000	105.495789	-33.4400
59.000000	105.373886	-34.0337
60.000000	105.252350	-34.4500
60.799999	105.191391	-34.5573
61.500000	105.161758	-34.5674
62.200001	105.134285	-34.5789
63.000000	105.088966	-34.6259
64.000000	105.011879	-34.7287
65.000000	104.923393	-34.8713
66.000000	104.829071	-35.0626
67.000000	104.732994	-35.3045
68.000000	104.640060	-35.5596
69.000000	104.549591	-35.7896
70.000000	104.458298	-35.9947
71.000000	104.368805	-36.1933
72.000000	104.285934	-36.3847
73.000000	104.208099	-36.5461
74.000000	104.130325	-36.6561
75.000000	104.051826	-36.7188
76.199997	103.959259	-36.7641
77.500000	103.857841	-36.8057
78.800003	103.748528	-36.8455
80.000000	103.643196	-36.8921
81.199997	103.533485	-36.9683
82.500000	103.394051	-37.0793
83.800003	103.237442	-37.1314
85.000000	103.124779	-37.0757
86.199997	103.066856	-37.0121
87.500000	103.030197	-37.0243
88.500000	102.994629	-37.0852
90.000000	102.921730	-37.1992
91.199997	102.854103	-37.2642
