* Measurement data measured by REW V5.19
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -5.3 dBFS, measurement signal peak level -4.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  Using an acoustic timing reference
* Dated: Mar 20, 2021 10:43:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.028±0.011 ms (-10 mm, -0.38 in) using estimated IR delay relative to Acoustic reference on  L
* Measurement: Hana (stock)
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	74.670	43.775
20.586	74.683	43.577
20.885	74.720	43.075
21.189	74.761	42.464
21.497	74.801	41.799
21.810	74.837	41.117
22.127	74.868	40.432
22.449	74.896	39.746
22.776	74.921	39.060
23.107	74.945	38.376
23.443	74.971	37.696
23.784	74.998	37.022
24.130	75.030	36.348
24.481	75.065	35.670
24.837	75.103	34.980
25.198	75.143	34.278
25.565	75.181	33.568
25.937	75.217	32.866
26.314	75.249	32.187
26.697	75.280	31.541
27.085	75.311	30.927
27.479	75.343	30.333
27.879	75.375	29.744
28.284	75.405	29.148
28.696	75.432	28.543
29.113	75.455	27.934
29.537	75.474	27.328
29.966	75.489	26.727
30.402	75.503	26.128
30.844	75.516	25.530
31.293	75.529	24.929
31.748	75.542	24.325
32.210	75.557	23.714
32.678	75.572	23.093
33.154	75.586	22.462
33.636	75.599	21.834
34.125	75.610	21.225
34.621	75.622	20.644
35.125	75.637	20.078
35.636	75.655	19.505
36.154	75.672	18.905
36.680	75.682	18.292
37.214	75.684	17.696
37.755	75.681	17.145
38.304	75.679	16.636
38.861	75.680	16.137
39.427	75.684	15.622
40.000	75.685	15.084
40.582	75.683	14.534
41.172	75.677	13.986
41.771	75.669	13.444
42.379	75.660	12.904
42.995	75.650	12.368
43.620	75.640	11.834
44.255	75.632	11.296
44.898	75.625	10.739
45.552	75.620	10.143
46.214	75.611	9.505
46.886	75.594	8.856
47.568	75.569	8.252
48.260	75.544	7.738
48.962	75.529	7.296
49.674	75.526	6.863
50.397	75.528	6.395
51.130	75.527	5.897
51.874	75.518	5.405
52.628	75.503	4.943
53.394	75.484	4.509
54.170	75.465	4.089
54.958	75.446	3.663
55.758	75.427	3.216
56.569	75.408	2.746
57.391	75.388	2.254
58.226	75.369	1.741
59.073	75.347	1.214
59.932	75.319	0.686
60.804	75.282	0.191
61.688	75.236	-0.231
62.586	75.187	-0.562
63.496	75.137	-0.812
64.420	75.090	-1.006
65.357	75.046	-1.168
66.307	75.005	-1.323
67.272	74.966	-1.478
68.250	74.931	-1.631
69.243	74.904	-1.801
70.250	74.885	-2.019
71.272	74.872	-2.301
72.309	74.862	-2.635
73.360	74.854	-3.010
74.427	74.845	-3.415
75.510	74.831	-3.828
76.608	74.809	-4.215
77.723	74.783	-4.560
78.853	74.755	-4.878
80.000	74.728	-5.195
81.164	74.700	-5.528
82.344	74.675	-5.883
83.542	74.650	-6.262
84.757	74.626	-6.660
85.990	74.601	-7.065
87.241	74.574	-7.467
88.510	74.544	-7.859
89.797	74.510	-8.243
91.103	74.474	-8.623
92.428	74.434	-8.995
93.773	74.390	-9.355
95.137	74.344	-9.695
96.520	74.296	-10.019
97.924	74.247	-10.331
99.349	74.197	-10.637
100.794	74.146	-10.937
102.260	74.094	-11.229
103.747	74.042	-11.511
105.256	73.990	-11.781
106.787	73.937	-12.040
108.340	73.882	-12.287
109.916	73.826	-12.522
111.515	73.769	-12.744
113.137	73.714	-12.950
114.783	73.661	-13.137
116.452	73.612	-13.303
118.146	73.565	-13.458
119.865	73.518	-13.613
121.608	73.467	-13.771
123.377	73.412	-13.933
125.171	73.355	-14.101
126.992	73.297	-14.277
128.839	73.240	-14.454
130.713	73.182	-14.626
