* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -5.0 dBFS, measurement signal peak level -3.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 27, 2021 11:25:38 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0256 ms (-8.8 mm, -0.35 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: Tenhz P4 Pro
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.635323	52.9241
20.600000	107.660004	52.6694
20.900000	107.724510	52.0554
21.200001	107.790092	51.3558
21.400000	107.829140	50.8817
21.799999	107.893936	49.9707
22.000000	107.920639	49.5470
22.400000	107.967117	48.7648
22.700001	107.999687	48.2219
23.000000	108.032143	47.6976
23.299999	108.064957	47.1769
23.600000	108.097908	46.6512
24.000000	108.141609	45.9425
24.299999	108.174469	45.4110
24.700001	108.219147	44.7102
25.000000	108.253502	44.1920
25.400000	108.299782	43.5099
25.799999	108.344719	42.8390
26.200001	108.386566	42.1857
26.500000	108.415604	41.7126
26.900000	108.451790	41.1080
27.200001	108.477608	40.6735
27.600000	108.510849	40.1136
28.000000	108.542679	39.5689
28.500000	108.579887	38.9021
29.000000	108.614601	38.2495
29.500000	108.648788	37.6098
30.000000	108.684761	36.9765
30.400000	108.715149	36.4709
30.700001	108.738342	36.0934
31.100000	108.768814	35.5974
31.500000	108.797737	35.1176
32.000000	108.830978	34.5482
32.500000	108.861168	34.0076
33.000000	108.888550	33.4783
33.500000	108.913055	32.9454
34.000000	108.934837	32.4090
34.500000	108.954773	31.8809
35.000000	108.974052	31.3742
35.500000	108.993027	30.8953
36.000000	109.011276	30.4436
36.500000	109.028488	30.0144
37.000000	109.045387	29.5991
37.500000	109.063087	29.1858
38.200001	109.089417	28.5975
38.700001	109.108139	28.1772
39.500000	109.136559	27.5370
40.000000	109.153633	27.1579
40.599998	109.172646	26.7046
41.200001	109.188232	26.2414
41.799999	109.200562	25.7784
42.500000	109.214867	25.2585
43.099998	109.229584	24.8315
43.700001	109.245201	24.4165
44.400002	109.261391	23.9499
45.000000	109.272858	23.5689
45.500000	109.281319	23.2648
46.200001	109.292862	22.8602
46.799999	109.303825	22.5310
47.500000	109.318611	22.1507
48.200001	109.333382	21.7508
48.700001	109.342392	21.4522
49.400002	109.353493	21.0351
50.000000	109.363739	20.6920
50.799999	109.379196	20.2572
51.500000	109.391510	19.8923
52.200001	109.400909	19.5368
53.000000	109.409821	19.1355
53.799999	109.419685	18.7397
54.500000	109.429672	18.4027
55.200001	109.439369	18.0730
56.000000	109.448334	17.7031
57.000000	109.458626	17.2741
58.000000	109.471390	16.9429
59.000000	109.487236	16.7186
60.000000	109.501694	16.4287
60.799999	109.504364	16.0508
61.500000	109.500404	15.6568
62.200001	109.496513	15.2717
63.000000	109.496727	14.8834
64.000000	109.501152	14.4706
65.000000	109.505692	14.0992
66.000000	109.510475	13.7400
67.000000	109.515511	13.3953
68.000000	109.519501	13.0686
69.000000	109.521843	12.7515
70.000000	109.523239	12.4398
71.000000	109.524330	12.1341
72.000000	109.525536	11.8320
73.000000	109.527283	11.5305
74.000000	109.529640	11.2336
75.000000	109.532120	10.9470
76.199997	109.534348	10.6134
77.500000	109.535370	10.2596
78.800003	109.535385	9.9216
80.000000	109.534302	9.6257
81.199997	109.532120	9.3330
