* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -6.5 dBFS, measurement signal peak level -5.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 27, 2021 11:33:13 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.1428 ms (-49 mm, -1.93 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: Tin Hifi P1
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.564766	-104.7006
20.600000	98.602074	-104.8274
20.900000	98.701607	-105.1553
21.200001	98.808899	-105.5998
21.400000	98.876968	-105.9546
21.799999	98.997177	-106.7522
22.000000	99.049133	-107.1666
22.400000	99.143082	-107.9745
22.700001	99.213303	-108.5349
23.000000	99.289429	-109.0605
23.299999	99.373749	-109.5689
23.600000	99.464821	-110.0784
24.000000	99.589584	-110.7707
24.299999	99.680435	-111.2894
24.700001	99.794220	-111.9569
25.000000	99.874748	-112.4337
25.400000	99.978638	-113.0525
25.799999	100.080956	-113.6866
26.200001	100.181366	-114.3573
26.500000	100.254501	-114.8759
26.900000	100.348930	-115.5518
27.200001	100.418152	-116.0226
27.600000	100.509216	-116.5841
28.000000	100.597122	-117.0795
28.500000	100.693474	-117.6460
29.000000	100.762634	-118.1736
29.500000	100.806122	-118.6313
30.000000	100.850021	-119.0066
30.400000	100.908752	-119.3092
30.700001	100.974243	-119.6029
31.100000	101.088181	-120.1614
31.500000	101.217339	-120.9431
32.000000	101.367729	-122.1158
32.500000	101.481430	-123.1947
33.000000	101.562004	-123.8018
33.500000	101.635063	-123.7607
34.000000	101.725052	-123.2023
34.500000	101.833519	-122.4766
35.000000	101.937126	-122.0023
35.500000	102.005196	-122.0829
36.000000	102.018684	-122.8046
36.500000	101.982834	-124.0296
37.000000	101.930756	-125.4700
37.500000	101.909027	-126.8408
38.200001	101.982056	-128.3855
38.700001	102.090973	-129.2222
39.500000	102.256454	-130.1992
40.000000	102.317627	-130.6160
40.599998	102.357918	-131.0152
41.200001	102.392776	-131.4630
41.799999	102.441246	-132.0466
42.500000	102.514313	-132.8025
43.099998	102.579605	-133.3649
43.700001	102.634941	-133.7861
44.400002	102.677109	-134.1350
45.000000	102.698448	-134.3742
45.500000	102.716064	-134.5803
46.200001	102.754333	-134.9555
46.799999	102.802414	-135.4096
47.500000	102.867538	-136.1030
48.200001	102.930054	-136.9166
48.700001	102.968567	-137.5128
49.400002	103.013275	-138.2705
50.000000	103.046356	-138.7958
50.799999	103.086464	-139.3463
51.500000	103.113998	-139.7843
52.200001	103.131447	-140.2402
53.000000	103.147369	-140.7721
53.799999	103.171585	-141.2793
54.500000	103.200554	-141.6781
55.200001	103.231842	-142.0187
56.000000	103.265869	-142.3304
57.000000	103.304199	-142.6346
58.000000	103.328217	-142.9780
59.000000	103.321640	-143.4428
60.000000	103.323006	-143.9436
60.799999	103.368225	-144.4051
61.500000	103.429466	-144.8752
62.200001	103.487335	-145.3321
63.000000	103.537964	-145.7547
64.000000	103.586899	-146.1913
