* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.663. Timing signal peak level -5.0 dBFS, measurement signal peak level -4.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 26, 2021 10:11:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0882 ms (-30 mm, -1.19 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: Vsonic GR07 (Bass)
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.892296	-124.6042
20.600000	103.909462	-124.7888
20.900000	103.954803	-125.2223
21.200001	104.002907	-125.6865
21.400000	104.034164	-125.9900
21.799999	104.096146	-126.6055
22.000000	104.127686	-126.9355
22.400000	104.192238	-127.6714
22.700001	104.240837	-128.2969
23.000000	104.288429	-128.9681
23.299999	104.334869	-129.6566
23.600000	104.381203	-130.3315
24.000000	104.446228	-131.1693
24.299999	104.499603	-131.7427
24.700001	104.577354	-132.4485
25.000000	104.638237	-132.9563
25.400000	104.717316	-133.6323
25.799999	104.787537	-134.3219
26.200001	104.845535	-135.0196
26.500000	104.881790	-135.5387
26.900000	104.924507	-136.2149
27.200001	104.955482	-136.7079
27.600000	104.999176	-137.3503
28.000000	105.047066	-137.9838
28.500000	105.110512	-138.7732
29.000000	105.171570	-139.5578
29.500000	105.226265	-140.3273
30.000000	105.277084	-141.0887
30.400000	105.318817	-141.7180
30.700001	105.351883	-142.2201
31.100000	105.397415	-142.9420
31.500000	105.441574	-143.7099
32.000000	105.491272	-144.6601
32.500000	105.536957	-145.4973
33.000000	105.586334	-146.1686
33.500000	105.642929	-146.7139
34.000000	105.699181	-147.2202
34.500000	105.742004	-147.7397
35.000000	105.763008	-148.2679
35.500000	105.764023	-148.7795
36.000000	105.754738	-149.2660
36.500000	105.746361	-149.7404
37.000000	105.747696	-150.2222
37.500000	105.763397	-150.7266
38.200001	105.806335	-151.4789
38.700001	105.842918	-152.0313
39.500000	105.893234	-152.8719
40.000000	105.915894	-153.3576
40.599998	105.935074	-153.9334
41.200001	105.947662	-154.5334
41.799999	105.958389	-155.1510
42.500000	105.978157	-155.8582
43.099998	106.005318	-156.4450
43.700001	106.037483	-157.0244
44.400002	106.071465	-157.6964
45.000000	106.092773	-158.2659
45.500000	106.104454	-158.7310
46.200001	106.112946	-159.3483
46.799999	106.116142	-159.8241
47.500000	106.120781	-160.3197
48.200001	106.129242	-160.8042
48.700001	106.136337	-161.1759
49.400002	106.144348	-161.7417
50.000000	106.147552	-162.2467
50.799999	106.144890	-162.8908
51.500000	106.137794	-163.3839
52.200001	106.133385	-163.8216
53.000000	106.138489	-164.3375
53.799999	106.148422	-164.9190
54.500000	106.152092	-165.4239
55.200001	106.149506	-165.8610
56.000000	106.143974	-166.2855
57.000000	106.143311	-166.7858
58.000000	106.161659	-167.2262
59.000000	106.205887	-167.5724
60.000000	106.248650	-168.0545
60.799999	106.251793	-168.6571
61.500000	106.232986	-169.2672
62.200001	106.212120	-169.8566
63.000000	106.201881	-170.4497
64.000000	106.203789	-171.0744
65.000000	106.201660	-171.6205
66.000000	106.192329	-172.1543
67.000000	106.183220	-172.7031
68.000000	106.175697	-173.2499
69.000000	106.165581	-173.7870
70.000000	106.150314	-174.3139
71.000000	106.130882	-174.8122
72.000000	106.108231	-175.2635
73.000000	106.083130	-175.6891
74.000000	106.058578	-176.1411
75.000000	106.039139	-176.6424
76.199997	106.024254	-177.2531
77.500000	106.011703	-177.8320
78.800003	105.993660	-178.3470
80.000000	105.967255	-178.8387
81.199997	105.932320	-179.3457
82.500000	105.897446	-179.8578
83.800003	105.875786	179.6762
85.000000	105.860229	179.2714
86.199997	105.841133	178.8737
87.500000	105.817566	178.4334
88.500000	105.799561	178.0934
90.000000	105.772125	177.6052
91.199997	105.748734	177.2307
92.500000	105.722855	176.8261
93.800003	105.697906	176.4172
95.000000	105.674400	176.0384
96.199997	105.648270	175.6666
97.500000	105.617523	175.2817
98.800003	105.586700	174.9139
100.000000	105.557991	174.5807
101.500000	105.520172	174.1716
103.000000	105.481712	173.7774
104.400002	105.446693	173.4235
106.000000	105.407097	173.0292
107.500000	105.368996	172.6551
109.000000	105.329475	172.2718
110.599998	105.286804	171.8631
112.000000	105.249451	171.5157
113.800003	105.202805	171.0930
115.000000	105.174454	170.8202
117.199997	105.130493	170.2985
118.000000	105.115738	170.1025
120.599998	105.052017	169.5450
122.000000	105.003548	169.3159
124.099998	104.928741	168.9948
125.000000	104.899384	168.8563
126.500000	104.854248	168.6264
128.000000	104.812134	168.3980
131.500000	104.717316	167.8701
132.000000	104.703812	167.7951
134.000000	104.649269	167.4962
136.000000	104.594048	167.1985
138.000000	104.538437	166.9062
140.000000	104.483017	166.6215
143.000000	104.401207	166.2106
145.000000	104.345551	165.9529
147.500000	104.275543	165.6425
150.000000	104.210854	165.3498
152.500000	104.149368	165.0939
155.000000	104.080231	164.8910
157.500000	104.001724	164.7001
160.000000	103.920105	164.4988
162.500000	103.842636	164.3243
165.000000	103.774750	164.1777
167.500000	103.714699	164.0335
170.000000	103.656960	163.8765
172.500000	103.598503	163.7019
175.000000	103.538208	163.5217
177.500000	103.475021	163.3484
180.000000	103.409485	163.1840
182.500000	103.343857	163.0276
185.000000	103.278511	162.8805
187.500000	103.212051	162.7514
190.000000	103.144012	162.6461
192.500000	103.076874	162.5568
195.000000	103.012100	162.4684
197.500000	102.947456	162.3769
200.000000	102.881279	162.2930
203.000000	102.801048	162.2132
206.000000	102.723694	162.1573
209.000000	102.651695	162.1151
212.000000	102.582588	162.0737
214.000000	102.536247	162.0420
218.000000	102.439774	161.9543
220.000000	102.387741	161.9082
224.000000	102.275299	161.8741
227.000000	102.192245	161.9150
230.000000	102.117798	161.9775
233.000000	102.048767	162.0282
236.000000	101.979111	162.0626
240.000000	101.885361	162.1373
243.000000	101.818939	162.2523
247.000000	101.735748	162.4357
250.000000	101.675133	162.5610
254.000000	101.595673	162.7101
258.000000	101.518669	162.8478
262.000000	101.444733	162.9769
265.000000	101.389847	163.0709
269.000000	101.313675	163.2023
272.000000	101.254364	163.3093
276.000000	101.175285	163.4586
280.000000	101.097076	163.6080
285.000000	100.998093	163.8121
290.000000	100.896469	164.0516
295.000000	100.794090	164.3202
300.000000	100.695869	164.6162
304.000000	100.624214	164.8572
307.000000	100.573349	165.0321
311.000000	100.505997	165.2604
315.000000	100.438011	165.4954
320.000000	100.353043	165.8133
325.000000	100.269592	166.1528
330.000000	100.188545	166.5023
335.000000	100.109810	166.8609
340.000000	100.033844	167.2342
345.000000	99.961090	167.6205
350.000000	99.891006	168.0108
355.000000	99.823151	168.3982
360.000000	99.755913	168.7861
365.000000	99.687653	169.1786
370.000000	99.620018	169.5749
375.000000	99.555084	169.9771
382.000000	99.468933	170.5524
387.000000	99.409309	170.9700
395.000000	99.314789	171.6469
400.000000	99.256966	172.0775
406.000000	99.189667	172.6046
412.000000	99.124237	173.1368
418.000000	99.061325	173.6712
425.000000	98.992912	174.3081
431.000000	98.937790	174.8672
437.000000	98.883591	175.4323
444.000000	98.820984	176.0916
450.000000	98.769775	176.6473
455.000000	98.729782	177.1038
462.000000	98.678047	177.7393
468.000000	98.637619	178.2820
475.000000	98.594093	178.9177
482.000000	98.550575	179.5621
487.000000	98.518082	-179.9736
494.000000	98.472931	-179.3259
500.000000	98.436523	-178.7760
508.000000	98.391502	-178.0503
515.000000	98.354683	-177.4226
522.000000	98.319801	-176.8029
530.000000	98.282333	-176.0981
538.000000	98.247246	-175.3868
545.000000	98.217705	-174.7572
552.000000	98.189087	-174.1272
560.000000	98.158142	-173.4124
570.000000	98.123100	-172.5276
580.000000	98.092583	-171.6549
590.000000	98.066055	-170.7953
600.000000	98.041580	-169.9418
608.000000	98.022034	-169.2580
615.000000	98.005508	-168.6617
622.000000	97.990433	-168.0701
630.000000	97.975311	-167.3994
640.000000	97.958664	-166.5676
650.000000	97.943069	-165.7438
660.000000	97.928314	-164.9241
670.000000	97.915108	-164.1084
680.000000	97.903641	-163.3007
690.000000	97.893372	-162.4997
700.000000	97.884239	-161.7003
710.000000	97.876778	-160.8999
720.000000	97.871269	-160.0998
730.000000	97.867622	-159.3005
740.000000	97.865265	-158.5051
750.000000	97.863907	-157.7166
762.000000	97.863426	-156.7762
775.000000	97.864899	-155.7561
788.000000	97.870163	-154.7360
800.000000	97.878616	-153.7988
812.000000	97.889755	-152.8652
825.000000	97.904335	-151.8530
838.000000	97.920837	-150.8424
850.000000	97.937248	-149.9192
862.000000	97.955757	-149.0002
875.000000	97.979652	-148.0007
885.000000	98.000900	-147.2304
900.000000	98.036896	-146.0883
912.000000	98.069138	-145.1979
