* Measurement data measured by REW V5.20
* Source: /Users/mrs/Desktop/Test Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: Mar 29, 2021 2:19:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/mrs/Desktop/Test Target.txt Format: Comma/Tab/Space delimited data 7 values loaded, 20 Hz to 20,040 Hz log spaced
* Measurement: Test Target
* Smoothing: Variable
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.996521	0
20.299999	104.981087	0
20.600000	104.962234	0
20.900000	104.943756	0
21.200001	104.925537	0
21.400000	104.913528	0
21.799999	104.889870	0
22.000000	104.878197	0
22.400000	104.855164	0
22.700001	104.838165	0
23.000000	104.821365	0
23.299999	104.804817	0
23.600000	104.788460	0
24.000000	104.766983	0
24.299999	104.751106	0
24.700001	104.730232	0
25.000000	104.714813	0
25.400000	104.694519	0
25.799999	104.674538	0
26.200001	104.654892	0
26.500000	104.640335	0
26.900000	104.621193	0
27.200001	104.607018	0
27.600000	104.588348	0
28.000000	104.569969	0
28.500000	104.547340	0
29.000000	104.525116	0
29.500000	104.503265	0
30.000000	104.481781	0
30.400000	104.464851	0
30.700001	104.452301	0
31.100000	104.435760	0
31.500000	104.419426	0
32.000000	104.399292	0
32.500000	104.379478	0
33.000000	104.359962	0
33.500000	104.340744	0
34.000000	104.321808	0
34.500000	104.303146	0
35.000000	104.284760	0
35.500000	104.266632	0
36.000000	104.248749	0
36.500000	104.231125	0
37.000000	104.213745	0
37.500000	104.196579	0
38.200001	104.172943	0
38.700001	104.156326	0
39.500000	104.130173	0
40.000000	104.114098	0
40.599998	104.095062	0
41.200001	104.076332	0
41.799999	104.057831	0
42.500000	104.036606	0
43.099998	104.018684	0
43.700001	104.001030	0
44.400002	103.980713	0
45.000000	103.963547	0
45.500000	103.949432	0
46.200001	103.929924	0
46.799999	103.913429	0
47.500000	103.894455	0
48.200001	103.875755	0
48.700001	103.862556	0
49.400002	103.844315	0
50.000000	103.828888	0
50.799999	103.808609	0
51.500000	103.791122	0
52.200001	103.773857	0
53.000000	103.754417	0
53.799999	103.735268	0
54.500000	103.718750	0
55.200001	103.702438	0
56.000000	103.684052	0
57.000000	103.661423	0
58.000000	103.639191	0
59.000000	103.617348	0
60.000000	103.595871	0
60.799999	103.578934	0
61.500000	103.564301	0
62.200001	103.549843	0
63.000000	103.533508	0
64.000000	103.513382	0
65.000000	103.493561	0
66.000000	103.474045	0
67.000000	103.454834	0
68.000000	103.435890	0
69.000000	103.417236	0
70.000000	103.398849	0
71.000000	103.380722	0
72.000000	103.362839	0
73.000000	103.345215	0
74.000000	103.327827	0
75.000000	103.310661	0
76.199997	103.290375	0
77.500000	103.268761	0
78.800003	103.247498	0
80.000000	103.228180	0
81.199997	103.209145	0
82.500000	103.188843	0
83.800003	103.168869	0
85.000000	103.150696	0
86.199997	103.132767	0
87.500000	103.113647	0
88.500000	103.099121	0
90.000000	103.077637	0
91.199997	103.060707	0
92.500000	103.042618	0
93.800003	103.024788	0
95.000000	103.008530	0
96.199997	102.992493	0
97.500000	102.975327	0
98.800003	102.958435	0
100.000000	102.943123	0
101.500000	102.924103	0
103.000000	102.905350	0
104.400002	102.888092	0
106.000000	102.868660	0
107.500000	102.850700	0
109.000000	102.832993	0
110.599998	102.814362	0
112.000000	102.798294	0
113.800003	102.777916	0
115.000000	102.764511	0
117.199997	102.740295	0
118.000000	102.731606	0
120.599998	102.703743	0
122.000000	102.688995	0
124.099998	102.667175	0
125.000000	102.657944	0
126.500000	102.642700	0
128.000000	102.627632	0
131.500000	102.593163	0
132.000000	102.588303	0
134.000000	102.569084	0
136.000000	102.550148	0
138.000000	102.531494	0
140.000000	102.513107	0
143.000000	102.486008	0
145.000000	102.468262	0
147.500000	102.446404	0
150.000000	102.424919	0
152.500000	102.403801	0
155.000000	102.383018	0
157.500000	102.362564	0
160.000000	102.342430	0
162.500000	102.322609	0
165.000000	102.303093	0
167.500000	102.283882	0
170.000000	102.264938	0
172.500000	102.246277	0
175.000000	102.227898	0
177.500000	102.209763	0
180.000000	102.191879	0
182.500000	102.174255	0
185.000000	102.156860	0
187.500000	102.139702	0
190.000000	102.122772	0
192.500000	102.106064	0
195.000000	102.089569	0
197.500000	102.073288	0
200.000000	102.057205	0
203.000000	102.038177	0
206.000000	102.019417	0
209.000000	102.000938	0
212.000000	101.982719	0
214.000000	101.970718	0
218.000000	101.947037	0
220.000000	101.935371	0
224.000000	101.912338	0
227.000000	101.895332	0
230.000000	101.878548	0
233.000000	101.861984	0
236.000000	101.845619	0
240.000000	101.824142	0
243.000000	101.808258	0
247.000000	101.787399	0
250.000000	101.771957	0
254.000000	101.751663	0
258.000000	101.731697	0
262.000000	101.712021	0
265.000000	101.697464	0
269.000000	101.678314	0
